                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0079,                 14.153,                0.92174,                0.92388,                 46.471,                0.83046,                0.28732,                0.15013,                0.11976,                0.08163,                 1.0293,                  9.679,                0.95127,                 1.0722,                 36.105,                0.93297,             0.00027716,             0.00027716,             0.00027716
                      2,                 1.0267,                 11.244,                0.94641,                0.98932,                 40.456,                0.88599,                0.40228,                 0.1983,                0.12068,                0.08484,                 1.0167,                 8.6043,                0.95924,                 1.0336,                 31.199,                0.94745,             0.00054933,             0.00054933,             0.00054933
                      3,                0.97222,                 9.4483,                0.94812,                0.90703,                 33.592,                0.86353,                0.42062,                0.19406,                0.16334,                0.11761,                 1.0425,                 7.1922,                 1.0428,                0.99524,                 26.354,                0.96479,             0.00081601,             0.00081601,             0.00081601
                      4,                 1.0149,                 8.5343,                0.97438,                0.98186,                 29.325,                0.88858,                0.44646,                0.32868,                0.21093,                 0.1593,                 1.0565,                 6.6266,                 1.0107,                 1.0801,                 23.102,                0.96994,             0.00080826,             0.00080826,             0.00080826
                      5,                0.94761,                 6.8073,                0.97625,                0.95816,                 24.963,                0.87256,                0.40943,                0.34317,                0.29525,                0.21929,                 0.9838,                 5.3497,                 1.0021,                 1.0297,                 19.121,                0.98723,             0.00080826,             0.00080826,             0.00080826
                      6,                0.88441,                 5.7756,                0.94633,                0.90619,                 20.839,                0.87898,                0.40097,                0.34398,                 0.2745,                0.20409,                0.99638,                 4.8657,                 1.0212,                 1.0337,                 16.383,                 1.0076,             0.00080001,             0.00080001,             0.00080001
                      7,                 0.8973,                 5.1738,                0.93747,                0.91371,                  17.46,                0.89065,                0.41769,                0.41076,                0.33069,                0.23257,                 1.0117,                 4.1734,                 1.0269,                 1.0462,                 13.822,                0.99699,             0.00079177,             0.00079177,             0.00079177
                      8,                 0.8785,                 4.4685,                0.93999,                0.91947,                 15.147,                0.88162,                0.59272,                 0.3857,                0.41363,                0.30709,                0.99568,                 3.6283,                 1.0283,                 1.0164,                 11.885,                 1.0126,             0.00078352,             0.00078352,             0.00078352
                      9,                0.86228,                 3.9105,                0.96689,                0.90317,                 12.949,                0.91054,                0.65947,                 0.3483,                0.39215,                 0.2878,                0.95707,                 3.4666,                 1.0276,                0.99686,                 10.094,                 1.0062,             0.00077527,             0.00077527,             0.00077527
                     10,                0.83152,                 3.3363,                0.94101,                0.86569,                 10.741,                 0.8944,                0.67529,                0.47631,                0.49823,                0.35574,                0.94032,                 3.1161,                 1.0069,                 1.0579,                 8.7708,                 1.0064,             0.00076703,             0.00076703,             0.00076703
                     11,                0.84529,                   2.94,                0.94658,                0.90412,                 9.1875,                0.89421,                0.64315,                0.48397,                0.51008,                 0.3712,                0.96143,                   2.56,                 1.0202,                 1.0289,                 7.5417,                 1.0161,             0.00075878,             0.00075878,             0.00075878
