                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2246,                 19.173,                0.32756,                0.43237,                0.11779,                0.00811,                0.00588,                0.65354,                 1.7403,                 0.2875,             0.00027716,             0.00027716,             0.00027716
                      2,                0.32094,                 1.3131,                0.05439,                0.17159,                 0.1772,                0.03298,                0.02463,                0.26876,                 1.3247,                0.03057,             0.00053652,             0.00053652,             0.00053652
                      3,                0.34447,                 1.2515,                0.05464,                0.32837,                0.18431,                0.03606,                0.02548,                0.45547,                  1.306,                0.11634,             0.00077755,             0.00077755,             0.00077755
                      4,                0.36297,                 1.1001,                0.04032,                0.37463,                0.19333,                 0.1103,                0.08608,                0.42113,                 1.0994,                 0.0854,             0.00075053,             0.00075053,             0.00075053
                      5,                0.28707,                 1.0117,                0.03431,                0.60641,                0.26103,                 0.2226,                0.17103,                0.29273,                 1.1067,                0.03425,             0.00075053,             0.00075053,             0.00075053
                      6,                0.29546,                0.87987,                0.03687,                0.75859,                0.33205,                0.39508,                0.30116,                0.36906,                 1.0805,                 0.0602,             0.00072304,             0.00072304,             0.00072304
                      7,                0.27792,                0.75292,                0.03151,                0.73188,                0.43776,                0.43457,                0.32449,                0.30172,                0.94466,                0.04655,             0.00069556,             0.00069556,             0.00069556
                      8,                0.27849,                0.72274,                0.03401,                0.68112,                0.43494,                0.44192,                0.33168,                0.42115,                0.99181,                0.07208,             0.00066807,             0.00066807,             0.00066807
                      9,                0.27009,                0.58764,                0.03485,                0.66011,                0.45121,                0.52072,                0.38799,                 0.3749,                0.99171,                0.06572,             0.00064058,             0.00064058,             0.00064058
                     10,                0.24945,                0.55059,                 0.0309,                 0.6945,                0.43713,                0.51076,                0.38631,                0.37517,                 1.0963,                0.06946,             0.00061309,             0.00061309,             0.00061309
                     11,                 0.2594,                0.52685,                0.03059,                0.66443,                 0.6376,                0.63135,                0.47041,                0.28401,                0.76473,                0.03131,              0.0005856,              0.0005856,              0.0005856
                     12,                0.25926,                0.55133,                 0.0271,                0.75703,                0.66348,                0.67876,                0.51967,                0.26897,                0.64251,                0.03339,             0.00055811,             0.00055811,             0.00055811
                     13,                0.27253,                 0.5545,                0.02982,                0.85137,                0.66825,                0.67701,                0.48998,                0.30949,                0.66465,                0.03925,             0.00053062,             0.00053062,             0.00053062
                     14,                0.25826,                0.53601,                0.02379,                0.71213,                0.62888,                0.65936,                0.50428,                 0.2804,                0.66368,                0.03368,             0.00050313,             0.00050313,             0.00050313
                     15,                0.24256,                0.49705,                0.02198,                0.71088,                0.63682,                0.66528,                0.50323,                0.28194,                 0.7335,                0.03226,             0.00047564,             0.00047564,             0.00047564
                     16,                0.25865,                0.46607,                0.03055,                0.73824,                 0.7044,                0.70886,                0.54906,                0.25913,                0.63983,                0.03142,             0.00044815,             0.00044815,             0.00044815
                     17,                0.21122,                0.44296,                0.02159,                0.89968,                0.65926,                0.68227,                 0.5397,                0.24665,                0.59764,                0.03016,             0.00042066,             0.00042066,             0.00042066
                     18,                0.21582,                0.43962,                0.02047,                0.84112,                0.61545,                0.63395,                0.48764,                0.28196,                0.82553,                0.03763,             0.00039318,             0.00039318,             0.00039318
                     19,                0.20562,                0.41398,                0.02242,                0.86266,                 0.6811,                0.68045,                 0.5288,                0.25546,                0.64035,                0.03211,             0.00036569,             0.00036569,             0.00036569
                     20,                0.21388,                0.44541,                0.02189,                0.86811,                0.63563,                0.65145,                0.51461,                0.27072,                0.71942,                0.03759,              0.0003382,              0.0003382,              0.0003382
                     21,                0.19176,                0.38644,                 0.0176,                0.79421,                0.59852,                 0.6089,                0.47133,                0.27967,                 0.7846,                0.04123,             0.00031071,             0.00031071,             0.00031071
                     22,                0.18159,                0.35344,                0.01696,                0.85064,                 0.6526,                0.66466,                0.53192,                0.26863,                0.68143,                0.04153,             0.00028322,             0.00028322,             0.00028322
                     23,                0.17176,                0.32149,                0.01555,                0.83185,                0.61789,                0.62972,                0.50956,                0.26223,                0.72607,                0.03809,             0.00025573,             0.00025573,             0.00025573
                     24,                0.17082,                0.33381,                0.01581,                0.83909,                 0.6281,                0.65912,                0.52418,                0.26842,                 0.7632,                0.03671,             0.00022824,             0.00022824,             0.00022824
                     25,                0.16142,                0.30558,                0.01425,                 0.8351,                0.69517,                0.67427,                0.53439,                0.25732,                0.73127,                0.03302,             0.00020075,             0.00020075,             0.00020075
                     26,                0.15865,                0.29962,                0.01399,                0.83846,                0.66056,                0.66841,                0.53257,                0.25519,                0.71409,                0.03177,             0.00017326,             0.00017326,             0.00017326
                     27,                0.15547,                0.28168,                0.01412,                0.88205,                0.63177,                0.66981,                0.53601,                0.26347,                0.69662,                0.03646,             0.00014577,             0.00014577,             0.00014577
                     28,                0.14534,                0.26754,                0.01263,                0.86765,                0.61991,                0.65376,                 0.5141,                0.27861,                0.72219,                 0.0438,             0.00011829,             0.00011829,             0.00011829
                     29,                0.14804,                0.26608,                0.01267,                0.82853,                0.67434,                0.66653,                0.52718,                0.26152,                0.73796,                0.03806,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.13936,                0.25551,                0.01221,                0.84895,                0.67318,                0.67262,                0.53936,                0.24646,                0.75354,                0.03124,             6.3308e-05,             6.3308e-05,             6.3308e-05
