                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9636,                 8.0542,                0.92179,                0.87508,                0.86019,                0.89436,                0.65449,                 1.0477,                 4.1365,                 1.0123,             0.00066545,             0.00066545,             0.00066545
                      2,                0.98621,                 4.6636,                0.95339,                0.94949,                  0.891,                0.93518,                0.73431,                0.98728,                  3.133,                0.95543,              0.0013189,              0.0013189,              0.0013189
                      3,                0.96719,                 3.8467,                0.95388,                0.97112,                0.63744,                0.80863,                0.65046,                 1.0186,                 2.7298,                0.98732,              0.0019592,              0.0019592,              0.0019592
                      4,                 1.0256,                 3.1812,                 0.9658,                0.94398,                0.79858,                0.88626,                0.67256,                 1.0731,                 2.2785,                 1.0482,              0.0019406,              0.0019406,              0.0019406
                      5,                0.95313,                 2.3602,                0.97518,                0.98951,                0.67062,                0.83319,                0.66434,                  1.013,                 1.9435,                 1.0101,              0.0019406,              0.0019406,              0.0019406
                      6,                0.94794,                 1.7863,                0.97843,                0.93954,                0.82701,                0.90393,                0.70598,                0.97234,                 1.4761,                0.99842,              0.0019208,              0.0019208,              0.0019208
                      7,                0.92221,                 1.4651,                0.94355,                0.92947,                0.87441,                0.92106,                0.68958,                 1.0433,                 1.2329,                 1.0204,               0.001901,               0.001901,               0.001901
                      8,                0.89036,                 1.1599,                0.91529,                0.95573,                0.86967,                0.92634,                0.73525,                0.95549,                 1.0371,                0.98517,              0.0018812,              0.0018812,              0.0018812
                      9,                0.85369,                  1.029,                0.93259,                0.96286,                0.86019,                0.91002,                0.70846,                0.95612,                 0.9813,                0.98721,              0.0018614,              0.0018614,              0.0018614
                     10,                0.82378,                0.86597,                0.91445,                 0.9599,                0.90758,                0.94555,                0.76287,                0.90523,                 0.8297,                0.95991,              0.0018416,              0.0018416,              0.0018416
                     11,                0.84779,                0.80088,                0.92289,                 0.9613,                0.89573,                0.94008,                0.74692,                0.93224,                0.87991,                 0.9739,              0.0018218,              0.0018218,              0.0018218
