                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9844,                 7.9007,                0.92848,                0.82192,                0.85308,                0.88418,                0.68049,                0.99104,                 4.1311,                0.97261,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0074,                 4.7397,                0.96006,                 0.9893,                0.43839,                0.71429,                0.58083,                 1.1199,                 3.4489,                 1.0082,              0.0013189,              0.0013189,              0.0013189
                      3,                0.97608,                 3.7577,                0.96072,                0.99631,                0.63981,                0.81885,                0.64861,                 1.0337,                 2.8919,                0.99682,              0.0019592,              0.0019592,              0.0019592
                      4,                0.96964,                 2.9657,                0.93349,                0.97859,                0.75829,                0.87438,                  0.701,                  1.021,                 2.0566,                0.96353,              0.0019406,              0.0019406,              0.0019406
                      5,                0.91563,                  2.084,                0.92761,                0.97753,                0.61848,                0.79964,                0.62631,                 1.1063,                 1.9175,                 1.0432,              0.0019406,              0.0019406,              0.0019406
                      6,                0.91406,                 1.6527,                0.94331,                0.98433,                0.74408,                0.86775,                0.69047,                 1.0252,                 1.5781,                 1.0079,              0.0019208,              0.0019208,              0.0019208
                      7,                0.93429,                  1.374,                0.94184,                0.96893,                 0.8128,                0.89908,                0.67854,                 1.0579,                 1.1528,                0.98936,               0.001901,               0.001901,               0.001901
                      8,                 0.9109,                 1.1098,                0.91364,                0.89986,                0.87678,                0.92519,                0.72689,                0.97724,                 1.0897,                0.98163,              0.0018812,              0.0018812,              0.0018812
                      9,                0.87627,                 1.0338,                0.94009,                0.92911,                0.86967,                0.92487,                0.72444,                 1.0002,                 1.0456,                 1.0211,              0.0018614,              0.0018614,              0.0018614
                     10,                0.84901,                 0.9221,                0.92205,                0.96164,                0.83175,                0.90395,                0.71288,                 0.9516,                0.91095,                 1.0077,              0.0018416,              0.0018416,              0.0018416
                     11,                0.84575,                 0.8088,                0.92181,                0.94207,                0.88626,                0.92959,                0.74667,                0.92899,                0.85362,                0.95438,              0.0018218,              0.0018218,              0.0018218
                     12,                0.82389,                 0.7704,                0.90098,                0.96226,                0.84597,                0.91185,                 0.7272,                0.99452,                0.83429,                0.99997,               0.001802,               0.001802,               0.001802
                     13,                0.81168,                0.71601,                0.91782,                 0.9494,                0.93365,                0.95907,                0.75142,                0.96441,                0.74553,                0.98984,              0.0017822,              0.0017822,              0.0017822
                     14,                0.84045,                0.69913,                0.91067,                0.94764,                0.85782,                0.91929,                 0.7445,                0.92874,                0.92116,                0.99592,              0.0017624,              0.0017624,              0.0017624
                     15,                0.84515,                0.69853,                0.89903,                0.93154,                0.90284,                0.93848,                0.75535,                 0.9426,                0.78517,                0.97168,              0.0017426,              0.0017426,              0.0017426
                     16,                0.81281,                0.66435,                0.90873,                  0.946,                 0.8128,                0.89909,                0.72132,                0.97712,                0.94808,                 1.0055,              0.0017228,              0.0017228,              0.0017228
                     17,                0.77854,                0.62314,                0.88127,                0.96632,                0.88389,                0.93527,                 0.7582,                0.94767,                0.79242,                0.98308,               0.001703,               0.001703,               0.001703
                     18,                0.75459,                0.58499,                0.88523,                0.96144,                0.88626,                 0.9349,                0.75477,                0.93441,                0.71095,                0.97874,              0.0016832,              0.0016832,              0.0016832
                     19,                0.72922,                0.55677,                0.87792,                0.92961,                0.90758,                0.94099,                 0.7592,                0.94034,                0.75879,                0.99444,              0.0016634,              0.0016634,              0.0016634
                     20,                0.72759,                0.55474,                0.89005,                0.96124,                0.88152,                0.93488,                 0.7631,                0.88853,                0.77433,                0.95698,              0.0016436,              0.0016436,              0.0016436
                     21,                0.76287,                 0.5586,                0.88645,                0.94568,                0.90758,                0.94379,                0.76127,                0.88442,                0.80849,                0.95849,              0.0016238,              0.0016238,              0.0016238
                     22,                0.75977,                0.55309,                0.88467,                0.90566,                0.93273,                0.95895,                 0.7773,                0.87217,                 0.8826,                0.93679,               0.001604,               0.001604,               0.001604
                     23,                0.77304,                0.54394,                0.88056,                0.96561,                0.86493,                0.92539,                0.74582,                0.90015,                0.85265,                0.95401,              0.0015842,              0.0015842,              0.0015842
                     24,                0.79115,                0.55895,                0.89736,                0.95676,                0.83886,                0.90881,                0.74236,                0.92904,                0.77789,                0.97246,              0.0015644,              0.0015644,              0.0015644
                     25,                0.73285,                0.52759,                0.87324,                0.95265,                0.90579,                0.94651,                 0.7743,                0.89104,                0.66873,                0.96867,              0.0015446,              0.0015446,              0.0015446
                     26,                0.72118,                0.51178,                0.86628,                0.94527,                0.90047,                0.94128,                 0.7755,                0.88303,                0.64639,                 0.9565,              0.0015248,              0.0015248,              0.0015248
                     27,                0.70816,                0.48806,                0.86065,                0.94988,                0.94313,                0.95932,                0.77993,                0.89797,                 0.6146,                0.96938,               0.001505,               0.001505,               0.001505
                     28,                0.71758,                0.49166,                0.87596,                0.96373,                0.88152,                0.93594,                 0.7582,                0.89052,                0.61146,                0.97768,              0.0014852,              0.0014852,              0.0014852
