                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96475,                 1.8211,                   1.02,                0.96169,                0.59479,                0.78133,                0.61638,                 1.0977,                 1.0422,                 1.1655,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.1067,                 1.0558,                 1.1362,                0.93333,                0.53081,                0.74086,                0.59704,                 1.1438,                 1.1396,                 1.2099,              0.0012442,              0.0012442,              0.0012442
                      3,                 1.0536,                0.96199,                 1.1058,                0.94675,                0.75829,                0.86269,                0.65409,                 1.2164,                 1.1604,                 1.2589,              0.0017349,              0.0017349,              0.0017349
                      4,                 1.0854,                0.92011,                  1.139,                      1,                 0.1019,                0.55094,                0.45562,                 1.2294,                 1.3442,                 1.2338,               0.001604,               0.001604,               0.001604
                      5,                0.98433,                 0.8383,                 1.0912,                 0.9233,                0.74171,                0.85141,                0.65443,                 1.1664,                0.92963,                 1.2155,               0.001604,               0.001604,               0.001604
                      6,                0.99066,                 0.7901,                 1.0783,                0.98462,                0.30332,                0.64491,                0.54424,                 1.1382,                 0.9708,                 1.1725,               0.001472,               0.001472,               0.001472
                      7,                0.92611,                0.64707,                  1.026,                 0.9951,                0.48104,                0.73862,                0.61288,                 1.0982,                 1.0713,                 1.1684,                0.00134,                0.00134,                0.00134
                      8,                0.85072,                0.55858,                0.98858,                0.98377,                0.71801,                0.85256,                0.69482,                 1.0297,                 0.8368,                 1.1324,               0.001208,               0.001208,               0.001208
                      9,                0.81831,                0.54003,                 0.9697,                0.97569,                0.66588,                0.82377,                0.66959,                 1.0657,                0.77173,                 1.1405,               0.001076,               0.001076,               0.001076
                     10,                0.77096,                0.48806,                0.94735,                0.97569,                0.66588,                0.82602,                 0.6781,                  1.017,                0.74956,                  1.149,               0.000944,               0.000944,               0.000944
                     11,                 0.7502,                0.46748,                0.93792,                0.97993,                0.69431,                0.84146,                 0.6773,                 1.0768,                0.86425,                 1.1548,               0.000812,               0.000812,               0.000812
                     12,                0.69322,                0.43422,                0.91696,                0.97806,                0.73934,                0.86358,                0.71593,                0.98055,                0.68852,                  1.102,                0.00068,                0.00068,                0.00068
                     13,                0.64834,                0.41705,                 0.8932,                0.98947,                0.66825,                0.83159,                0.70157,                0.95182,                0.72418,                 1.1064,               0.000548,               0.000548,               0.000548
                     14,                0.62182,                0.39259,                0.88184,                0.97248,                0.75355,                0.87001,                0.72667,                0.95427,                0.75003,                 1.0952,               0.000416,               0.000416,               0.000416
                     15,                0.58792,                0.37491,                0.86982,                0.98113,                0.73934,                 0.8655,                0.72455,                0.92836,                0.73958,                 1.0713,               0.000284,               0.000284,               0.000284
