                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97723,                 8.8109,                 0.9793,                0.96159,                 38.648,                0.92589,                0.60355,                0.60247,                0.63213,                0.42891,                 1.0998,                 4.9677,                  1.111,                 1.1177,                 24.504,                 1.0731,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0209,                 5.6567,                 1.0371,                 0.9736,                 25.677,                0.98598,                0.60961,                 0.6019,                0.63859,                0.45963,                 1.1036,                 3.7448,                 1.0995,                 1.1185,                 17.336,                 1.1324,              0.0012442,              0.0012442,              0.0012442
                      3,                0.99633,                 4.4322,                 1.0293,                0.94608,                 18.095,                0.98189,                0.58949,                0.66114,                0.63379,                0.45901,                 1.0733,                 3.1227,                 1.0869,                 1.0664,                 13.197,                 1.0946,              0.0017349,              0.0017349,              0.0017349
                      4,                 1.0848,                 3.5685,                 1.0531,                 1.0646,                  13.76,                0.99437,                0.58488,                0.58094,                0.63586,                0.46428,                 1.0973,                 2.6118,                 1.0984,                 1.0876,                 10.159,                 1.0652,               0.001604,               0.001604,               0.001604
                      5,                 0.9534,                 2.6664,                  1.006,                0.93985,                  10.22,                0.96526,                 0.7657,                0.72019,                0.79796,                0.58861,                 1.0096,                 1.9405,                 1.0604,                 1.0429,                 7.3064,                 1.0739,               0.001604,               0.001604,               0.001604
                      6,                0.90201,                  2.385,                 0.9877,                0.85578,                 9.4805,                0.91604,                0.79344,                0.67299,                0.80056,                0.57981,                 1.0352,                 1.6808,                 1.0917,                 1.0777,                 5.5747,                 1.0981,               0.001472,               0.001472,               0.001472
                      7,                0.84334,                 1.8836,                0.96215,                0.80525,                 7.0366,                0.90733,                0.69102,                0.67536,                0.67231,                0.49817,                0.98812,                 1.7726,                 1.0387,                0.99937,                 4.5731,                 1.0431,                0.00134,                0.00134,                0.00134
                      8,                 0.8059,                 1.4958,                0.93399,                0.77297,                 5.3292,                 0.8823,                0.73204,                0.76066,                0.78862,                0.57623,                0.98208,                 1.2639,                 1.0612,                 1.0567,                  3.534,                 1.0852,               0.001208,               0.001208,               0.001208
                      9,                0.78753,                  1.285,                0.92603,                 0.7769,                  4.208,                0.86822,                0.79984,                0.80332,                0.84569,                0.61591,                0.99761,                 1.2876,                 1.0574,                  1.053,                 3.0569,                 1.0835,               0.001076,               0.001076,               0.001076
                     10,                0.74243,                 1.1152,                 0.9044,                0.72179,                 3.4681,                0.84948,                0.82155,                0.79147,                0.87494,                0.64966,                0.93258,                 1.0661,                 1.0358,                 1.0277,                 2.5483,                 1.0528,               0.000944,               0.000944,               0.000944
                     11,                0.70971,                0.97806,                0.90079,                0.68244,                 2.9743,                0.85549,                 0.8048,                0.81517,                0.85093,                0.62368,                0.95006,                0.96721,                 1.0504,                 1.0141,                 2.3654,                   1.05,               0.000812,               0.000812,               0.000812
                     12,                0.66522,                0.87388,                0.88098,                0.64939,                  2.592,                0.84266,                0.83984,                0.84496,                0.90975,                0.68491,                0.92042,                0.88904,                 1.0169,                0.97612,                 1.9866,                 1.0406,                0.00068,                0.00068,                0.00068
                     13,                0.63308,                0.80375,                0.86642,                0.62214,                 2.3486,                0.82655,                0.83733,                0.81722,                 0.8786,                0.65592,                0.87117,                 0.9345,                0.99842,                0.93652,                  1.974,                 1.0065,               0.000548,               0.000548,               0.000548
                     14,                0.57812,                0.74812,                 0.8456,                0.57077,                 2.1421,                0.80805,                0.84177,                0.83202,                 0.9035,                0.69128,                0.87973,                0.87807,                 1.0059,                0.91115,                 1.8222,                 1.0165,               0.000416,               0.000416,               0.000416
                     15,                0.56578,                0.71095,                0.84288,                0.56671,                 2.0155,                0.80898,                0.91836,                0.79969,                0.91825,                0.69912,                0.87602,                0.84487,                 1.0018,                0.92606,                  1.703,                 1.0224,               0.000284,               0.000284,               0.000284
