                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82595,                 2.2713,                0.24471,                0.82022,                0.74645,                0.77796,                0.58946,                0.50237,                0.55856,                0.17614,             0.00066545,             0.00066545,             0.00066545
                      2,                 0.3896,                0.59823,                0.06084,                0.77137,                0.55966,                0.67409,                0.49475,                0.36299,                0.75362,                0.04113,              0.0013101,              0.0013101,              0.0013101
                      3,                0.37298,                0.65312,                0.04952,                0.90292,                0.66114,                0.78462,                0.48621,                0.43804,                 0.6643,                0.04842,              0.0019328,              0.0019328,              0.0019328
                      4,                0.43572,                 1.2892,                0.07837,                0.58357,                 0.6564,                0.56322,                0.41629,                0.76586,                0.67839,                0.31301,               0.001901,               0.001901,               0.001901
                      5,                0.44215,                0.70591,                0.06308,                0.86224,                0.62796,                0.70655,                0.43568,                0.56642,                0.59314,                0.08678,               0.001901,               0.001901,               0.001901
                      6,                0.42101,                0.57486,                0.05989,                0.83003,                0.68957,                0.72406,                0.53417,                0.33099,                0.73459,                0.04908,               0.001868,               0.001868,               0.001868
                      7,                0.47462,                0.52421,                 0.1116,                0.85328,                0.71801,                0.80527,                0.57956,                0.43759,                0.53425,                0.09317,               0.001835,               0.001835,               0.001835
                      8,                0.44646,                0.47063,                0.07376,                0.90491,                 0.7346,                0.80381,                0.60834,                0.62116,                0.46386,                0.20956,               0.001802,               0.001802,               0.001802
                      9,                0.42351,                0.43451,                0.07234,                0.91241,                0.65877,                0.72717,                0.52677,                0.80382,                0.44371,                0.25331,               0.001769,               0.001769,               0.001769
                     10,                0.40977,                 0.4023,                0.08431,                0.85857,                0.74805,                0.78782,                0.53737,                0.78586,                0.44286,                0.26331,               0.001736,               0.001736,               0.001736
                     11,                0.37707,                 0.3852,                0.06001,                0.91523,                0.81868,                0.87796,                0.68244,                0.37792,                0.44665,                0.06613,               0.001703,               0.001703,               0.001703
                     12,                0.36123,                0.41015,                0.05901,                0.93128,                0.78436,                0.85034,                0.67119,                0.40082,                0.43825,                0.07583,                0.00167,                0.00167,                0.00167
                     13,                0.31195,                0.35227,                0.04769,                0.91902,                0.80681,                0.87254,                 0.6882,                0.45704,                  0.439,                0.10471,               0.001637,               0.001637,               0.001637
                     14,                 0.3515,                0.34109,                 0.0635,                0.91807,                0.88626,                0.92912,                0.71584,                0.31854,                0.41844,                0.05678,               0.001604,               0.001604,               0.001604
                     15,                0.32745,                0.37258,                0.04958,                0.92177,                0.86553,                0.92588,                0.69489,                0.33827,                0.45945,                0.04451,               0.001571,               0.001571,               0.001571
                     16,                 0.2947,                0.39402,                0.04305,                0.86797,                0.50237,                0.56111,                0.42515,                 1.5085,                0.33116,                0.64884,               0.001538,               0.001538,               0.001538
                     17,                0.28111,                0.38478,                0.03307,                0.91184,                0.81043,                0.89742,                0.67477,                0.43966,                0.49619,                0.09523,               0.001505,               0.001505,               0.001505
                     18,                0.33461,                0.35862,                 0.0458,                0.89522,                0.80988,                0.86036,                0.63341,                0.39086,                0.51987,                0.05729,               0.001472,               0.001472,               0.001472
                     19,                 0.3374,                0.36063,                0.04621,                0.94163,                0.84094,                0.89289,                0.69941,                0.38842,                0.39842,                0.07044,               0.001439,               0.001439,               0.001439
                     20,                  0.283,                0.35654,                0.03769,                0.95445,                0.85071,                0.91443,                0.71471,                0.31009,                0.46041,                0.04621,               0.001406,               0.001406,               0.001406
                     21,                 0.2921,                0.36393,                0.03364,                0.92216,                0.90521,                0.93744,                 0.6768,                0.31826,                0.53343,                0.03224,               0.001373,               0.001373,               0.001373
                     22,                0.33336,                0.35267,                0.04545,                0.91588,                0.86019,                0.91975,                0.68283,                0.37266,                 0.4571,                0.05437,                0.00134,                0.00134,                0.00134
                     23,                0.34867,                0.37329,                0.04905,                 0.9484,                0.83649,                0.90009,                0.62004,                0.43908,                0.45778,                0.06748,               0.001307,               0.001307,               0.001307
                     24,                0.31133,                0.35386,                0.03827,                0.90775,                0.86256,                0.91887,                 0.6838,                0.37627,                0.45512,                0.05442,               0.001274,               0.001274,               0.001274
                     25,                0.26818,                0.35301,                0.02851,                0.93769,                0.83886,                 0.9015,                0.67188,                0.31411,                0.56115,                0.03866,               0.001241,               0.001241,               0.001241
                     26,                0.27319,                0.34221,                0.02851,                 0.9373,                0.87204,                0.93898,                0.73169,                0.28482,                0.44828,                0.04463,               0.001208,               0.001208,               0.001208
                     27,                0.29569,                0.36148,                0.03818,                0.91298,                0.88152,                 0.9143,                0.69681,                0.34467,                0.46716,                0.05523,               0.001175,               0.001175,               0.001175
