                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62419,                 1.6718,                0.16649,                0.82085,                0.45603,                0.54421,                0.35998,                0.62338,                 1.1379,                0.15802,             0.00066545,             0.00066545,             0.00066545
                      2,                0.41086,                0.80458,                0.06763,                 0.7657,                0.36398,                0.42147,                 0.3077,                 1.1868,                0.78434,                0.45895,              0.0013101,              0.0013101,              0.0013101
                      3,                0.51963,                0.66886,                0.09605,                0.83738,                0.00948,                0.00619,                0.00295,                 2.9118,                0.05745,                 1.2794,              0.0019328,              0.0019328,              0.0019328
                      4,                0.48475,                0.82694,                0.07742,                0.45106,                0.32464,                0.22461,                 0.1524,                 2.0508,                 0.6234,                 1.0574,               0.001901,               0.001901,               0.001901
                      5,                0.49161,                0.97336,                0.07063,                0.55016,                0.32701,                 0.3071,                0.19902,                 1.5038,                0.47332,                 1.1086,               0.001901,               0.001901,               0.001901
                      6,                0.46629,                 0.7519,                0.07373,                0.83576,                0.22038,                0.21732,                0.16591,                 1.5609,                 1.5305,                0.85197,               0.001868,               0.001868,               0.001868
                      7,                0.47801,                0.68301,                0.08253,                0.70229,                0.25829,                0.27843,                0.20332,                 2.1302,                0.41904,                 0.9765,               0.001835,               0.001835,               0.001835
                      8,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                 2.0424,                0.44204,                  1.048,               0.001802,               0.001802,               0.001802
                      9,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001769,               0.001769,               0.001769
                     10,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                     11,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     12,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                     13,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001637,               0.001637,               0.001637
                     14,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     15,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001571,               0.001571,               0.001571
                     16,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001538,               0.001538,               0.001538
                     17,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     18,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     19,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001439,               0.001439,               0.001439
                     20,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     21,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001373,               0.001373,               0.001373
                     22,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     23,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     24,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001274,               0.001274,               0.001274
                     25,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001241,               0.001241,               0.001241
                     26,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     27,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001175,               0.001175,               0.001175
                     28,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     29,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     30,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     31,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.001043,               0.001043,               0.001043
                     32,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     33,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000977,               0.000977,               0.000977
                     34,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     35,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     36,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000878,               0.000878,               0.000878
                     37,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000845,               0.000845,               0.000845
                     38,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     39,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000779,               0.000779,               0.000779
                     40,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000746,               0.000746,               0.000746
                     41,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     42,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     43,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000647,               0.000647,               0.000647
                     44,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     45,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000581,               0.000581,               0.000581
                     46,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000548,               0.000548,               0.000548
                     47,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     48,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000482,               0.000482,               0.000482
                     49,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000449,               0.000449,               0.000449
                     50,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     51,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000383,               0.000383,               0.000383
                     52,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     53,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     54,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000284,               0.000284,               0.000284
                     55,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000251,               0.000251,               0.000251
                     56,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     57,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000185,               0.000185,               0.000185
                     58,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000152,               0.000152,               0.000152
                     59,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     60,                    nan,                    nan,                    nan,                0.81808,                0.34101,                0.35853,                0.24526,                    nan,                    nan,                    nan,                8.6e-05,                8.6e-05,                8.6e-05
