epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.596,0.97152,8.24588,0.92015,0.89836,0.84597,0.90735,0.68422,1.0014,2.66607,0.96487,0.000665448,0.000665448,0.000665448
2,191.076,1.00591,4.727,0.95252,0.89342,0.93365,0.94288,0.70868,0.99918,1.53944,0.97763,0.00131563,0.00131563,0.00131563
3,283.005,0.95527,3.56843,0.94443,0.95355,0.82701,0.89986,0.66792,1.03083,1.52471,0.9876,0.00194931,0.00194931,0.00194931
4,375.25,0.95058,2.72761,0.93929,0.91807,0.90284,0.93509,0.71546,1.00593,1.08311,0.9647,0.00192575,0.00192575,0.00192575
5,467.149,0.89462,1.99267,0.9253,0.9542,0.88863,0.93241,0.73484,0.96459,0.81732,0.98685,0.001901,0.001901,0.001901
6,559.08,0.8821,1.57775,0.92208,0.9784,0.75118,0.87112,0.69675,0.95573,1.04506,0.95806,0.00187625,0.00187625,0.00187625
7,651.327,0.85745,1.32416,0.90643,0.8833,0.91469,0.93877,0.70946,1.01911,0.79287,0.9995,0.0018515,0.0018515,0.0018515
8,743.412,0.87724,1.1566,0.9012,0.93695,0.9155,0.96347,0.74716,0.9408,0.74567,0.96974,0.00182675,0.00182675,0.00182675
9,835.871,0.86931,1.01333,0.92372,0.95278,0.92654,0.96202,0.73523,0.95415,0.68671,0.9524,0.001802,0.001802,0.001802
10,928.22,0.87241,0.897,0.90682,0.95427,0.89013,0.94127,0.72057,0.9822,0.72371,0.95935,0.00177725,0.00177725,0.00177725
11,1020.43,0.87302,0.86266,0.90944,0.94408,0.90047,0.93828,0.72835,0.9757,0.74666,0.96932,0.0017525,0.0017525,0.0017525
12,1112.69,0.83943,0.78053,0.89857,0.94608,0.91469,0.94528,0.72859,0.94498,0.69136,0.97382,0.00172775,0.00172775,0.00172775
13,1204.4,0.79802,0.73897,0.88743,0.97476,0.91469,0.95457,0.74395,0.9496,0.68891,0.96514,0.001703,0.001703,0.001703
14,1297.14,0.82902,0.73234,0.90031,0.96187,0.91943,0.95891,0.74362,0.96952,0.73437,0.99167,0.00167825,0.00167825,0.00167825
15,1389.16,0.80223,0.71319,0.88229,0.94421,0.87678,0.9348,0.73489,0.94878,0.72461,0.98714,0.0016535,0.0016535,0.0016535
16,1481.52,0.80966,0.67626,0.89732,0.93293,0.90284,0.94366,0.73586,0.95254,0.72443,0.9608,0.00162875,0.00162875,0.00162875
17,1573.46,0.77136,0.62561,0.86953,0.90566,0.9455,0.95944,0.74098,0.96329,0.68355,0.98138,0.001604,0.001604,0.001604
18,1665.98,0.78079,0.61629,0.8766,0.96436,0.85782,0.92292,0.72699,0.89041,0.75972,0.94259,0.00157925,0.00157925,0.00157925
19,1758.2,0.76634,0.59417,0.87845,0.93981,0.92505,0.95719,0.76412,0.88835,0.61868,0.94533,0.0015545,0.0015545,0.0015545
20,1851.2,0.76761,0.60019,0.88637,0.94503,0.93699,0.96149,0.757,0.93164,0.67533,0.95815,0.00152975,0.00152975,0.00152975
21,1943.36,0.76989,0.5751,0.87462,0.93968,0.95972,0.97035,0.76591,0.91214,0.61227,0.97816,0.001505,0.001505,0.001505
22,2036.99,0.74398,0.57449,0.87596,0.93113,0.92911,0.9605,0.73966,0.92705,0.66912,0.97145,0.00148025,0.00148025,0.00148025
23,2129.16,0.78882,0.57553,0.87945,0.93112,0.92891,0.95128,0.74272,0.92085,0.70373,0.97098,0.0014555,0.0014555,0.0014555
24,2221.38,0.75137,0.55946,0.86553,0.95025,0.90521,0.94226,0.75879,0.93062,0.68426,0.96206,0.00143075,0.00143075,0.00143075
25,2314,0.73186,0.52145,0.85149,0.94541,0.90284,0.94496,0.76674,0.88088,0.66285,0.94744,0.001406,0.001406,0.001406
26,2406.12,0.72499,0.52752,0.86285,0.96435,0.93602,0.97702,0.77618,0.87976,0.59223,0.95068,0.00138125,0.00138125,0.00138125
27,2498.5,0.7084,0.51042,0.84452,0.93968,0.95972,0.96929,0.75554,0.90559,0.56377,0.94228,0.0013565,0.0013565,0.0013565
28,2590.69,0.7125,0.49088,0.86193,0.93159,0.95498,0.96544,0.76889,0.88773,0.55401,0.95767,0.00133175,0.00133175,0.00133175
29,2683.3,0.6932,0.47092,0.85051,0.93458,0.94787,0.96266,0.76931,0.89887,0.56809,0.96972,0.001307,0.001307,0.001307
30,2775.74,0.69963,0.4876,0.85692,0.92958,0.93839,0.9574,0.76789,0.91491,0.60196,0.96472,0.00128225,0.00128225,0.00128225
31,2868.13,0.69088,0.48518,0.86269,0.94286,0.93848,0.96457,0.77389,0.86295,0.56852,0.95962,0.0012575,0.0012575,0.0012575
32,2959.71,0.67888,0.46706,0.84618,0.96305,0.92654,0.95692,0.75879,0.89681,0.60352,0.96761,0.00123275,0.00123275,0.00123275
33,3051.84,0.68968,0.464,0.85362,0.95577,0.9218,0.95164,0.75734,0.89207,0.62115,0.94755,0.001208,0.001208,0.001208
34,3143.86,0.68298,0.47816,0.85368,0.95628,0.82938,0.90668,0.74086,0.88237,0.78119,0.95992,0.00118325,0.00118325,0.00118325
35,3236.39,0.68806,0.48557,0.84826,0.94363,0.91232,0.9455,0.74312,0.89915,0.59825,0.95564,0.0011585,0.0011585,0.0011585
36,3329.12,0.6791,0.44729,0.84896,0.93735,0.9218,0.95092,0.76951,0.89188,0.60922,0.96666,0.00113375,0.00113375,0.00113375
37,3421.09,0.66428,0.43625,0.84145,0.93541,0.92654,0.95112,0.75028,0.93344,0.58597,0.97869,0.001109,0.001109,0.001109
38,3513.83,0.66604,0.44029,0.83896,0.9364,0.9455,0.95927,0.77289,0.89038,0.55032,0.96226,0.00108425,0.00108425,0.00108425
39,3605.77,0.64973,0.4226,0.84507,0.95157,0.93128,0.9514,0.77421,0.8385,0.56539,0.93587,0.0010595,0.0010595,0.0010595
40,3697.35,0.63693,0.41339,0.83794,0.94851,0.95024,0.9663,0.7801,0.86653,0.5653,0.95011,0.00103475,0.00103475,0.00103475
41,3789.26,0.6509,0.41955,0.84196,0.93706,0.95261,0.96547,0.76152,0.88228,0.57059,0.94857,0.00101,0.00101,0.00101
42,3881.86,0.64654,0.4255,0.85139,0.9544,0.95024,0.97169,0.77583,0.86105,0.56939,0.95409,0.00098525,0.00098525,0.00098525
43,3974.08,0.61775,0.41023,0.83395,0.95844,0.92891,0.9571,0.78038,0.85846,0.5801,0.96111,0.0009605,0.0009605,0.0009605
44,4065.8,0.62621,0.40798,0.84125,0.93503,0.95498,0.96739,0.76227,0.8831,0.5591,0.95648,0.00093575,0.00093575,0.00093575
45,4158.1,0.63191,0.40608,0.8456,0.94104,0.9455,0.96085,0.77763,0.87562,0.58227,0.95909,0.000911,0.000911,0.000911
