                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97669,                 8.1232,                0.92731,                0.94986,                0.80806,                0.88877,                0.69221,                   0.99,                 3.9402,                0.98873,             0.00066545,             0.00066545,             0.00066545
                      2,                0.98996,                 4.7032,                0.94875,                0.92147,                0.83412,                0.89607,                0.69354,                 1.0375,                 3.0955,                0.97531,              0.0012882,              0.0012882,              0.0012882
                      3,                0.95709,                 3.5516,                0.94939,                0.94709,                0.86256,                0.92115,                0.71522,                0.99804,                 2.4646,                0.99164,              0.0018669,              0.0018669,              0.0018669
                      4,                0.97977,                 2.9474,                0.94863,                 0.9322,                0.91232,                0.94164,                0.73828,                0.95624,                 1.9387,                 0.9697,               0.001802,               0.001802,               0.001802
                      5,                0.90768,                 2.2368,                 0.9228,                0.96774,                0.85308,                0.91966,                0.72919,                0.98987,                 1.5943,                 1.0056,               0.001802,               0.001802,               0.001802
                      6,                0.87446,                    1.7,                 0.9283,                0.97833,                0.74882,                0.87015,                0.69426,                0.98402,                 1.7611,                 1.0201,               0.001736,               0.001736,               0.001736
                      7,                0.85882,                 1.4555,                0.90615,                0.95317,                0.81991,                0.89797,                0.68508,                 1.0123,                 1.3027,                0.98857,                0.00167,                0.00167,                0.00167
                      8,                0.90016,                 1.2279,                0.90621,                0.95226,                 0.8981,                0.94213,                0.75622,                0.95767,                 1.0636,                0.99175,               0.001604,               0.001604,               0.001604
                      9,                0.84641,                 1.0807,                0.92419,                0.94891,                0.92417,                 0.9525,                 0.7702,                0.92665,                 0.9754,                 0.9534,               0.001538,               0.001538,               0.001538
                     10,                 0.8056,                0.96918,                0.89595,                0.94321,                0.90521,                0.94263,                0.75563,                0.92447,                0.85416,                0.95593,               0.001472,               0.001472,               0.001472
                     11,                  0.877,                0.90606,                0.91847,                0.95477,                0.90047,                0.94386,                0.75732,                 0.9088,                0.85414,                0.96299,               0.001406,               0.001406,               0.001406
                     12,                0.78385,                 0.8015,                0.88461,                0.97521,                0.83886,                 0.9124,                0.74271,                0.90796,                0.86325,                0.94355,                0.00134,                0.00134,                0.00134
                     13,                0.79632,                0.76517,                0.89371,                0.96429,                0.89573,                0.94188,                0.74908,                 0.9221,                0.76987,                0.95306,               0.001274,               0.001274,               0.001274
                     14,                0.80055,                0.73268,                0.88827,                0.94763,                0.90047,                0.94311,                0.77403,                0.90904,                0.75247,                0.96368,               0.001208,               0.001208,               0.001208
                     15,                0.81463,                0.71037,                 0.8821,                 0.9443,                0.92406,                0.95444,                0.76301,                0.91985,                 0.7466,                0.96827,               0.001142,               0.001142,               0.001142
                     16,                 0.7769,                0.67979,                0.89252,                0.95322,                0.90758,                0.94406,                0.75932,                0.92003,                0.74457,                 0.9504,               0.001076,               0.001076,               0.001076
                     17,                0.73472,                0.64427,                0.86148,                0.93705,                0.91706,                0.95043,                0.76711,                0.91202,                0.71543,                 0.9568,                0.00101,                0.00101,                0.00101
                     18,                 0.7275,                0.61467,                0.86477,                0.97389,                0.88389,                0.93521,                0.76828,                0.87375,                0.70729,                0.93765,               0.000944,               0.000944,               0.000944
                     19,                0.71876,                0.59544,                0.85702,                0.92723,                0.93602,                0.95719,                0.77808,                0.87965,                0.69831,                0.94559,               0.000878,               0.000878,               0.000878
                     20,                0.71593,                0.58069,                0.87729,                0.94789,                0.90521,                0.94419,                0.77382,                0.89143,                0.67626,                0.96593,               0.000812,               0.000812,               0.000812
                     21,                0.67822,                0.55372,                 0.8529,                0.96316,                 0.8673,                0.92656,                0.76969,                0.88751,                 0.6967,                 0.9552,               0.000746,               0.000746,               0.000746
                     22,                0.67517,                0.53776,                0.84914,                0.95908,                0.88863,                0.93645,                0.77333,                0.85771,                0.68722,                0.93633,                0.00068,                0.00068,                0.00068
                     23,                0.62139,                0.50077,                0.83622,                0.97319,                0.86019,                 0.9252,                0.76289,                0.85159,                0.73737,                0.93819,               0.000614,               0.000614,               0.000614
                     24,                0.59998,                0.47631,                0.82933,                 0.9715,                0.88863,                0.94022,                0.77921,                0.84533,                0.69706,                0.93452,               0.000548,               0.000548,               0.000548
                     25,                0.56914,                 0.4575,                0.82206,                0.96335,                0.87204,                0.93031,                0.78078,                0.82731,                0.69715,                0.92612,               0.000482,               0.000482,               0.000482
                     26,                0.54311,                0.43969,                0.81691,                0.96173,                0.89336,                 0.9408,                0.78488,                0.82773,                0.66544,                0.92703,               0.000416,               0.000416,               0.000416
                     27,                0.52015,                  0.424,                0.81036,                0.96641,                0.88626,                0.93865,                0.77773,                0.83911,                0.71848,                0.93279,                0.00035,                0.00035,                0.00035
                     28,                0.50524,                0.40621,                0.81024,                0.96164,                  0.891,                0.94052,                0.78853,                 0.8177,                0.72038,                 0.9272,               0.000284,               0.000284,               0.000284
                     29,                0.48234,                0.39289,                0.80346,                0.95855,                0.87678,                0.93263,                0.77696,                0.83398,                 0.7366,                0.93278,               0.000218,               0.000218,               0.000218
                     30,                 0.4593,                0.38084,                0.80032,                0.96701,                0.87204,                0.93206,                0.77701,                0.82094,                0.72031,                0.92874,               0.000152,               0.000152,               0.000152
