                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93452,                 9.7583,                0.90777,                      0,                      0,                      0,                      0,                0.86785,                 8.0828,                0.86041,             0.00027364,             0.00027364,             0.00027364
                      2,                0.89619,                 7.9297,                0.89467,                0.18443,                  0.039,                0.10821,                0.08449,                0.91319,                 6.7114,                0.91039,             0.00054585,             0.00054585,             0.00054585
                      3,                 0.8819,                 6.5814,                0.89916,                0.15481,                0.23627,                0.19009,                0.14574,                0.92024,                 5.6774,                0.92514,             0.00081256,             0.00081256,             0.00081256
                      4,                0.85144,                 5.7606,                0.89969,                0.32313,                0.34174,                0.31647,                0.24565,                0.82672,                 5.0401,                0.91141,             0.00080826,             0.00080826,             0.00080826
                      5,                 0.8451,                 5.2609,                0.91082,                0.30547,                0.34916,                0.31535,                0.24749,                0.87634,                 4.6921,                0.93582,             0.00080826,             0.00080826,             0.00080826
                      6,                0.83029,                 4.7687,                0.90072,                0.43679,                0.44312,                0.44919,                0.36516,                0.83962,                 4.2483,                0.92644,             0.00080001,             0.00080001,             0.00080001
                      7,                 0.8496,                  4.039,                0.91442,                0.44083,                0.44217,                0.45626,                0.36456,                0.87712,                 3.8558,                0.95677,             0.00079177,             0.00079177,             0.00079177
                      8,                0.85373,                 3.4674,                0.92726,                0.54513,                0.50051,                0.56237,                0.45627,                0.81259,                 3.2752,                0.94877,             0.00078352,             0.00078352,             0.00078352
                      9,                0.81151,                 3.1634,                0.91867,                0.61122,                0.50609,                0.57995,                0.47711,                0.84212,                 3.1482,                0.95103,             0.00077527,             0.00077527,             0.00077527
                     10,                0.81504,                 2.8317,                0.91751,                0.60769,                0.52845,                 0.5775,                0.47008,                0.83778,                 2.7909,                0.96861,             0.00076703,             0.00076703,             0.00076703
                     11,                0.77846,                 2.4916,                0.90101,                0.54988,                0.56418,                0.60141,                0.48642,                0.84783,                 2.6393,                0.99733,             0.00075878,             0.00075878,             0.00075878
                     12,                0.77176,                 2.1709,                0.90506,                 0.5988,                0.63808,                 0.6539,                0.52448,                0.84804,                 2.3125,                 1.0167,             0.00075053,             0.00075053,             0.00075053
                     13,                0.75727,                 1.9026,                0.89557,                0.70226,                0.51374,                0.62371,                0.50998,                0.81944,                 2.1875,                0.99372,             0.00074229,             0.00074229,             0.00074229
                     14,                0.76182,                 1.7984,                0.89793,                0.68773,                 0.6566,                0.68727,                0.56516,                0.80395,                 2.0352,                0.94848,             0.00073404,             0.00073404,             0.00073404
                     15,                0.75843,                 1.6738,                0.87964,                0.66355,                0.57262,                0.65221,                0.53697,                0.82289,                 2.0184,                0.95138,             0.00072579,             0.00072579,             0.00072579
                     16,                0.72955,                 1.5359,                0.89646,                0.66825,                0.59634,                0.66199,                0.53782,                0.81354,                 1.9353,                0.95057,             0.00071755,             0.00071755,             0.00071755
                     17,                0.77109,                 1.5344,                0.89221,                0.69713,                 0.5589,                 0.6561,                0.52587,                 0.8435,                 1.8358,                0.96646,              0.0007093,              0.0007093,              0.0007093
                     18,                  0.732,                 1.3912,                0.88388,                 0.6735,                0.66303,                0.68483,                0.55065,                0.82637,                 1.6605,                0.96215,             0.00070105,             0.00070105,             0.00070105
                     19,                0.72927,                 1.3442,                0.88763,                0.68418,                 0.6282,                0.68076,                0.56538,                0.82607,                 1.5896,                0.97249,             0.00069281,             0.00069281,             0.00069281
                     20,                0.74776,                  1.201,                0.89077,                0.65969,                0.66613,                0.67577,                0.55529,                   0.82,                 1.5819,                0.96301,             0.00068456,             0.00068456,             0.00068456
                     21,                0.73331,                 1.1145,                0.89007,                0.69809,                0.66194,                0.70638,                0.57659,                0.82246,                 1.4459,                0.99106,             0.00067631,             0.00067631,             0.00067631
                     22,                0.75361,                 1.0733,                0.89056,                0.68774,                0.68317,                 0.7205,                0.59829,                0.81004,                 1.3629,                0.97469,             0.00066807,             0.00066807,             0.00066807
                     23,                0.70832,                 1.0291,                0.88166,                0.68064,                0.65294,                0.69312,                 0.5743,                0.81128,                 1.4504,                0.97313,             0.00065982,             0.00065982,             0.00065982
                     24,                0.70335,                0.97141,                0.87771,                0.69691,                0.70586,                0.72547,                0.59514,                0.82199,                 1.3453,                0.96569,             0.00065157,             0.00065157,             0.00065157
                     25,                0.71376,                0.94486,                0.87353,                0.71245,                0.62066,                 0.6808,                0.57102,                0.80929,                 1.3294,                0.97454,             0.00064333,             0.00064333,             0.00064333
                     26,                0.69585,                0.92013,                0.87702,                0.73453,                0.63448,                0.70191,                0.58005,                  0.823,                 1.3053,                0.97611,             0.00063508,             0.00063508,             0.00063508
                     27,                0.68203,                0.87328,                0.87177,                0.66006,                0.66216,                0.68847,                 0.5508,                0.84697,                 1.3799,                0.97705,             0.00062683,             0.00062683,             0.00062683
                     28,                0.67757,                0.86527,                0.86683,                0.65317,                0.69176,                0.69789,                0.57889,                0.80956,                 1.2534,                0.98887,             0.00061859,             0.00061859,             0.00061859
                     29,                0.67791,                 0.8391,                0.87862,                0.73804,                0.63691,                0.71643,                0.59492,                0.78954,                 1.2694,                0.97159,             0.00061034,             0.00061034,             0.00061034
                     30,                0.66061,                0.78694,                 0.8766,                0.72245,                0.70442,                0.72981,                0.59426,                0.80658,                   1.15,                0.99172,             0.00060209,             0.00060209,             0.00060209
                     31,                0.67579,                0.77576,                0.87305,                0.68986,                0.74304,                0.74441,                0.60637,                0.82064,                 1.0767,                 1.0047,             0.00059385,             0.00059385,             0.00059385
                     32,                0.66278,                0.76011,                0.86761,                 0.6609,                0.60701,                0.67452,                0.55591,                0.80319,                 1.1458,                0.99377,              0.0005856,              0.0005856,              0.0005856
                     33,                0.67166,                0.74549,                0.85116,                0.64258,                0.67859,                0.70166,                0.59056,                0.80377,                 1.0854,                0.97824,             0.00057735,             0.00057735,             0.00057735
                     34,                 0.6529,                0.71124,                0.85965,                0.66178,                0.70095,                 0.7273,                 0.6046,                0.77257,                 1.0545,                0.96756,             0.00056911,             0.00056911,             0.00056911
                     35,                0.66782,                0.69459,                0.86314,                0.71681,                0.70213,                0.74132,                0.61603,                 0.8167,                 1.1095,                0.98163,             0.00056086,             0.00056086,             0.00056086
                     36,                0.64855,                0.66842,                0.85005,                0.69816,                0.68774,                0.71819,                0.59544,                0.80013,                  1.034,                0.97938,             0.00055261,             0.00055261,             0.00055261
                     37,                0.65631,                 0.6604,                0.85904,                0.69785,                0.69142,                0.70809,                0.58942,                0.79252,                 1.0642,                0.96095,             0.00054437,             0.00054437,             0.00054437
                     38,                0.65834,                0.65133,                0.85695,                0.71329,                0.69516,                0.71704,                0.59855,                0.79395,                 1.0158,                0.96602,             0.00053612,             0.00053612,             0.00053612
                     39,                0.64913,                0.63185,                0.85854,                0.73186,                0.72205,                0.74531,                0.60877,                0.78391,                0.95667,                 0.9721,             0.00052787,             0.00052787,             0.00052787
                     40,                0.63621,                0.60832,                0.85489,                0.66905,                0.68039,                0.70184,                0.58566,                0.79913,                 1.0236,                0.97825,             0.00051963,             0.00051963,             0.00051963
                     41,                0.67601,                0.64497,                0.86692,                0.66376,                0.70751,                0.71715,                0.59466,                0.81908,                 1.0408,                 1.0011,             0.00051138,             0.00051138,             0.00051138
                     42,                0.63207,                0.60981,                0.86024,                0.69587,                0.70042,                0.72192,                0.59783,                0.78689,                0.96821,                0.96882,             0.00050313,             0.00050313,             0.00050313
                     43,                0.63923,                0.60716,                0.86503,                0.66052,                0.70545,                 0.6939,                0.57294,                0.78702,                 1.0007,                0.98384,             0.00049489,             0.00049489,             0.00049489
                     44,                0.61863,                0.59207,                0.84783,                0.69951,                0.71475,                0.72858,                0.59971,                0.78818,                0.96088,                0.98326,             0.00048664,             0.00048664,             0.00048664
                     45,                0.61133,                0.58395,                0.85136,                  0.749,                0.65477,                0.71787,                0.59024,                0.80336,                0.95899,                0.98076,             0.00047839,             0.00047839,             0.00047839
                     46,                   0.63,                0.59434,                 0.8547,                0.68882,                0.70105,                0.72036,                0.59203,                 0.8117,                 1.0161,                0.99866,             0.00047015,             0.00047015,             0.00047015
                     47,                 0.6159,                0.57934,                0.84884,                0.70017,                0.68657,                0.71606,                0.60085,                0.80563,                0.97961,                0.99611,              0.0004619,              0.0004619,              0.0004619
                     48,                0.61586,                0.55912,                0.84885,                0.67647,                0.67711,                0.70111,                 0.5828,                0.79452,                0.97073,                0.97826,             0.00045365,             0.00045365,             0.00045365
