                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8853,                 23.029,                0.65001,                0.00086,                0.10146,                0.00203,                0.00128,                 1.0161,                 3.1487,                 0.3291,             0.00027364,             0.00027364,             0.00027364
                      2,                0.94978,                 1.4583,                0.25896,                0.76599,                0.13083,                 0.0509,                0.03602,                 1.4186,                 1.4789,                0.63194,             0.00054221,             0.00054221,             0.00054221
                      3,                 0.5722,                 1.3027,                0.13055,                0.86825,                0.05263,                0.02487,                 0.0183,                 0.3781,                 2.5895,                0.06692,             0.00080162,             0.00080162,             0.00080162
                      4,                0.41806,                 1.3189,                0.08235,                0.02107,                0.19205,                0.03285,                0.02549,                0.29785,                  1.286,                0.05053,             0.00079177,             0.00079177,             0.00079177
                      5,                0.35519,                 1.1798,                0.05062,                0.38279,                0.13193,                0.06215,                 0.0416,                0.33405,                 1.1323,                0.05252,             0.00079177,             0.00079177,             0.00079177
                      6,                0.36589,                 1.0905,                0.04315,                 0.5346,                0.15093,                0.10816,                0.08263,                0.27289,                 1.1095,                0.03398,             0.00077802,             0.00077802,             0.00077802
                      7,                0.36044,                0.99429,                0.04907,                0.49088,                0.21316,                 0.1658,                0.12536,                0.25396,                   1.02,                0.03262,             0.00076428,             0.00076428,             0.00076428
                      8,                0.33678,                 0.8912,                0.04267,                0.54279,                0.35699,                0.31148,                0.23215,                0.28562,                0.96281,                0.03272,             0.00075053,             0.00075053,             0.00075053
                      9,                0.31471,                 0.7728,                0.03682,                0.57726,                0.48774,                0.44497,                0.33982,                0.27315,                 0.9626,                0.03836,             0.00073679,             0.00073679,             0.00073679
                     10,                0.29558,                0.66655,                0.03222,                0.83057,                0.68786,                0.66331,                0.51936,                0.25296,                0.68659,                0.03262,             0.00072304,             0.00072304,             0.00072304
                     11,                  0.283,                0.59407,                 0.0276,                 0.8556,                0.62168,                0.63233,                0.50018,                0.25527,                0.68745,                0.03262,              0.0007093,              0.0007093,              0.0007093
                     12,                0.27515,                 0.5645,                0.02764,                0.87455,                0.69107,                0.72406,                0.56048,                0.24755,                0.65115,                   0.03,             0.00069556,             0.00069556,             0.00069556
                     13,                0.28869,                0.58052,                0.03172,                0.89327,                0.69469,                0.71486,                0.55538,                0.24581,                0.61811,                0.03101,             0.00068181,             0.00068181,             0.00068181
                     14,                0.29767,                0.48456,                 0.0315,                0.85606,                0.72281,                0.71476,                0.55671,                0.26323,                0.59569,                0.03435,             0.00066807,             0.00066807,             0.00066807
                     15,                 0.2975,                 0.5579,                0.03151,                0.83972,                0.63779,                0.67081,                0.52918,                0.25058,                0.69693,                0.03319,             0.00065432,             0.00065432,             0.00065432
                     16,                0.33792,                0.55917,                0.04293,                0.85372,                0.61773,                0.66516,                0.49473,                0.31116,                0.71194,                0.03737,             0.00064058,             0.00064058,             0.00064058
                     17,                0.33588,                 0.5735,                0.03582,                0.87072,                0.59766,                0.65442,                0.51349,                  0.274,                0.72834,                0.03414,             0.00062683,             0.00062683,             0.00062683
                     18,                0.30538,                0.55995,                 0.0336,                0.83646,                0.59179,                0.63314,                0.49423,                0.26161,                0.80842,                0.03258,             0.00061309,             0.00061309,             0.00061309
                     19,                0.28198,                0.55984,                0.02826,                0.85504,                0.66124,                0.69157,                0.53578,                0.28063,                0.66354,                 0.0473,             0.00059934,             0.00059934,             0.00059934
                     20,                0.25252,                0.52159,                0.02015,                0.82494,                0.69857,                0.69286,                 0.5484,                0.24855,                0.69231,                0.03215,              0.0005856,              0.0005856,              0.0005856
                     21,                0.24629,                0.48534,                0.01938,                0.83676,                0.64162,                0.66669,                0.53046,                0.23655,                0.74859,                0.02904,             0.00057185,             0.00057185,             0.00057185
                     22,                0.26358,                0.49625,                0.02324,                0.87669,                0.68922,                0.71824,                0.56335,                0.23823,                0.60392,                0.02824,             0.00055811,             0.00055811,             0.00055811
                     23,                 0.2266,                0.46362,                0.01819,                0.88695,                 0.7219,                 0.7481,                0.58806,                0.25817,                0.55139,                0.03138,             0.00054437,             0.00054437,             0.00054437
                     24,                0.25741,                0.48526,                0.02529,                0.87567,                0.63629,                 0.6627,                0.52955,                0.26022,                0.69992,                 0.0319,             0.00053062,             0.00053062,             0.00053062
                     25,                0.27141,                0.48136,                0.02285,                0.87986,                0.71858,                0.72268,                0.58098,                0.24518,                0.58375,                0.03133,             0.00051688,             0.00051688,             0.00051688
                     26,                0.23905,                0.46693,                0.02227,                0.87092,                0.64248,                0.65605,                 0.5176,                0.26032,                0.68183,                0.03149,             0.00050313,             0.00050313,             0.00050313
                     27,                0.24174,                0.43007,                0.02146,                0.85702,                0.68077,                0.71255,                 0.5643,                0.24847,                 0.6469,                0.03084,             0.00048939,             0.00048939,             0.00048939
                     28,                0.23911,                0.42395,                0.01788,                0.87936,                0.62792,                0.67184,                 0.5283,                0.25921,                0.73811,                0.03165,             0.00047564,             0.00047564,             0.00047564
                     29,                0.23853,                0.42101,                0.02097,                0.90701,                0.64754,                0.68949,                0.54583,                0.25601,                0.63136,                0.03205,              0.0004619,              0.0004619,              0.0004619
                     30,                0.21518,                0.40617,                0.02032,                0.90034,                0.66049,                0.68269,                0.54829,                0.24418,                0.65399,                 0.0325,             0.00044815,             0.00044815,             0.00044815
                     31,                0.23109,                0.44422,                0.01996,                0.91035,                 0.6338,                0.67654,                 0.5474,                0.23629,                0.77628,                0.02902,             0.00043441,             0.00043441,             0.00043441
                     32,                0.22379,                0.41186,                0.01767,                0.86216,                0.68809,                0.71908,                0.57107,                0.24971,                0.66511,                0.03245,             0.00042066,             0.00042066,             0.00042066
                     33,                 0.2245,                0.42016,                0.01737,                0.89259,                0.68911,                0.72278,                 0.5813,                0.25051,                0.56735,                0.03181,             0.00040692,             0.00040692,             0.00040692
                     34,                0.22657,                0.41293,                0.01796,                0.88895,                0.68478,                0.69456,                0.55147,                0.25481,                0.59023,                0.03423,             0.00039318,             0.00039318,             0.00039318
