                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9733,                  10.21,                 0.9059,                 1.0139,                  35.63,                0.86876,                0.00681,                0.53879,                0.05323,                0.03812,                 0.9314,                 8.2029,                0.88626,                0.83625,                 34.046,                0.84783,             0.00027364,             0.00027364,             0.00027364
                      2,                0.97317,                 8.5925,                0.92239,                 1.0265,                 32.879,                0.89027,                 0.6003,                  0.072,                0.10994,                0.07823,                0.94242,                 7.8973,                0.97416,                0.88143,                 31.036,                 0.8963,             0.00054221,             0.00054221,             0.00054221
                      3,                0.93216,                  7.172,                0.93147,                 0.9866,                 28.942,                0.87957,                0.54583,                0.20433,                0.24822,                0.17866,                0.94644,                 6.6219,                0.99275,                0.92725,                 26.617,                0.95315,             0.00080162,             0.00080162,             0.00080162
                      4,                0.91373,                   6.27,                0.93799,                 1.0384,                 25.424,                0.89265,                0.53372,                0.28985,                0.27773,                0.20712,                0.91076,                 5.7685,                0.99081,                0.93855,                 23.491,                0.93619,             0.00079177,             0.00079177,             0.00079177
                      5,                 0.8745,                 5.5359,                0.93993,                 1.0094,                 22.842,                 0.9048,                0.53734,                0.36229,                0.36093,                0.25674,                0.90143,                 4.8335,                 1.0092,                0.97882,                 20.231,                0.93868,             0.00079177,             0.00079177,             0.00079177
                      6,                0.86081,                 4.9444,                0.93554,                  1.036,                 20.682,                0.91769,                0.60356,                0.35498,                0.41279,                0.30192,                  0.879,                 4.5267,                 1.0079,                0.95824,                 17.881,                0.96805,             0.00077802,             0.00077802,             0.00077802
                      7,                0.87045,                 4.2351,                0.93415,                 1.0476,                 17.351,                 0.9071,                 0.5568,                0.44362,                0.46238,                0.31962,                 0.9009,                 3.9243,                0.98748,                 1.0555,                  16.03,                0.99605,             0.00076428,             0.00076428,             0.00076428
                      8,                0.83999,                  3.638,                0.92587,                 1.0111,                 15.358,                0.92172,                0.61059,                0.44003,                0.47306,                 0.3452,                0.88188,                 3.7996,                0.99291,                0.98314,                  13.83,                0.99747,             0.00075053,             0.00075053,             0.00075053
                      9,                0.83782,                 3.4162,                0.92583,                 1.0213,                 13.786,                0.91187,                0.67048,                0.43912,                0.52011,                0.38539,                 0.9082,                 3.3226,                 1.0377,                 1.0259,                  12.65,                 1.0269,             0.00073679,             0.00073679,             0.00073679
                     10,                0.84201,                 3.0593,                0.93382,                 1.0013,                 11.993,                0.91002,                0.73456,                 0.4495,                 0.5539,                 0.4006,                0.93048,                 3.0578,                 1.0189,                 1.0016,                 10.724,                0.99376,             0.00072304,             0.00072304,             0.00072304
                     11,                 0.8092,                 2.7685,                0.91204,                0.96167,                 10.577,                0.89175,                0.79416,                0.42212,                0.56477,                0.41675,                 0.9268,                 2.9897,                 1.0367,                0.99081,                 10.074,                 1.0002,              0.0007093,              0.0007093,              0.0007093
                     12,                0.82654,                 2.5017,                0.93395,                0.99148,                 9.2394,                0.90482,                0.60791,                0.58427,                0.55943,                0.41743,                0.86527,                 2.5503,                 1.0205,                0.96133,                 8.7639,                0.98606,             0.00069556,             0.00069556,             0.00069556
                     13,                0.80367,                 2.2355,                0.90985,                0.96508,                  7.907,                0.88851,                0.70408,                0.54537,                0.56954,                0.42072,                0.84974,                 2.4724,                0.98366,                0.91452,                 8.0311,                0.95689,             0.00068181,             0.00068181,             0.00068181
                     14,                0.78642,                 2.1338,                 0.9081,                0.93624,                 7.4566,                 0.8778,                 0.7371,                0.46974,                0.54923,                0.40332,                0.86964,                  2.445,                0.99517,                0.92505,                 7.3205,                0.93682,             0.00066807,             0.00066807,             0.00066807
                     15,                0.79125,                 2.0074,                0.90205,                0.95912,                 6.8406,                0.88193,                0.71988,                0.51406,                0.55841,                0.42013,                0.87897,                  2.189,                 1.0159,                0.91506,                 6.5597,                 0.9524,             0.00065432,             0.00065432,             0.00065432
                     16,                0.75107,                 1.8343,                0.90695,                0.88992,                 6.1425,                0.88263,                0.70435,                0.47819,                0.51525,                0.38038,                0.88675,                  2.162,                 1.0141,                0.96948,                 6.1843,                0.98762,             0.00064058,             0.00064058,             0.00064058
                     17,                0.77145,                  1.793,                  0.904,                 0.8979,                 5.7661,                0.87662,                0.69045,                 0.5369,                0.57981,                0.43544,                0.86332,                  2.074,                 1.0012,                0.88918,                 5.6982,                0.98141,             0.00062683,             0.00062683,             0.00062683
                     18,                0.76079,                 1.7134,                0.90094,                0.89797,                 5.3247,                0.88626,                0.82005,                0.44244,                0.58857,                0.43511,                0.84608,                 1.9242,                0.99934,                0.95538,                 5.1255,                 1.0015,             0.00061309,             0.00061309,             0.00061309
                     19,                0.76161,                 1.6357,                0.90904,                 0.9133,                 4.8034,                0.88241,                0.72773,                0.57361,                0.60954,                0.46019,                0.82657,                 1.7752,                0.98872,                0.88267,                 4.7498,                0.95305,             0.00059934,             0.00059934,             0.00059934
                     20,                0.76202,                 1.4844,                0.90404,                0.90756,                 4.3081,                0.87933,                0.72197,                0.52751,                0.58416,                0.42817,                0.84765,                 1.8302,                0.99931,                0.95094,                 4.5396,                0.97755,              0.0005856,              0.0005856,              0.0005856
                     21,                0.75025,                 1.3727,                0.90663,                0.89926,                 4.0004,                0.87739,                0.78676,                0.52684,                0.64023,                0.47222,                0.83303,                 1.6142,                0.98405,                0.91912,                 4.1333,                0.95535,             0.00057185,             0.00057185,             0.00057185
                     22,                0.75951,                 1.3106,                0.90684,                0.89512,                 3.6345,                0.88453,                0.74748,                0.52401,                 0.6004,                0.45289,                0.84418,                 1.6559,                0.98919,                0.89996,                 4.0013,                0.97124,             0.00055811,             0.00055811,             0.00055811
                     23,                0.71935,                 1.2236,                0.88747,                0.86453,                 3.4724,                0.87345,                0.78028,                0.56777,                0.61611,                0.45767,                0.83863,                 1.6044,                0.99558,                0.93362,                 3.8041,                 0.9769,             0.00054437,             0.00054437,             0.00054437
                     24,                0.71013,                 1.2149,                0.88796,                0.83469,                 3.4539,                0.87097,                0.80434,                0.58464,                0.65986,                0.49454,                0.79755,                 1.3753,                0.96162,                0.88691,                  3.412,                 0.9525,             0.00053062,             0.00053062,             0.00053062
                     25,                0.71695,                 1.1143,                0.87656,                0.82596,                 2.9739,                0.86242,                0.79359,                0.58991,                0.64844,                0.49155,                0.79889,                 1.3455,                0.96351,                0.86944,                 3.2447,                0.94833,             0.00051688,             0.00051688,             0.00051688
                     26,                 0.7181,                 1.1034,                0.88559,                0.82552,                 2.9362,                 0.8684,                0.82055,                0.62428,                0.67868,                0.51664,                0.80564,                 1.2921,                0.97006,                0.87531,                  3.013,                 0.9516,             0.00050313,             0.00050313,             0.00050313
                     27,                0.69523,                 1.0554,                0.88251,                0.80391,                 2.8173,                0.86264,                0.82188,                0.54025,                0.63975,                  0.495,                 0.8366,                  1.425,                0.98869,                0.87883,                 3.0401,                0.96089,             0.00048939,             0.00048939,             0.00048939
                     28,                0.69159,                 1.0488,                 0.8794,                0.81816,                 2.7267,                0.86225,                0.72117,                0.57362,                0.62427,                0.47435,                0.83514,                 1.4758,                 0.9931,                0.91804,                 3.0384,                 0.9783,             0.00047564,             0.00047564,             0.00047564
                     29,                0.69334,                 1.0133,                0.88615,                0.80876,                 2.5924,                0.87127,                0.76113,                0.58688,                 0.6262,                0.48119,                0.80824,                 1.5462,                0.98579,                0.84109,                 2.8947,                0.94711,              0.0004619,              0.0004619,              0.0004619
                     30,                 0.6858,                0.94985,                0.89148,                0.79158,                 2.4508,                0.87702,                0.80841,                0.60241,                0.65865,                 0.4948,                0.81312,                 1.3162,                0.98263,                 0.8892,                 2.6789,                0.95658,             0.00044815,             0.00044815,             0.00044815
                     31,                0.69994,                0.94326,                0.88673,                0.81347,                 2.2967,                0.86385,                0.77229,                0.61118,                0.64775,                0.49024,                0.81184,                 1.2264,                 0.9778,                0.88063,                 2.5366,                0.96416,             0.00043441,             0.00043441,             0.00043441
                     32,                0.68319,                0.89789,                0.87342,                0.79479,                 2.2307,                0.85255,                0.68593,                0.61274,                  0.643,                0.49253,                 0.7993,                 1.2249,                0.95756,                0.83632,                 2.5107,                0.93106,             0.00042066,             0.00042066,             0.00042066
                     33,                0.67107,                0.89315,                0.86204,                0.77132,                 2.1457,                0.84875,                0.74529,                0.62783,                0.65068,                0.49343,                0.78649,                 1.2075,                0.96767,                0.85634,                 2.3577,                0.93164,             0.00040692,             0.00040692,             0.00040692
