                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86157,                 5.6898,                0.93057,                0.29693,                0.42015,                0.36829,                0.28664,                0.84603,                 2.8502,                0.96045,             0.00027364,             0.00027364,             0.00027364
                      2,                0.87866,                 2.5236,                0.96349,                0.46566,                0.43212,                0.47736,                0.38002,                 0.9104,                 1.8796,                 1.0221,             0.00054449,             0.00054449,             0.00054449
                      3,                0.87134,                  1.638,                0.97764,                0.67744,                 0.4904,                0.60325,                0.46967,                0.93992,                 1.5722,                 1.0875,             0.00080846,             0.00080846,             0.00080846
                      4,                0.87957,                 1.3392,                 0.9893,                0.61066,                0.54738,                0.62746,                0.48414,                0.92796,                  1.501,                  1.087,             0.00080207,             0.00080207,             0.00080207
                      5,                0.89504,                  1.091,                 1.0048,                0.63169,                0.66359,                0.69742,                 0.5394,                0.94476,                 1.1799,                 1.0793,             0.00080207,             0.00080207,             0.00080207
                      6,                0.83687,                 1.0135,                0.96836,                0.70661,                0.49656,                0.63357,                0.51543,                 1.0111,                 1.3928,                 1.1612,             0.00079177,             0.00079177,             0.00079177
                      7,                0.83228,                0.83817,                0.97348,                0.62181,                0.60682,                0.66821,                0.53778,                0.92396,                 1.3032,                 1.0789,             0.00078146,             0.00078146,             0.00078146
                      8,                0.80498,                0.77109,                0.97227,                0.71699,                0.57174,                0.68925,                0.55793,                0.90443,                 1.1473,                 1.0883,             0.00077115,             0.00077115,             0.00077115
                      9,                 0.8021,                0.77392,                0.94483,                0.71216,                0.58377,                0.67592,                0.54929,                0.89473,                 1.1085,                 1.0848,             0.00076084,             0.00076084,             0.00076084
                     10,                0.81237,                0.74634,                0.96636,                0.67429,                0.66823,                0.71604,                0.55624,                0.95101,                 1.0114,                 1.1194,             0.00075053,             0.00075053,             0.00075053
                     11,                0.77694,                0.72976,                0.94134,                0.71374,                0.70341,                 0.7478,                0.59168,                0.93891,                0.93773,                 1.0916,             0.00074022,             0.00074022,             0.00074022
                     12,                0.78546,                0.67924,                 0.9513,                0.68278,                0.63762,                0.69846,                 0.5718,                0.91696,                 1.0095,                 1.1316,             0.00072992,             0.00072992,             0.00072992
                     13,                0.76852,                0.65808,                0.94089,                0.66968,                0.67361,                0.70844,                 0.5721,                0.88645,                 1.0114,                 1.1014,             0.00071961,             0.00071961,             0.00071961
                     14,                0.76793,                0.65264,                0.95448,                0.71447,                0.68587,                0.74021,                0.60665,                0.88438,                0.87392,                 1.1215,              0.0007093,              0.0007093,              0.0007093
                     15,                0.77328,                0.61309,                0.93388,                0.74292,                0.63353,                0.71223,                0.58427,                0.90181,                0.93721,                  1.091,             0.00069899,             0.00069899,             0.00069899
                     16,                0.76008,                0.61694,                0.95294,                0.73423,                0.57511,                0.68416,                0.57371,                0.87422,                 1.0772,                 1.0654,             0.00068868,             0.00068868,             0.00068868
                     17,                0.74755,                0.60941,                0.93275,                0.74198,                0.62985,                0.69588,                0.56389,                0.89173,                 1.0151,                 1.1149,             0.00067837,             0.00067837,             0.00067837
                     18,                0.72843,                0.58657,                0.92989,                 0.6858,                0.60042,                0.67873,                0.55783,                0.89327,                 1.0494,                 1.0956,             0.00066807,             0.00066807,             0.00066807
