                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96387,                 10.356,                0.87408,                      0,                      0,                      0,                      0,                0.88233,                 8.0964,                0.86538,             0.00027364,             0.00027364,             0.00027364
                      2,                 0.9085,                 8.1091,                0.87147,                0.14286,                0.00501,                0.07393,                0.06266,                0.86458,                 6.7548,                0.91264,             0.00054449,             0.00054449,             0.00054449
                      3,                0.86374,                  6.737,                0.88882,                0.15126,                0.12941,                0.10639,                 0.0805,                0.86021,                 5.9804,                0.93912,             0.00080846,             0.00080846,             0.00080846
                      4,                0.86336,                 5.8248,                0.88521,                0.26825,                0.32136,                0.22222,                0.18013,                0.89487,                 5.6117,                0.95357,             0.00080207,             0.00080207,             0.00080207
                      5,                0.84855,                 5.3019,                 0.8929,                0.40255,                  0.416,                0.39783,                0.31525,                0.85559,                 5.1154,                0.96331,             0.00080207,             0.00080207,             0.00080207
                      6,                0.83121,                 4.7828,                0.88928,                0.38792,                0.48977,                0.46006,                0.37111,                 0.8711,                 4.4927,                0.95361,             0.00079177,             0.00079177,             0.00079177
                      7,                0.84465,                 4.0557,                0.89713,                0.49464,                0.44297,                0.49989,                0.39432,                0.84792,                 3.9854,                0.93719,             0.00078146,             0.00078146,             0.00078146
                      8,                0.80618,                 3.5028,                0.88482,                0.52005,                0.54967,                0.58976,                0.46721,                0.86359,                 3.4847,                0.95906,             0.00077115,             0.00077115,             0.00077115
                      9,                0.83184,                 3.3033,                0.89707,                0.62384,                0.54276,                0.61139,                0.49644,                0.86344,                  3.297,                 0.9573,             0.00076084,             0.00076084,             0.00076084
                     10,                0.79954,                 2.8991,                0.88544,                0.70857,                0.56486,                0.66856,                0.54575,                0.85201,                  2.891,                0.95829,             0.00075053,             0.00075053,             0.00075053
                     11,                 0.7872,                 2.5649,                0.88081,                0.63864,                0.67787,                0.70798,                0.56034,                 0.8272,                  2.656,                0.94371,             0.00074022,             0.00074022,             0.00074022
                     12,                0.77759,                 2.2824,                0.88183,                0.70685,                 0.6195,                 0.6881,                0.55793,                0.81697,                 2.4194,                0.93408,             0.00072992,             0.00072992,             0.00072992
                     13,                0.74897,                 1.9551,                0.86166,                0.67362,                0.62912,                0.68669,                 0.5566,                0.81548,                 2.2878,                0.92863,             0.00071961,             0.00071961,             0.00071961
                     14,                 0.7647,                  1.891,                 0.8721,                0.71154,                0.52173,                0.64148,                0.52068,                0.79857,                 2.1551,                0.91185,              0.0007093,              0.0007093,              0.0007093
                     15,                0.78127,                 1.7847,                0.86025,                0.67655,                0.63242,                 0.6858,                0.55581,                0.81019,                 1.9563,                0.92437,             0.00069899,             0.00069899,             0.00069899
                     16,                0.73572,                  1.632,                0.86589,                0.72458,                0.55435,                0.66585,                0.54918,                0.82815,                 2.0386,                0.93356,             0.00068868,             0.00068868,             0.00068868
                     17,                   0.76,                 1.5486,                0.86339,                0.65316,                0.62548,                 0.6699,                0.55042,                 0.8188,                  1.878,                0.92637,             0.00067837,             0.00067837,             0.00067837
                     18,                0.73605,                 1.4822,                0.86504,                0.74872,                0.53456,                0.65711,                0.54801,                0.80088,                 1.8608,                0.93203,             0.00066807,             0.00066807,             0.00066807
