                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96387,                 10.356,                0.87408,                      0,                      0,                      0,                      0,                0.88233,                 8.0964,                0.86538,             0.00027364,             0.00027364,             0.00027364
                      2,                0.90185,                 8.1246,                0.86925,                      0,                      0,                      0,                      0,                0.87517,                 6.7857,                0.92368,             0.00054585,             0.00054585,             0.00054585
                      3,                0.85286,                 6.7514,                0.88857,                0.02906,                0.03008,                0.01841,                0.01547,                0.84018,                 6.0158,                0.93925,             0.00081256,             0.00081256,             0.00081256
                      4,                 0.8668,                 5.8208,                0.88366,                0.23268,                0.20566,                0.19145,                 0.1554,                0.87782,                 5.5316,                 0.9507,             0.00080826,             0.00080826,             0.00080826
                      5,                0.84436,                 5.3232,                0.89306,                0.40759,                0.30088,                0.34265,                0.27609,                0.85117,                  5.069,                0.95686,             0.00080826,             0.00080826,             0.00080826
                      6,                0.84068,                 4.7376,                0.89482,                0.47817,                0.35084,                0.43662,                0.36221,                0.86824,                  4.526,                0.95043,             0.00080001,             0.00080001,             0.00080001
                      7,                0.86785,                 4.0661,                0.90209,                0.56638,                0.36214,                0.47934,                0.38887,                0.85481,                 3.9987,                0.94663,             0.00079177,             0.00079177,             0.00079177
                      8,                 0.8025,                 3.4511,                0.88605,                0.67016,                 0.4684,                0.57977,                0.46336,                0.87416,                 3.6929,                0.94907,             0.00078352,             0.00078352,             0.00078352
                      9,                0.82314,                 3.2066,                0.88925,                 0.7232,                  0.494,                0.61992,                 0.5018,                0.85546,                 3.2274,                0.93943,             0.00077527,             0.00077527,             0.00077527
                     10,                0.79544,                 2.8252,                0.87679,                0.78265,                0.54612,                0.67709,                0.55444,                0.86373,                 2.7963,                0.95822,             0.00076703,             0.00076703,             0.00076703
                     11,                 0.7845,                 2.5439,                0.87699,                0.72881,                0.55309,                0.66115,                0.54106,                0.82863,                 2.6193,                0.92479,             0.00075878,             0.00075878,             0.00075878
                     12,                 0.7676,                 2.2699,                0.87499,                0.74244,                0.56795,                0.66556,                0.55547,                0.82191,                 2.4227,                0.93836,             0.00075053,             0.00075053,             0.00075053
                     13,                0.74065,                 1.9298,                0.86109,                0.73686,                0.60954,                0.68932,                0.56584,                0.82099,                 2.3123,                 0.9284,             0.00074229,             0.00074229,             0.00074229
                     14,                 0.7694,                 1.8426,                0.87222,                0.73893,                0.55699,                0.66955,                0.55527,                0.81908,                 2.0966,                0.92931,             0.00073404,             0.00073404,             0.00073404
                     15,                 0.7765,                 1.7385,                0.86207,                0.75188,                0.55248,                0.66809,                0.54779,                0.82202,                 2.0091,                0.91612,             0.00072579,             0.00072579,             0.00072579
                     16,                0.75099,                 1.5976,                0.87051,                0.75541,                0.56097,                0.67237,                0.54957,                0.84531,                 1.9179,                0.94274,             0.00071755,             0.00071755,             0.00071755
                     17,                 0.7761,                 1.5161,                 0.8658,                0.73756,                 0.5582,                0.66998,                0.55603,                0.81828,                 1.7727,                0.93367,              0.0007093,              0.0007093,              0.0007093
                     18,                0.72811,                 1.4297,                0.86363,                0.73256,                0.46835,                0.62327,                0.52371,                0.80251,                 1.8931,                0.92247,             0.00070105,             0.00070105,             0.00070105
                     19,                0.74425,                 1.3787,                 0.8614,                0.75168,                0.62159,                0.70837,                0.58443,                0.81176,                 1.5741,                0.92694,             0.00069281,             0.00069281,             0.00069281
                     20,                 0.7524,                 1.2833,                0.86088,                0.70191,                0.66607,                 0.7054,                0.58043,                0.82405,                 1.5288,                0.92633,             0.00068456,             0.00068456,             0.00068456
                     21,                0.73704,                 1.1936,                0.86178,                0.76854,                0.62323,                0.71386,                0.58658,                0.78471,                  1.383,                0.90093,             0.00067631,             0.00067631,             0.00067631
                     22,                0.75834,                 1.1363,                0.86895,                0.75808,                0.64906,                0.72167,                0.59035,                 0.8099,                 1.3894,                0.93453,             0.00066807,             0.00066807,             0.00066807
