epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,635.896,0.91989,10.4511,0.26766,0.75526,0.18577,0.0784,0.05939,0.36949,1.29736,0.0811,0.000277477,0.000277477,0.000277477
2,1273.04,0.31172,0.92771,0.05976,nan,0.54744,0.30797,0.22824,nan,nan,nan,0.000549648,0.000549648,0.000549648
3,1902.88,0.26008,0.77785,0.03648,0.6136,0.53698,0.48745,0.3747,0.26824,0.86521,0.03474,0.000816321,0.000816321,0.000816321
4,2536.03,0.25319,0.65281,0.03016,nan,0.79044,0.71696,0.53284,nan,nan,nan,0.00080826,0.00080826,0.00080826
5,3169.43,0.25427,0.64491,0.03346,0.7986,0.73318,0.75008,0.56898,0.26998,0.77121,0.03591,0.000800013,0.000800013,0.000800013
6,3797.17,0.23289,0.62609,0.02363,0.83811,0.82086,0.83677,0.64458,0.26424,0.6504,0.03191,0.000791767,0.000791767,0.000791767
7,4430.49,0.24069,0.6708,0.02809,0.83593,0.80827,0.82103,0.63651,0.25452,0.75489,0.03031,0.00078352,0.00078352,0.00078352
8,5061.91,0.22383,0.60823,0.02508,0.86301,0.82239,0.84692,0.65684,0.25163,0.65142,0.03011,0.000775273,0.000775273,0.000775273
9,5693.95,0.21357,0.56594,0.02241,0.88439,0.8837,0.87564,0.68692,0.23574,0.56959,0.02567,0.000767026,0.000767026,0.000767026
10,6327.79,0.19959,0.52597,0.02001,0.79418,0.82397,0.80988,0.63066,0.23885,0.64244,0.02589,0.00075878,0.00075878,0.00075878
11,6960.33,0.20267,0.54048,0.02036,0.7388,0.83801,0.81134,0.61973,0.25072,0.6962,0.03119,0.000750533,0.000750533,0.000750533
12,7590.06,0.2044,0.5902,0.02039,0.85863,0.81723,0.84455,0.64899,0.25053,0.66212,0.03164,0.000742286,0.000742286,0.000742286
13,8220.97,0.20789,0.53689,0.02064,0.8714,0.79941,0.80863,0.62524,0.24338,0.63202,0.02501,0.00073404,0.00073404,0.00073404
14,8850.1,0.19401,0.49756,0.01842,0.87371,0.89296,0.88712,0.68268,0.25328,0.5769,0.03166,0.000725793,0.000725793,0.000725793
15,9479.52,0.19261,0.52226,0.01956,0.87369,0.85826,0.88057,0.66054,0.26163,0.60735,0.03249,0.000717546,0.000717546,0.000717546
16,10111.8,0.2096,0.51732,0.02216,0.86939,0.82861,0.85766,0.67984,0.23989,0.59992,0.02664,0.000709299,0.000709299,0.000709299
17,10742.3,0.18775,0.51904,0.0194,0.84416,0.80627,0.83457,0.63349,0.24812,0.67252,0.02706,0.000701053,0.000701053,0.000701053
18,11374,0.20365,0.535,0.02128,0.90791,0.84465,0.8761,0.68453,0.25091,0.55319,0.0353,0.000692806,0.000692806,0.000692806
19,12005,0.20677,0.49178,0.01802,0.82318,0.73915,0.78635,0.60003,0.2715,0.74228,0.03734,0.000684559,0.000684559,0.000684559
20,12627.4,0.20738,0.47672,0.0195,0.8813,0.86772,0.87241,0.68063,0.24591,0.62801,0.02947,0.000676313,0.000676313,0.000676313
21,13256.2,0.19958,0.50787,0.01719,0.87129,0.78393,0.81704,0.64602,0.26287,0.59849,0.03271,0.000668066,0.000668066,0.000668066
22,13886.6,0.23994,0.58114,0.02755,0.84614,0.80394,0.83043,0.63481,0.28456,0.58185,0.03799,0.000659819,0.000659819,0.000659819
23,14518.4,0.19835,0.51398,0.01945,0.87243,0.81304,0.83722,0.65218,0.26214,0.64696,0.02974,0.000651573,0.000651573,0.000651573
24,15152.7,0.21808,0.57009,0.02031,0.7978,0.75743,0.77922,0.62058,0.25103,0.69748,0.02948,0.000643326,0.000643326,0.000643326
25,15786.6,0.20312,0.50143,0.02029,0.86918,0.82811,0.85294,0.6738,0.2393,0.63119,0.02746,0.000635079,0.000635079,0.000635079
26,16419.8,0.19925,0.50765,0.01669,0.88185,0.81071,0.81606,0.63526,0.25555,0.60514,0.03421,0.000626832,0.000626832,0.000626832
27,17050.6,0.18023,0.45661,0.01772,0.89315,0.81485,0.83598,0.65462,0.24589,0.61659,0.02852,0.000618586,0.000618586,0.000618586
28,17682.7,0.17641,0.44149,0.01559,0.81204,0.82549,0.82586,0.64303,0.2413,0.65599,0.02815,0.000610339,0.000610339,0.000610339
