                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87512,                 23.206,                0.74369,                0.83185,                 43.731,                0.68505,                0.37781,                0.27946,                0.20823,                 0.1428,                 1.0091,                 7.4931,                 1.0427,                  1.039,                  26.45,                  1.009,             0.00027751,             0.00027751,             0.00027751
                      2,                0.87295,                 15.474,                0.78585,                0.82911,                 27.401,                0.72821,                0.32113,                0.31215,                0.29993,                0.22337,                 1.0527,                 5.2629,                  1.094,                0.99685,                 15.764,                 1.0427,             0.00054968,             0.00054968,             0.00054968
                      3,                0.84705,                 10.059,                0.80418,                0.80816,                 15.693,                 0.7406,                0.32206,                0.42814,                0.34008,                0.23613,                 1.0661,                 3.3702,                 1.0997,                 1.0966,                 8.9448,                 1.0687,             0.00081635,             0.00081635,             0.00081635
                      4,                0.84179,                 5.9745,                0.80729,                0.81317,                 8.6571,                0.74314,                0.41986,                0.43799,                0.41913,                0.28909,                  1.012,                  2.933,                 1.0935,                 1.0555,                 5.9054,                 1.0635,             0.00080826,             0.00080826,             0.00080826
                      5,                0.79401,                 3.9757,                0.78637,                0.81177,                 5.6453,                0.74238,                0.50959,                0.49962,                0.50852,                0.36557,                0.96155,                 2.2275,                 1.0634,                 1.0532,                 4.2271,                 1.0801,             0.00080826,             0.00080826,             0.00080826
                      6,                0.75241,                 2.9844,                 0.7741,                0.78821,                 3.9527,                0.73149,                0.57951,                 0.4949,                0.52283,                 0.3819,                0.97113,                 2.0136,                 1.0536,                 1.0615,                 3.4643,                 1.0801,             0.00080001,             0.00080001,             0.00080001
                      7,                0.75117,                 2.4507,                0.76296,                0.76814,                  3.044,                0.72999,                0.64151,                0.44055,                0.55948,                0.40898,                0.94133,                 1.6078,                 1.0539,                  1.013,                 2.7261,                 1.0641,             0.00079177,             0.00079177,             0.00079177
                      8,                0.73732,                 1.9895,                0.78561,                0.73902,                 2.4993,                 0.7398,                0.46961,                0.64341,                0.59197,                0.44801,                0.92729,                 1.5199,                 1.0554,                0.96945,                 2.2805,                  1.063,             0.00078352,             0.00078352,             0.00078352
                      9,                0.72122,                 1.7376,                0.76264,                0.72604,                 2.0725,                0.72585,                0.61995,                0.62344,                0.69888,                0.51471,                 0.9334,                 1.3839,                 1.0473,                0.94755,                 1.8558,                 1.0535,             0.00077527,             0.00077527,             0.00077527
                     10,                0.72703,                 1.6012,                0.77201,                0.74264,                  1.829,                0.73423,                0.63316,                0.55426,                  0.628,                0.47482,                0.90208,                 1.5309,                 1.0208,                0.95109,                 1.9035,                 1.0412,             0.00076703,             0.00076703,             0.00076703
                     11,                0.72413,                 1.5119,                0.77555,                0.72733,                 1.6528,                 0.7334,                0.64468,                0.61722,                0.67211,                0.49799,                0.94874,                 1.4474,                 1.0587,                0.98973,                 1.6959,                 1.0592,             0.00075878,             0.00075878,             0.00075878
                     12,                0.72795,                 1.3964,                0.77275,                0.72926,                 1.5727,                0.73246,                 0.6427,                0.64243,                0.68826,                0.51946,                0.97292,                 1.2745,                  1.071,                 1.0179,                 1.5944,                 1.0679,             0.00075053,             0.00075053,             0.00075053
                     13,                 0.7164,                 1.2772,                0.77401,                0.72421,                 1.3826,                0.73028,                 0.6676,                0.62115,                0.68981,                0.51797,                0.90816,                 1.3385,                 1.0656,                0.96888,                 1.4517,                  1.056,             0.00074229,             0.00074229,             0.00074229
                     14,                0.65972,                 1.2037,                 0.7287,                 0.6682,                  1.263,                 0.6943,                0.62642,                0.63937,                0.70882,                0.54733,                0.90313,                  1.229,                 1.0244,                 0.9052,                 1.4735,                  1.032,             0.00073404,             0.00073404,             0.00073404
                     15,                0.68967,                 1.1372,                0.75284,                0.69808,                 1.2107,                0.71873,                0.65107,                0.69402,                0.72632,                0.55391,                0.91356,                 1.0583,                 1.0529,                0.97394,                  1.319,                 1.0861,             0.00072579,             0.00072579,             0.00072579
                     16,                0.69463,                 1.0993,                0.75861,                 0.7028,                 1.1484,                 0.7309,                0.74929,                0.62531,                0.72956,                 0.5719,                0.89295,                 1.1557,                  1.074,                0.94313,                 1.2482,                 1.0683,             0.00071755,             0.00071755,             0.00071755
                     17,                0.66254,                 1.0457,                0.73774,                0.66546,                  1.056,                0.70444,                0.74007,                0.59584,                 0.7264,                0.57011,                0.91006,                 1.3067,                 1.0375,                0.96341,                 1.2792,                 1.0478,              0.0007093,              0.0007093,              0.0007093
                     18,                0.65819,                 1.0168,                0.73969,                0.67169,                  1.028,                0.71416,                0.77449,                0.59355,                 0.7286,                0.55693,                0.89379,                 1.4783,                 1.0323,                0.95475,                 1.4679,                 1.0717,             0.00070105,             0.00070105,             0.00070105
                     19,                0.65788,                 1.1406,                0.75178,                0.67706,                 1.0804,                0.73413,                0.72596,                0.66358,                0.74223,                 0.5748,                0.88761,                 1.2548,                 1.0406,                 0.9171,                 1.2141,                 1.0512,             0.00069281,             0.00069281,             0.00069281
                     20,                0.64904,                 1.0059,                0.73472,                0.65783,                0.94214,                0.70969,                0.77487,                0.60467,                0.73911,                0.56613,                0.90207,                 1.3235,                 1.0698,                0.94972,                 1.2091,                 1.0815,             0.00068456,             0.00068456,             0.00068456
                     21,                0.65901,                0.99474,                0.74221,                0.66698,                0.93405,                0.71239,                  0.759,                0.60034,                0.73716,                0.56857,                0.88723,                 1.2571,                  1.031,                0.90134,                 1.1941,                 1.0301,             0.00067631,             0.00067631,             0.00067631
                     22,                  0.645,                0.91585,                0.74244,                0.65927,                 0.8803,                0.71945,                0.74947,                0.67008,                0.76908,                0.59642,                0.88451,                  1.055,                  1.036,                0.92319,                 1.0697,                 1.0528,             0.00066807,             0.00066807,             0.00066807
                     23,                0.67094,                0.89232,                0.76569,                0.68542,                0.83092,                0.73145,                 0.7658,                0.68606,                0.78624,                0.58146,                0.88819,                 1.0075,                 1.0297,                0.93427,                 1.0647,                 1.0401,             0.00065982,             0.00065982,             0.00065982
                     24,                0.63435,                0.91688,                0.72937,                0.64842,                0.84622,                0.70778,                0.69923,                0.70931,                0.75578,                0.58658,                 0.8544,                 1.2038,                0.99773,                0.88945,                 1.1239,                 1.0162,             0.00065157,             0.00065157,             0.00065157
                     25,                0.65149,                0.84314,                0.74636,                0.65348,                0.78758,                0.72044,                0.76381,                0.64582,                0.77637,                0.59714,                 0.8535,                 1.0142,                 1.0062,                0.89715,                 1.0517,                 1.0559,             0.00064333,             0.00064333,             0.00064333
                     26,                0.63752,                0.82724,                0.74843,                0.64023,                0.77748,                0.72633,                0.88602,                0.59645,                0.78932,                0.60718,                 0.8523,                 1.0087,                  1.014,                0.90088,                 1.0004,                 1.0375,             0.00063508,             0.00063508,             0.00063508
                     27,                 0.6124,                 0.8038,                0.71316,                0.61912,                0.73506,                  0.691,                0.77303,                0.67638,                0.77536,                0.61152,                 0.8507,                0.99214,                 1.0079,                0.89396,                 1.0762,                 1.0591,             0.00062683,             0.00062683,             0.00062683
                     28,                 0.6289,                0.84362,                0.71512,                0.62917,                0.74133,                0.69404,                0.71373,                0.69975,                0.76817,                0.58562,                0.89929,                 1.1325,                  1.034,                 0.9335,                 1.1451,                 1.0634,             0.00061859,             0.00061859,             0.00061859
                     29,                0.64039,                0.79212,                0.73419,                0.64829,                 0.7103,                0.71297,                0.77063,                0.66521,                0.77549,                0.60124,                0.88173,                 1.0188,                 1.0385,                0.94448,                 1.0588,                 1.0642,             0.00061034,             0.00061034,             0.00061034
                     30,                0.64305,                0.78041,                0.74545,                0.64766,                0.70611,                0.72048,                0.76153,                0.65849,                0.76102,                0.59285,                 0.8627,                 1.0018,                 1.0336,                0.89596,                 1.0045,                 1.0638,             0.00060209,             0.00060209,             0.00060209
                     31,                0.60576,                0.74092,                0.72619,                0.62313,                0.67087,                0.70556,                0.67345,                0.69422,                0.76756,                0.59409,                0.85436,                 1.1094,                 1.0372,                0.88794,                 1.0576,                  1.059,             0.00059385,             0.00059385,             0.00059385
                     32,                0.61319,                0.75171,                0.72334,                0.62955,                0.68472,                0.70449,                0.73842,                0.69883,                0.79001,                0.60926,                0.87909,                 1.1171,                 1.0546,                0.91373,                 1.1362,                 1.0625,              0.0005856,              0.0005856,              0.0005856
                     33,                0.60507,                 0.7701,                 0.7215,                0.60838,                0.67379,                0.69727,                0.70881,                0.66596,                 0.7652,                0.60367,                0.86907,                 1.1806,                 1.0238,                0.89158,                 1.0605,                 1.0469,             0.00057735,             0.00057735,             0.00057735
                     34,                0.62097,                0.70041,                0.73784,                 0.6325,                0.65132,                0.71327,                0.79576,                0.63405,                0.75956,                0.59666,                0.85769,                 1.0975,                 1.0155,                0.90431,                 1.0986,                 1.0499,             0.00056911,             0.00056911,             0.00056911
                     35,                0.60715,                0.67162,                  0.727,                0.62117,                0.60461,                0.70621,                0.80308,                 0.6419,                0.77831,                0.61866,                0.84577,                0.92489,                 1.0101,                0.89132,                0.94594,                 1.0406,             0.00056086,             0.00056086,             0.00056086
                     36,                0.59538,                0.69898,                0.71089,                 0.6037,                0.61706,                 0.6897,                0.72094,                0.70122,                0.79006,                0.61376,                0.86049,                0.99208,                 1.0274,                0.90783,                0.99469,                 1.0649,             0.00055261,             0.00055261,             0.00055261
                     37,                0.58934,                0.69437,                0.70938,                0.60927,                0.61461,                0.69196,                 0.7551,                0.74891,                 0.8229,                0.64549,                0.83282,                0.91117,                 1.0007,                0.86689,                0.87159,                  1.029,             0.00054437,             0.00054437,             0.00054437
                     38,                 0.6045,                 0.6973,                0.72671,                0.61287,                0.60352,                0.70107,                0.81066,                0.66692,                 0.8011,                  0.615,                0.85179,                0.98824,                 1.0158,                0.88817,                 1.0144,                 1.0366,             0.00053612,             0.00053612,             0.00053612
                     39,                0.57974,                0.67932,                0.70138,                0.58774,                0.58358,                0.68091,                0.83633,                0.62509,                0.78892,                0.61288,                0.86987,                 1.0783,                 1.0237,                0.91712,                 1.0445,                 1.0513,             0.00052787,             0.00052787,             0.00052787
                     40,                0.58991,                0.68552,                0.71126,                 0.5969,                0.58713,                0.68989,                0.85637,                0.69813,                 0.8331,                0.65556,                0.85622,                0.96596,                 1.0202,                0.88893,                0.92456,                 1.0453,             0.00051963,             0.00051963,             0.00051963
                     41,                0.58187,                0.65983,                0.71773,                0.58378,                0.56469,                0.69845,                0.79873,                0.73537,                0.81696,                0.64678,                0.84858,                0.96561,                 1.0178,                 0.8741,                 0.9088,                 1.0482,             0.00051138,             0.00051138,             0.00051138
                     42,                0.57787,                0.65003,                0.70514,                 0.5887,                0.55104,                0.68546,                0.79322,                0.75653,                 0.8134,                0.64958,                0.85608,                0.94963,                 1.0165,                0.90229,                0.90256,                  1.049,             0.00050313,             0.00050313,             0.00050313
                     43,                0.58222,                0.63795,                0.71181,                0.58819,                0.55561,                0.68936,                0.80821,                0.67999,                0.78834,                 0.6198,                 0.8549,                0.97171,                 1.0336,                0.88878,                 0.9701,                 1.0524,             0.00049489,             0.00049489,             0.00049489
                     44,                 0.5791,                0.62413,                0.70544,                0.58949,                0.54312,                0.68254,                0.85086,                0.70241,                0.81443,                0.63719,                0.85523,                0.99639,                 1.0197,                0.88773,                0.95486,                 1.0378,             0.00048664,             0.00048664,             0.00048664
                     45,                0.58122,                0.62622,                0.72157,                0.59028,                0.54079,                0.70168,                0.83066,                0.75642,                0.84812,                0.66511,                0.84226,                0.84481,                 1.0262,                0.87195,                0.84353,                 1.0647,             0.00047839,             0.00047839,             0.00047839
                     46,                0.59927,                0.62919,                0.72108,                0.61573,                0.52481,                0.70017,                 0.8202,                0.69259,                0.79152,                0.61519,                0.85558,                 1.0208,                 1.0083,                0.91411,                0.95706,                 1.0683,             0.00047015,             0.00047015,             0.00047015
                     47,                0.57304,                0.61023,                0.70457,                0.56967,                0.51751,                0.68246,                0.80086,                0.73353,                 0.7997,                0.62465,                0.86879,                 1.1013,                   1.05,                0.90364,                  1.021,                 1.0775,              0.0004619,              0.0004619,              0.0004619
                     48,                 0.5732,                0.60418,                0.71795,                0.57765,                0.51977,                0.69849,                 0.8698,                0.66967,                0.81286,                 0.6334,                0.84433,                 0.9992,                 1.0187,                0.89681,                0.93226,                 1.0518,             0.00045365,             0.00045365,             0.00045365
                     49,                0.57103,                0.62087,                0.70919,                0.57392,                0.51678,                0.69011,                 0.8609,                0.71797,                0.83281,                0.66557,                0.80177,                0.90916,                 0.9912,                0.82367,                0.85843,                  1.006,             0.00044541,             0.00044541,             0.00044541
                     50,                0.55974,                 0.5951,                0.71067,                0.57073,                0.49225,                 0.6912,                0.80224,                0.74845,                0.83633,                0.65016,                0.83694,                0.93445,                 1.0159,                0.87701,                 0.9126,                 1.0401,             0.00043716,             0.00043716,             0.00043716
                     51,                0.55623,                0.56156,                0.69984,                0.56899,                0.46781,                0.68317,                0.78429,                0.77507,                0.85059,                0.66699,                0.85379,                0.91523,                 1.0252,                0.88672,                0.82584,                 1.0434,             0.00042891,             0.00042891,             0.00042891
                     52,                0.54862,                0.56501,                0.70281,                0.55907,                0.48121,                0.68401,                0.82835,                0.70253,                0.81382,                0.64359,                0.85534,                 1.0996,                 1.0582,                0.89233,                0.94185,                 1.0796,             0.00042066,             0.00042066,             0.00042066
                     53,                0.56964,                0.56182,                0.70664,                0.57671,                0.48416,                0.68616,                0.84782,                  0.684,                0.80366,                0.63545,                0.86074,                 1.0822,                 1.0273,                0.90532,                  0.999,                 1.0551,             0.00041242,             0.00041242,             0.00041242
                     54,                0.56266,                0.56195,                0.70883,                0.58196,                0.48031,                0.68972,                0.87191,                0.72484,                0.82558,                0.64965,                0.86055,                 1.0121,                 1.0552,                0.89937,                0.92579,                 1.0852,             0.00040417,             0.00040417,             0.00040417
                     55,                0.55963,                0.54021,                0.69112,                0.57045,                0.45879,                0.67203,                0.89141,                0.72557,                0.85383,                0.67586,                0.83297,                0.96061,                 1.0125,                0.86042,                0.86341,                  1.034,             0.00039592,             0.00039592,             0.00039592
                     56,                0.54499,                0.53729,                0.69419,                 0.5605,                0.44629,                0.67778,                0.87445,                0.75408,                0.86747,                0.68471,                0.81569,                0.87284,                0.99601,                0.85122,                0.78718,                 1.0167,             0.00038768,             0.00038768,             0.00038768
                     57,                0.54431,                0.52165,                0.69205,                0.55674,                0.45245,                0.67513,                0.80909,                0.72378,                0.81222,                0.64245,                0.85616,                 1.0185,                 1.0305,                0.86706,                0.98205,                 1.0404,             0.00037943,             0.00037943,             0.00037943
                     58,                0.55187,                0.51889,                0.70288,                0.56718,                0.44917,                0.68367,                0.83625,                0.74285,                 0.8272,                0.65099,                0.83345,                0.93108,                 1.0079,                0.85573,                0.88844,                 1.0137,             0.00037118,             0.00037118,             0.00037118
                     59,                0.54589,                0.52194,                0.69961,                0.55507,                0.43783,                0.68166,                0.81409,                0.76366,                0.86333,                0.67687,                0.83301,                0.85098,                 1.0207,                0.85849,                0.80954,                 1.0389,             0.00036294,             0.00036294,             0.00036294
                     60,                0.54713,                0.51074,                0.69983,                0.55475,                0.42381,                0.68022,                0.78681,                 0.7786,                0.84116,                0.65709,                0.82894,                0.92775,                 1.0019,                0.85459,                0.89427,                 1.0025,             0.00035469,             0.00035469,             0.00035469
                     61,                0.54334,                0.52114,                0.69912,                0.54622,                0.43643,                0.67884,                0.76302,                0.75782,                0.83472,                 0.6612,                0.82329,                0.94109,                0.99768,                0.84947,                0.91082,                 1.0179,             0.00034644,             0.00034644,             0.00034644
                     62,                0.54325,                0.51797,                 0.6942,                0.54613,                0.43336,                0.67216,                0.79764,                0.76125,                0.82677,                0.65931,                0.84253,                0.99448,                 1.0099,                0.85569,                0.93567,                 1.0089,              0.0003382,              0.0003382,              0.0003382
                     63,                0.53178,                0.50806,                 0.6855,                0.54243,                0.43187,                0.66563,                0.88413,                0.71119,                0.84824,                0.66424,                0.82659,                0.91101,                 1.0136,                0.86975,                0.87758,                 1.0333,             0.00032995,             0.00032995,             0.00032995
                     64,                0.53914,                 0.4768,                 0.6949,                0.54732,                0.40123,                0.67362,                0.87455,                0.73948,                 0.8437,                0.66949,                 0.8213,                0.90097,                  1.008,                0.84526,                0.86268,                 1.0095,              0.0003217,              0.0003217,              0.0003217
                     65,                0.52652,                 0.4772,                0.69861,                 0.5398,                0.40933,                0.68112,                0.80113,                0.73955,                 0.8286,                0.66034,                0.81229,                 1.0325,                 1.0072,                0.83223,                0.97501,                 1.0139,             0.00031346,             0.00031346,             0.00031346
                     66,                0.52158,                0.50322,                0.68104,                0.52755,                0.41449,                0.66085,                0.82841,                0.76664,                0.85749,                0.67596,                0.82137,                0.84906,                 1.0244,                0.85803,                0.80245,                  1.034,             0.00030521,             0.00030521,             0.00030521
                     67,                0.53376,                 0.4911,                0.69657,                0.54671,                0.40412,                0.67826,                0.86955,                0.73594,                0.84511,                0.68325,                0.81477,                0.90517,                 1.0105,                0.85025,                0.86376,                 1.0357,             0.00029696,             0.00029696,             0.00029696
                     68,                 0.5283,                0.48664,                0.68306,                0.53703,                0.40701,                0.66478,                0.83103,                0.78099,                0.86776,                0.68901,                0.83076,                0.92822,                 1.0248,                0.84906,                0.88051,                 1.0378,             0.00028872,             0.00028872,             0.00028872
                     69,                0.51782,                0.47847,                0.67931,                0.52274,                0.40725,                0.66115,                0.88575,                0.75403,                0.86966,                 0.6893,                0.82838,                0.79146,                 1.0227,                0.83198,                0.77384,                 1.0211,             0.00028047,             0.00028047,             0.00028047
                     70,                0.50221,                0.47393,                0.67391,                0.51252,                0.39118,                0.65635,                0.87717,                0.73502,                0.85554,                0.68555,                0.81601,                0.90111,                  1.005,                0.84356,                0.85573,                 1.0162,             0.00027222,             0.00027222,             0.00027222
                     71,                0.52256,                 0.4415,                0.69734,                0.53358,                0.36919,                0.68081,                0.90486,                 0.7923,                0.88577,                0.71032,                0.81048,                0.79549,                 1.0094,                0.82408,                0.73011,                 1.0192,             0.00026398,             0.00026398,             0.00026398
                     72,                0.52201,                0.46781,                0.68816,                0.52887,                0.38814,                0.66912,                0.84079,                0.78786,                0.85236,                 0.6814,                0.83256,                0.92846,                 1.0181,                 0.8465,                0.85557,                 1.0368,             0.00025573,             0.00025573,             0.00025573
                     73,                0.52286,                0.45504,                0.68944,                0.52765,                0.36427,                0.66748,                 0.8628,                0.76622,                0.84654,                0.68004,                0.82935,                  0.903,                 1.0163,                 0.8479,                0.86266,                 1.0275,             0.00024748,             0.00024748,             0.00024748
                     74,                0.50271,                0.43073,                0.67609,                0.51585,                0.36865,                 0.6579,                0.81441,                0.77494,                0.86905,                0.69258,                0.80637,                 0.8162,                 1.0054,                0.83764,                0.76088,                 1.0313,             0.00023924,             0.00023924,             0.00023924
                     75,                0.50726,                0.42423,                0.68923,                0.51806,                0.35994,                0.66921,                 0.8852,                0.74844,                0.86476,                0.69039,                0.82077,                0.83267,                 1.0062,                0.84426,                0.79495,                 1.0384,             0.00023099,             0.00023099,             0.00023099
                     76,                0.50615,                0.43188,                 0.6702,                0.51726,                0.36023,                0.65458,                 0.8616,                0.77077,                0.85532,                0.68299,                0.81889,                0.89075,                 1.0234,                 0.8393,                0.86413,                 1.0422,             0.00022274,             0.00022274,             0.00022274
                     77,                 0.5112,                0.43315,                0.68537,                0.51908,                 0.3528,                0.66595,                0.77587,                0.78401,                0.84807,                0.67419,                0.81857,                 0.9192,                 1.0058,                0.83293,                0.88156,                 1.0155,              0.0002145,              0.0002145,              0.0002145
                     78,                0.51116,                0.42906,                0.68086,                0.52108,                0.34651,                0.66339,                0.80567,                0.79404,                0.85506,                0.66938,                0.83001,                0.84554,                 1.0107,                0.86475,                0.82207,                 1.0233,             0.00020625,             0.00020625,             0.00020625
                     79,                0.48683,                0.42537,                0.67186,                0.49501,                0.34947,                 0.6547,                0.77732,                0.78547,                0.84593,                0.66238,                0.82362,                0.93317,                 1.0065,                0.85473,                0.90142,                 1.0324,               0.000198,               0.000198,               0.000198
