                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90251,                 19.101,                0.80316,                0.86966,                 40.941,                0.75065,                0.58457,                0.20607,                0.17105,                0.12374,                0.97656,                 7.6815,                0.98787,                 1.0342,                 26.145,                0.96494,             0.00027751,             0.00027751,             0.00027751
                      2,                0.91688,                 12.813,                0.85803,                0.86915,                 26.033,                0.79535,                0.35966,                0.20788,                0.23435,                0.17302,                 1.0036,                 5.3399,                 1.0749,                0.94793,                 15.768,                 1.0224,             0.00053685,             0.00053685,             0.00053685
                      3,                0.85646,                 9.0375,                0.87054,                0.81063,                 15.354,                0.82041,                0.37513,                0.32573,                0.36035,                0.26283,                 1.0207,                 3.7088,                 1.1061,                 1.0207,                 9.4012,                 1.0675,             0.00077787,             0.00077787,             0.00077787
                      4,                0.88197,                 5.6886,                0.86895,                0.84716,                 9.0505,                0.81541,                0.39003,                0.43913,                0.40293,                0.28942,                0.99821,                    2.8,                 1.0729,                 1.0341,                 6.2067,                 1.0977,             0.00075053,             0.00075053,             0.00075053
                      5,                0.82994,                 3.9766,                0.85073,                0.83302,                 6.1268,                0.80742,                0.46281,                0.42075,                0.46664,                0.33675,                0.98143,                 2.1885,                 1.0713,                 1.0544,                 4.6199,                 1.0906,             0.00075053,             0.00075053,             0.00075053
                      6,                0.80256,                 3.0952,                0.83606,                0.81113,                  4.399,                0.79526,                0.56924,                0.41021,                0.48633,                0.35852,                0.95339,                 2.0607,                 1.0508,                0.97359,                  3.438,                 1.0475,             0.00072304,             0.00072304,             0.00072304
                      7,                0.77517,                 2.5906,                0.81979,                0.76304,                 3.4385,                0.78736,                0.66014,                0.45876,                 0.5091,                0.38802,                0.93155,                 1.6127,                 1.0468,                0.92714,                 2.8167,                 1.0378,             0.00069556,             0.00069556,             0.00069556
                      8,                0.76821,                 2.1559,                0.82247,                0.76288,                 2.8548,                0.79474,                0.51894,                 0.5161,                0.54292,                0.40345,                 0.8987,                 1.4719,                 1.0302,                0.92675,                 2.4774,                 1.0327,             0.00066807,             0.00066807,             0.00066807
                      9,                0.76807,                 1.8546,                0.81892,                0.75519,                 2.4218,                0.79086,                0.54486,                0.48622,                 0.5477,                0.41811,                0.88829,                 1.4391,                 1.0353,                0.92924,                 2.2098,                 1.0435,             0.00064058,             0.00064058,             0.00064058
                     10,                0.75848,                 1.6929,                0.81742,                 0.7688,                 2.1385,                0.79061,                0.56337,                0.44864,                0.51014,                0.38299,                 0.9145,                 1.6072,                 1.0259,                0.95838,                 2.1855,                 1.0396,             0.00061309,             0.00061309,             0.00061309
                     11,                0.74916,                 1.5953,                0.81958,                 0.7443,                 1.9269,                0.79053,                0.52168,                 0.5673,                0.57257,                0.43558,                 0.8879,                 1.3361,                 1.0203,                0.91992,                 1.8908,                  1.024,              0.0005856,              0.0005856,              0.0005856
                     12,                0.74664,                 1.5077,                0.82522,                0.74199,                 1.7985,                0.78779,                 0.6406,                0.61271,                0.60214,                0.45647,                0.89988,                 1.1903,                 1.0257,                0.97758,                 1.7185,                  1.061,             0.00055811,             0.00055811,             0.00055811
                     13,                0.72465,                 1.3951,                0.81404,                0.71961,                 1.6365,                0.78399,                0.68456,                0.55032,                0.59966,                 0.4579,                0.91135,                 1.2882,                 1.0226,                0.92595,                 1.6609,                 1.0062,             0.00053062,             0.00053062,             0.00053062
                     14,                0.68427,                  1.334,                0.78396,                 0.6831,                 1.5231,                0.75567,                0.62237,                0.47937,                0.60594,                0.46402,                0.88098,                  1.345,                 1.0008,                0.93812,                 1.6493,                 1.0291,             0.00050313,             0.00050313,             0.00050313
                     15,                0.69577,                 1.2407,                0.79503,                0.70581,                 1.4477,                0.77183,                0.82172,                0.49504,                0.61949,                0.48191,                0.85436,                 1.1195,                 1.0067,                0.87995,                 1.5393,                  1.024,             0.00047564,             0.00047564,             0.00047564
                     16,                0.68323,                 1.1795,                0.79347,                0.69714,                 1.3836,                0.77097,                0.60432,                 0.5595,                0.62689,                 0.5002,                0.84503,                 1.0817,                 1.0123,                0.86157,                 1.4288,                 1.0226,             0.00044815,             0.00044815,             0.00044815
                     17,                0.66313,                 1.1023,                0.78475,                0.66407,                 1.2709,                0.75474,                0.60686,                0.59735,                0.60877,                 0.4774,                0.86434,                 1.1987,                 1.0162,                0.86182,                 1.4574,                0.99422,             0.00042066,             0.00042066,             0.00042066
                     18,                 0.6722,                 1.0554,                0.78201,                0.67011,                 1.2143,                0.75501,                0.60339,                0.55873,                0.59975,                0.46918,                0.84731,                 1.3144,                 1.0064,                0.86075,                 1.5142,                0.99937,             0.00039318,             0.00039318,             0.00039318
                     19,                0.66245,                 1.0663,                0.78201,                0.66024,                 1.1849,                 0.7552,                0.84382,                0.54741,                0.65379,                0.51749,                0.83634,                 1.1307,                0.98886,                0.83462,                 1.3209,                0.98006,             0.00036569,             0.00036569,             0.00036569
                     20,                0.64329,                0.98475,                0.77255,                0.64914,                 1.1282,                0.74607,                0.64859,                0.56182,                0.64618,                0.50193,                0.84938,                 1.2234,                 1.0131,                0.88406,                 1.3196,                 1.0021,              0.0003382,              0.0003382,              0.0003382
                     21,                0.63787,                 0.9679,                0.76063,                0.60262,                  1.095,                0.71262,                0.64597,                0.61073,                 0.6692,                0.52104,                0.83582,                 1.0245,                 0.9897,                0.87539,                 1.2511,                 1.0065,             0.00031071,             0.00031071,             0.00031071
                     22,                0.63484,                0.91244,                0.76153,                 0.6016,                 1.0277,                0.71754,                0.66496,                0.58027,                0.67725,                0.52931,                0.83896,                 1.0691,                0.98778,                0.86937,                 1.2144,                0.99171,             0.00028322,             0.00028322,             0.00028322
                     23,                0.61382,                0.84419,                  0.755,                0.58996,                0.96172,                0.71274,                0.63213,                0.63483,                0.68041,                0.53973,                0.81369,                  1.108,                0.98388,                0.85366,                 1.2195,                 1.0007,             0.00025573,             0.00025573,             0.00025573
                     24,                0.60349,                0.79271,                0.74973,                0.57515,                0.89905,                0.70835,                0.79346,                0.57655,                0.63787,                0.50725,                0.81208,                 1.0731,                0.97913,                0.83479,                 1.3114,                0.98733,             0.00022824,             0.00022824,             0.00022824
                     25,                0.59172,                 0.7679,                0.74427,                0.56671,                0.85334,                0.70783,                0.73495,                0.59949,                 0.6395,                0.50937,                0.80984,                 1.2142,                 0.9801,                0.82199,                 1.3933,                0.97239,             0.00020075,             0.00020075,             0.00020075
                     26,                0.57753,                0.73071,                0.74273,                0.55677,                 0.8042,                0.70703,                0.78669,                0.59101,                0.66363,                0.53128,                0.79344,                 1.1013,                0.98042,                0.82814,                 1.2219,                0.99299,             0.00017326,             0.00017326,             0.00017326
                     27,                0.58409,                0.70537,                 0.7403,                0.55467,                0.76843,                0.69943,                0.81583,                0.58865,                0.66072,                0.52634,                0.80571,                 1.1093,                0.97812,                0.82823,                 1.2114,                0.98841,             0.00014577,             0.00014577,             0.00014577
                     28,                0.56931,                  0.695,                0.73355,                0.54045,                0.74874,                0.69854,                0.87017,                0.53142,                0.66547,                0.53357,                0.80041,                 1.0497,                0.97832,                0.82038,                 1.1901,                0.97746,             0.00011829,             0.00011829,             0.00011829
                     29,                0.55297,                0.66097,                0.72664,                0.53433,                0.71573,                0.69178,                0.84387,                 0.5694,                0.67204,                0.53919,                0.79875,                 1.0399,                0.98667,                0.81501,                 1.1756,                0.98267,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.54624,                0.63486,                0.73207,                0.52585,                0.69555,                0.69923,                0.87882,                0.54282,                0.67211,                 0.5441,                0.79475,                 1.0328,                0.98433,                0.81096,                 1.1769,                0.98326,             6.3308e-05,             6.3308e-05,             6.3308e-05
