                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90441,                 18.325,                0.77539,                0.17716,                0.02716,                0.09227,                0.06426,                 0.9554,                 6.6372,                0.95214,             0.00027751,             0.00027751,             0.00027751
                      2,                0.84614,                  12.01,                0.80798,                0.12824,                0.09987,                0.11234,                0.08872,                0.89172,                 5.0328,                0.93646,             0.00053685,             0.00053685,             0.00053685
                      3,                0.82676,                 8.7821,                0.80169,                0.31559,                0.11839,                0.20657,                 0.1598,                0.98029,                 3.8384,                0.97262,             0.00077787,             0.00077787,             0.00077787
                      4,                0.83788,                 5.5345,                0.80119,                0.61482,                 0.2506,                0.43008,                0.33782,                 0.9391,                 2.9403,                0.99401,             0.00075053,             0.00075053,             0.00075053
                      5,                0.80387,                 3.9528,                0.80402,                 0.5489,                0.29379,                0.41027,                0.33485,                0.91815,                  2.342,                 0.9475,             0.00075053,             0.00075053,             0.00075053
                      6,                0.76842,                 3.0644,                0.78348,                0.81867,                0.25618,                 0.5481,                0.42741,                0.88743,                 2.0952,                0.96108,             0.00072304,             0.00072304,             0.00072304
                      7,                 0.7405,                 2.5426,                0.76431,                0.76144,                0.44905,                0.62323,                0.49806,                0.88875,                 1.6919,                0.95665,             0.00069556,             0.00069556,             0.00069556
                      8,                0.75198,                 2.1234,                0.78684,                0.68521,                0.52195,                0.63944,                0.51233,                 0.8834,                 1.5527,                  0.949,             0.00066807,             0.00066807,             0.00066807
                      9,                0.75631,                 1.9001,                 0.7846,                0.76994,                 0.4104,                0.59771,                0.49295,                0.87938,                 1.5016,                0.95222,             0.00064058,             0.00064058,             0.00064058
                     10,                0.73674,                 1.7079,                0.77753,                0.76568,                0.46422,                0.62775,                0.51056,                  0.888,                 1.4084,                 0.9688,             0.00061309,             0.00061309,             0.00061309
                     11,                0.72193,                 1.5863,                0.77817,                0.70363,                0.53406,                0.65525,                0.52603,                0.91195,                 1.2966,                0.96074,              0.0005856,              0.0005856,              0.0005856
                     12,                0.71352,                 1.5253,                0.77251,                0.73427,                0.51977,                0.64967,                0.53464,                0.89935,                 1.3288,                0.95626,             0.00055811,             0.00055811,             0.00055811
                     13,                 0.7014,                 1.3829,                0.77359,                0.76935,                0.48456,                0.64572,                0.53427,                0.85762,                 1.3067,                0.92843,             0.00053062,             0.00053062,             0.00053062
                     14,                0.66467,                 1.3503,                0.74826,                0.74588,                0.49452,                0.62861,                0.52126,                0.86541,                  1.373,                0.95649,             0.00050313,             0.00050313,             0.00050313
                     15,                 0.6888,                 1.2161,                0.76586,                0.71088,                0.63506,                0.70162,                0.58218,                0.85263,                 1.1238,                0.93738,             0.00047564,             0.00047564,             0.00047564
                     16,                0.66978,                 1.1168,                0.75905,                0.72488,                 0.5776,                 0.6671,                0.54816,                0.88304,                 1.1754,                0.96431,             0.00044815,             0.00044815,             0.00044815
                     17,                 0.6505,                 1.1052,                0.74964,                0.78474,                0.47795,                0.64051,                0.54124,                0.87538,                 1.2653,                0.96505,             0.00042066,             0.00042066,             0.00042066
                     18,                0.65569,                 1.0646,                0.74711,                0.78206,                0.47511,                0.63334,                0.52808,                0.84383,                 1.3461,                0.95242,             0.00039318,             0.00039318,             0.00039318
                     19,                0.64085,                 1.0338,                0.74641,                0.79718,                0.51648,                 0.6578,                0.55834,                0.83563,                 1.1798,                0.93746,             0.00036569,             0.00036569,             0.00036569
                     20,                0.62837,                0.98374,                0.74483,                0.78447,                0.46235,                0.62411,                0.51822,                0.82689,                 1.2839,                0.92823,              0.0003382,              0.0003382,              0.0003382
                     21,                0.63124,                0.97538,                 0.7296,                0.71723,                0.60363,                0.68327,                 0.5729,                0.82647,                  1.119,                0.92389,             0.00031071,             0.00031071,             0.00031071
                     22,                0.63165,                0.90355,                0.73239,                 0.7519,                0.53432,                 0.6543,                0.54515,                0.84032,                 1.0558,                 0.9425,             0.00028322,             0.00028322,             0.00028322
                     23,                0.61743,                0.84281,                0.73272,                0.74383,                0.57034,                 0.6741,                0.56987,                0.84078,                 1.1344,                0.93301,             0.00025573,             0.00025573,             0.00025573
                     24,                0.60502,                 0.7921,                0.72605,                0.75502,                0.57931,                0.67419,                0.56864,                0.82652,                 1.1259,                0.92527,             0.00022824,             0.00022824,             0.00022824
                     25,                0.59691,                0.77258,                 0.7255,                0.76041,                0.50401,                0.64281,                0.54667,                0.81221,                 1.1837,                0.92083,             0.00020075,             0.00020075,             0.00020075
                     26,                0.57262,                0.72219,                0.71872,                0.73406,                0.58384,                0.67207,                0.56593,                0.81413,                 1.0926,                0.91915,             0.00017326,             0.00017326,             0.00017326
                     27,                0.58427,                0.70129,                0.72161,                0.72754,                0.62373,                0.69039,                 0.5834,                 0.8194,                 1.0413,                0.91839,             0.00014577,             0.00014577,             0.00014577
                     28,                0.56868,                0.68956,                0.71754,                  0.754,                0.59229,                0.68343,                0.57548,                0.80714,                  1.087,                0.91309,             0.00011829,             0.00011829,             0.00011829
                     29,                0.55811,                0.66498,                0.71169,                0.71835,                0.60017,                0.66253,                0.56114,                0.81219,                 1.1017,                0.91731,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.54915,                0.64508,                0.71336,                0.72821,                0.57971,                0.66616,                0.56588,                0.80027,                 1.0864,                0.91289,             6.3308e-05,             6.3308e-05,             6.3308e-05
