                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87111,                 17.915,                0.78955,                0.17472,                0.04182,                0.09738,                0.07869,                0.91047,                 6.4226,                0.97924,             0.00027751,             0.00027751,             0.00027751
                      2,                0.84636,                 11.992,                0.81733,                0.07143,                0.01003,                0.04072,                0.01816,                 0.9146,                 4.9615,                0.96741,             0.00053685,             0.00053685,             0.00053685
                      3,                0.80166,                   8.74,                0.79565,                0.25665,                0.04781,                0.14868,                0.12379,                0.89521,                 3.5974,                0.96238,             0.00077787,             0.00077787,             0.00077787
                      4,                0.81115,                 5.6068,                0.80313,                0.31293,                0.08836,                0.19877,                 0.1529,                0.89513,                 2.9829,                0.97529,             0.00075053,             0.00075053,             0.00075053
                      5,                0.78784,                 4.0072,                0.80416,                0.38962,                0.22463,                0.30368,                0.24199,                0.87498,                  2.368,                0.95986,             0.00075053,             0.00075053,             0.00075053
                      6,                0.76896,                 3.1005,                0.79821,                 0.5662,                0.25362,                0.42591,                0.35338,                0.86164,                 1.9924,                0.98647,             0.00072304,             0.00072304,             0.00072304
                      7,                0.74824,                 2.5693,                0.78636,                0.57088,                0.36032,                 0.4741,                0.37856,                0.86505,                 1.7328,                 0.9772,             0.00069556,             0.00069556,             0.00069556
                      8,                0.72488,                 2.1211,                0.78801,                0.59462,                0.31257,                0.45403,                0.36576,                0.85277,                 1.7836,                0.97083,             0.00066807,             0.00066807,             0.00066807
                      9,                0.72913,                 1.8602,                  0.789,                0.79647,                0.32228,                0.55911,                0.46891,                 0.8444,                 1.6052,                0.95455,             0.00064058,             0.00064058,             0.00064058
                     10,                0.72448,                 1.6522,                0.79109,                0.75281,                0.42171,                0.60912,                0.49998,                0.82224,                 1.4294,                0.96774,             0.00061309,             0.00061309,             0.00061309
                     11,                0.71996,                 1.5605,                0.79635,                0.71539,                0.48349,                0.63068,                0.52367,                0.84622,                 1.3005,                0.97551,              0.0005856,              0.0005856,              0.0005856
                     12,                0.71902,                 1.4512,                0.80232,                 0.7511,                 0.5084,                0.64161,                 0.5303,                0.84167,                 1.1958,                0.96889,             0.00055811,             0.00055811,             0.00055811
                     13,                0.69699,                 1.3025,                0.79597,                0.80496,                0.44275,                0.63145,                0.52497,                 0.8638,                 1.3633,                0.99348,             0.00053062,             0.00053062,             0.00053062
                     14,                0.65699,                 1.2727,                0.76655,                0.77066,                0.50713,                0.64722,                0.54271,                0.83875,                   1.31,                0.98015,             0.00050313,             0.00050313,             0.00050313
                     15,                0.67973,                  1.159,                 0.7798,                0.75961,                0.56299,                0.68156,                0.56475,                0.81529,                 1.2484,                0.96865,             0.00047564,             0.00047564,             0.00047564
                     16,                0.66594,                 1.0726,                0.77816,                0.77047,                0.52613,                0.64672,                0.54546,                0.83948,                  1.235,                0.97825,             0.00044815,             0.00044815,             0.00044815
                     17,                0.63784,                 1.0705,                0.76379,                0.80688,                0.50191,                0.65955,                0.55135,                0.84507,                 1.2547,                 1.0006,             0.00042066,             0.00042066,             0.00042066
                     18,                0.64884,                  0.992,                 0.7609,                0.79277,                0.46181,                0.62785,                0.52792,                0.80845,                  1.321,                0.97535,             0.00039318,             0.00039318,             0.00039318
                     19,                0.63847,                0.99246,                 0.7665,                0.78479,                0.51715,                0.66216,                0.55188,                0.79481,                 1.1049,                0.95436,             0.00036569,             0.00036569,             0.00036569
                     20,                0.61985,                0.90143,                0.75712,                0.78084,                0.52381,                0.66233,                0.55498,                0.77456,                 1.2022,                0.95202,              0.0003382,              0.0003382,              0.0003382
                     21,                0.62644,                0.91495,                0.74636,                0.70918,                0.57125,                0.65863,                0.53672,                0.83979,                 1.2636,                0.97969,             0.00031071,             0.00031071,             0.00031071
                     22,                0.61909,                0.85257,                0.74782,                0.73099,                0.63464,                0.70116,                 0.5809,                0.82047,                 1.0111,                0.98104,             0.00028322,             0.00028322,             0.00028322
                     23,                0.59918,                0.79684,                0.74255,                0.71366,                0.60878,                0.69032,                0.57728,                 0.8167,                 1.1317,                0.96857,             0.00025573,             0.00025573,             0.00025573
                     24,                0.59106,                0.73882,                0.73803,                0.78163,                 0.5159,                0.64822,                0.54887,                0.80986,                 1.2517,                0.96012,             0.00022824,             0.00022824,             0.00022824
                     25,                0.57964,                0.72834,                0.73493,                0.75277,                0.55713,                0.67555,                0.57693,                0.79251,                 1.1979,                0.95399,             0.00020075,             0.00020075,             0.00020075
                     26,                0.57153,                0.69964,                0.73341,                0.76686,                0.56442,                0.67809,                0.57625,                0.79146,                 1.0938,                0.95205,             0.00017326,             0.00017326,             0.00017326
                     27,                0.56806,                0.68845,                0.73068,                0.73521,                0.59644,                0.67831,                0.58109,                0.77842,                 1.0952,                0.95148,             0.00014577,             0.00014577,             0.00014577
                     28,                0.56545,                0.65188,                0.72856,                0.77139,                 0.6147,                0.70387,                0.59784,                0.79309,                 1.0862,                0.95718,             0.00011829,             0.00011829,             0.00011829
                     29,                0.54511,                 0.6253,                0.72084,                0.75873,                0.62366,                0.70036,                0.59883,                0.79909,                 1.0772,                0.96811,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.53555,                0.61493,                0.72382,                0.76069,                0.59143,                0.68759,                0.58536,                0.79368,                  1.104,                0.96034,             6.3308e-05,             6.3308e-05,             6.3308e-05
