epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.222,0.78819,6.57374,0.76918,0.23514,0.26807,0.14717,0.1236,0.97404,22.5516,1.09717,0.000277509,0.000277509,0.000277509
2,722.76,0.82472,1.96713,0.82688,0.5,0.03873,0.26936,0.23068,1.04696,1.75156,1.12968,0.000536855,0.000536855,0.000536855
3,1078.8,0.81997,1.53836,0.82896,0.7854,0.52931,0.68361,0.50442,1.09832,1.37276,1.14463,0.000777875,0.000777875,0.000777875
4,1437.31,0.81545,1.36941,0.82255,0.91175,0.32087,0.62795,0.4973,1.00896,1.48492,1.13039,0.000750533,0.000750533,0.000750533
5,1789.96,0.7766,1.27651,0.80345,0.72864,0.39427,0.56797,0.43446,1.02148,1.35623,1.13028,0.000723044,0.000723044,0.000723044
6,2141.32,0.73865,1.11747,0.79551,0.91038,0.55746,0.74146,0.58367,1.0013,1.25931,1.1272,0.000695555,0.000695555,0.000695555
7,2498.12,0.71751,1.09687,0.77175,0.82864,0.29325,0.5617,0.46416,0.93238,1.38402,1.06059,0.000668066,0.000668066,0.000668066
8,2850.65,0.69332,1.06168,0.78048,0.75913,0.51022,0.64947,0.52462,0.94752,1.24636,1.08665,0.000640577,0.000640577,0.000640577
9,3203.35,0.70464,1.02432,0.76796,0.78037,0.46425,0.62503,0.49484,0.96607,1.11026,1.09759,0.000613088,0.000613088,0.000613088
10,3558.66,0.70116,1.04678,0.7746,0.77963,0.4671,0.62546,0.5047,0.96935,1.21959,1.09205,0.000585599,0.000585599,0.000585599
11,3912,0.6936,0.98266,0.77275,0.77559,0.57294,0.69085,0.56231,0.91683,1.16533,1.03421,0.00055811,0.00055811,0.00055811
12,4268.89,0.67565,0.92983,0.76564,0.74538,0.59296,0.68984,0.54051,0.94992,1.12156,1.06061,0.000530621,0.000530621,0.000530621
13,4621.1,0.6603,0.89978,0.75964,0.92754,0.49635,0.71696,0.57463,0.90645,1.14131,1.04491,0.000503132,0.000503132,0.000503132
14,4973.08,0.61661,0.8711,0.71866,0.9783,0.5336,0.75834,0.62387,0.89766,1.17819,1.03791,0.000475643,0.000475643,0.000475643
15,5329.85,0.63323,0.7979,0.7418,0.93182,0.6755,0.81816,0.66715,0.88702,0.92488,1.03587,0.000448154,0.000448154,0.000448154
16,5686.22,0.63657,0.76125,0.74225,0.9625,0.61699,0.79702,0.66195,0.88635,1.01879,1.04845,0.000420665,0.000420665,0.000420665
17,6038.23,0.59681,0.73888,0.71609,0.94187,0.64765,0.80366,0.66288,0.89282,1.03196,1.02204,0.000393176,0.000393176,0.000393176
18,6392.14,0.60428,0.72169,0.72655,0.94487,0.65196,0.80931,0.66175,0.88268,1.01856,1.04376,0.000365687,0.000365687,0.000365687
19,6745.65,0.606,0.77859,0.74198,0.93187,0.64734,0.80179,0.66902,0.84214,0.98667,1.00498,0.000338198,0.000338198,0.000338198
20,7102.61,0.58291,0.70011,0.71427,0.93177,0.57849,0.75826,0.63056,0.83373,1.05488,1.00602,0.000310709,0.000310709,0.000310709
21,7429.79,0.54819,0.60606,0.66417,0.93307,0.65249,0.80271,0.65988,0.86699,1.00884,1.01936,0.00028322,0.00028322,0.00028322
22,7756.73,0.54698,0.58776,0.66245,0.94514,0.67045,0.81416,0.67394,0.85849,0.99704,1.02164,0.000255731,0.000255731,0.000255731
23,8087.26,0.53233,0.54115,0.66129,0.88392,0.66535,0.79052,0.64375,0.86639,1.11515,1.02671,0.000228242,0.000228242,0.000228242
24,8424.11,0.51569,0.51881,0.65586,0.94159,0.66287,0.81156,0.66447,0.84323,1.01745,1.00886,0.000200753,0.000200753,0.000200753
25,8781.08,0.5024,0.49674,0.64934,0.92501,0.65633,0.80378,0.66889,0.82876,1.00728,0.99943,0.000173264,0.000173264,0.000173264
26,9139.81,0.48987,0.47884,0.64857,0.92555,0.66115,0.80512,0.6701,0.84101,1.03427,1.01995,0.000145775,0.000145775,0.000145775
27,9497.01,0.49229,0.46241,0.64393,0.92666,0.70131,0.82536,0.6837,0.85463,0.97272,1.0225,0.000118286,0.000118286,0.000118286
28,9852.89,0.48148,0.4413,0.63753,0.93196,0.68179,0.81628,0.68263,0.81798,1.01051,1.00395,9.0797e-05,9.0797e-05,9.0797e-05
29,10211.4,0.46314,0.41477,0.63446,0.93083,0.72108,0.83453,0.68612,0.82132,0.94778,1.0034,6.3308e-05,6.3308e-05,6.3308e-05
30,10570.3,0.4574,0.39419,0.63608,0.93037,0.72381,0.83437,0.69248,0.81759,0.94339,1.00342,3.5819e-05,3.5819e-05,3.5819e-05
