epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.755,0.83108,21.5273,0.73126,0.12009,0.0624,0.07194,0.06171,0.94672,2.12815,0.95021,0.000277509,0.000277509,0.000277509
2,499.748,0.78691,14.5655,0.74868,0.11905,0.04386,0.08162,0.07066,0.88129,2.21941,0.95588,0.000536855,0.000536855,0.000536855
3,746.092,0.7555,10.2171,0.73844,0.4054,0.20925,0.29482,0.2373,0.90112,1.80797,0.98221,0.000777875,0.000777875,0.000777875
4,996.123,0.76663,6.44797,0.74809,0.69444,0.18634,0.44194,0.33492,0.92998,1.86184,1.01476,0.000750533,0.000750533,0.000750533
5,1243.94,0.74194,4.43117,0.74571,0.77128,0.441,0.62277,0.49734,0.90857,1.50361,1.00306,0.000723044,0.000723044,0.000723044
6,1491.3,0.69453,3.30171,0.7367,0.80766,0.37302,0.59486,0.47758,0.91375,1.65469,1.01849,0.000695555,0.000695555,0.000695555
7,1737.48,0.68906,2.64979,0.73084,0.83211,0.46129,0.64378,0.51558,0.92425,1.51038,1.01673,0.000668066,0.000668066,0.000668066
8,1983.64,0.67978,2.20467,0.7414,0.73887,0.50785,0.64823,0.51384,0.90265,1.44165,0.99301,0.000640577,0.000640577,0.000640577
9,2229.89,0.67008,1.93372,0.73037,0.90533,0.41215,0.66755,0.54375,0.87784,1.3454,0.9951,0.000613088,0.000613088,0.000613088
10,2476.41,0.68831,1.73096,0.73911,0.8705,0.47288,0.68513,0.55755,0.88105,1.33649,0.99595,0.000585599,0.000585599,0.000585599
11,2722.67,0.68004,1.61882,0.73354,0.80157,0.56363,0.69719,0.56221,0.87489,1.30895,0.99528,0.00055811,0.00055811,0.00055811
12,2970.55,0.66611,1.45559,0.74279,0.8459,0.52909,0.70099,0.58323,0.86314,1.26285,0.98211,0.000530621,0.000530621,0.000530621
13,3217,0.65931,1.34447,0.74168,0.93735,0.52575,0.73417,0.59881,0.88521,1.2408,0.98874,0.000503132,0.000503132,0.000503132
14,3462.78,0.61137,1.26739,0.70155,0.91589,0.52239,0.73234,0.60259,0.8669,1.2848,1.00986,0.000475643,0.000475643,0.000475643
15,3708.3,0.61991,1.14674,0.72258,0.84429,0.64793,0.76944,0.62891,0.83987,1.16686,0.98442,0.000448154,0.000448154,0.000448154
16,3954.66,0.62125,1.0819,0.72046,0.90169,0.62674,0.7672,0.6364,0.82815,1.15699,0.97923,0.000420665,0.000420665,0.000420665
17,4199.75,0.59081,1.07502,0.70514,0.89158,0.58832,0.74719,0.62579,0.86166,1.21807,1.00433,0.000393176,0.000393176,0.000393176
18,4446.15,0.59258,0.99541,0.70553,0.89837,0.58844,0.7539,0.6293,0.83294,1.26495,0.98747,0.000365687,0.000365687,0.000365687
19,4692.02,0.59477,0.97373,0.71721,0.86644,0.64084,0.76066,0.63051,0.8038,1.10013,0.95823,0.000338198,0.000338198,0.000338198
20,4938.11,0.58947,0.91441,0.70082,0.93254,0.55547,0.74597,0.62027,0.80864,1.18767,0.97277,0.000310709,0.000310709,0.000310709
21,5168.57,0.54982,0.88793,0.6557,0.83078,0.71085,0.80356,0.65254,0.8273,1.08516,0.98586,0.00028322,0.00028322,0.00028322
22,5398.94,0.55023,0.82449,0.65528,0.82168,0.62012,0.74137,0.61455,0.83304,1.26418,0.9876,0.000255731,0.000255731,0.000255731
23,5628.75,0.53444,0.77463,0.64937,0.88274,0.64262,0.76662,0.63384,0.82095,1.16493,0.97614,0.000228242,0.000228242,0.000228242
24,5859.1,0.52221,0.73216,0.64918,0.83868,0.66768,0.76303,0.63297,0.81464,1.09781,0.98035,0.000200753,0.000200753,0.000200753
25,6089.06,0.50798,0.71165,0.64627,0.87914,0.7055,0.80545,0.68079,0.8111,1.10474,0.97628,0.000173264,0.000173264,0.000173264
26,6318.65,0.49514,0.67479,0.64267,0.87731,0.69396,0.78858,0.66058,0.80205,1.09489,0.97683,0.000145775,0.000145775,0.000145775
27,6549.1,0.5007,0.66778,0.64144,0.87254,0.65892,0.7802,0.65625,0.79946,1.12917,0.97644,0.000118286,0.000118286,0.000118286
28,6778.66,0.49418,0.64369,0.63626,0.87169,0.66991,0.78238,0.65449,0.80354,1.08342,0.97182,9.0797e-05,9.0797e-05,9.0797e-05
29,7007.84,0.47826,0.61912,0.63151,0.87489,0.63203,0.75223,0.64004,0.80176,1.11064,0.9794,6.3308e-05,6.3308e-05,6.3308e-05
30,7238.38,0.47375,0.60577,0.63445,0.85947,0.68393,0.78831,0.654,0.79462,1.10174,0.97248,3.5819e-05,3.5819e-05,3.5819e-05
