                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79391,                 6.6567,                0.77814,                0.44382,                0.11215,                 0.1899,                0.15709,                0.96048,                  2.168,                 1.0726,             0.00027751,             0.00027751,             0.00027751
                      2,                0.82881,                 2.0685,                 0.8277,                0.28072,                0.19063,                0.23795,                0.19166,                  1.036,                  1.959,                 1.1412,             0.00054602,             0.00054602,             0.00054602
                      3,                 0.8245,                  1.627,                0.82806,                0.80397,                 0.4746,                0.65664,                0.52572,                 1.0497,                 1.4802,                 1.1649,             0.00080536,             0.00080536,             0.00080536
                      4,                0.81415,                 1.3543,                 0.8231,                  0.612,                0.30474,                 0.4472,                0.35806,                 1.0271,                 1.6842,                 1.1454,             0.00079177,             0.00079177,             0.00079177
                      5,                0.77528,                 1.3285,                0.80127,                0.88979,                0.40432,                0.66139,                0.52287,                 1.0136,                 1.4618,                 1.1342,             0.00079177,             0.00079177,             0.00079177
                      6,                0.76286,                 1.2056,                0.80184,                0.80177,                0.43343,                0.62359,                0.51068,                 1.0388,                 1.3911,                 1.1667,             0.00077802,             0.00077802,             0.00077802
                      7,                  0.756,                 1.1278,                0.79163,                0.82361,                0.40828,                0.61641,                0.51863,                0.98881,                 1.2837,                 1.1303,             0.00076428,             0.00076428,             0.00076428
                      8,                0.72767,                 1.0978,                0.79129,                 0.7737,                0.35099,                0.56757,                0.44752,                 1.0242,                   1.48,                 1.1505,             0.00075053,             0.00075053,             0.00075053
                      9,                0.73127,                 1.0657,                0.77815,                0.77083,                0.33086,                0.55887,                0.46462,                0.98183,                 1.2262,                 1.1288,             0.00073679,             0.00073679,             0.00073679
                     10,                0.71009,                 1.0677,                0.77683,                0.65443,                0.33933,                0.49798,                0.41048,                0.93897,                 1.3813,                 1.0803,             0.00072304,             0.00072304,             0.00072304
                     11,                0.71381,                 1.0373,                0.78087,                0.76872,                0.54825,                0.66586,                0.53111,                0.97243,                 1.2933,                 1.0981,              0.0007093,              0.0007093,              0.0007093
