                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85333,                 10.398,                0.24178,                 0.7217,                0.13309,                  0.071,                0.05082,                0.27803,                 1.2866,                0.03657,             0.00027748,             0.00027748,             0.00027748
                      2,                0.29743,                0.96274,                0.04503,                 0.4726,                0.36809,                0.30193,                0.23788,                0.26694,                 1.0143,                0.03478,             0.00054827,             0.00054827,             0.00054827
                      3,                0.23346,                0.79235,                0.02849,                0.63705,                0.60549,                0.63782,                0.51304,                 0.2308,                0.87573,                0.02689,              0.0008122,              0.0008122,              0.0008122
                      4,                0.23987,                0.75535,                 0.0275,                0.87726,                0.75266,                0.74642,                0.57633,                0.27759,                0.78644,                 0.0365,             0.00080207,             0.00080207,             0.00080207
                      5,                0.25873,                0.65143,                0.03238,                0.72744,                0.70587,                0.70565,                0.57947,                0.24057,                0.79199,                0.03032,             0.00080207,             0.00080207,             0.00080207
                      6,                0.22019,                0.60453,                0.02601,                0.82973,                0.79782,                0.78794,                0.62551,                0.23638,                0.74639,                0.03054,             0.00079177,             0.00079177,             0.00079177
                      7,                0.23563,                0.66512,                0.02862,                0.71177,                0.71671,                0.69876,                0.50425,                 0.3314,                0.74587,                0.04101,             0.00078146,             0.00078146,             0.00078146
                      8,                0.24003,                0.59667,                0.02893,                0.85973,                0.81483,                0.85338,                0.69497,                0.22871,                0.72145,                0.02777,             0.00077115,             0.00077115,             0.00077115
                      9,                0.21195,                0.57648,                0.02184,                0.83791,                 0.8448,                 0.8343,                0.67926,                0.22795,                0.61374,                0.02908,             0.00076084,             0.00076084,             0.00076084
                     10,                0.20507,                0.52196,                0.01977,                 0.8829,                 0.7893,                0.82097,                0.66407,                0.22775,                 0.6422,                0.02819,             0.00075053,             0.00075053,             0.00075053
                     11,                0.19644,                0.53387,                0.02118,                0.88975,                0.82799,                 0.8487,                0.67431,                0.22638,                0.61901,                0.02517,             0.00074022,             0.00074022,             0.00074022
                     12,                  0.191,                0.52754,                0.01985,                0.87899,                0.82588,                0.85531,                0.68464,                0.23486,                0.61993,                0.02884,             0.00072992,             0.00072992,             0.00072992
                     13,                0.19489,                0.48654,                0.01797,                 0.8313,                0.81887,                0.80052,                0.63348,                0.23886,                0.66058,                0.03185,             0.00071961,             0.00071961,             0.00071961
                     14,                0.18492,                0.48761,                0.01689,                0.87198,                0.86546,                0.85743,                0.68136,                0.23986,                0.59213,                0.02804,              0.0007093,              0.0007093,              0.0007093
                     15,                 0.1862,                0.47524,                0.01797,                0.86477,                0.76298,                 0.7751,                0.63669,                0.22092,                0.65565,                0.02558,             0.00069899,             0.00069899,             0.00069899
                     16,                0.18041,                0.50251,                0.01538,                0.82975,                0.81182,                0.84439,                0.67242,                0.23165,                0.61385,                0.02651,             0.00068868,             0.00068868,             0.00068868
                     17,                0.16465,                0.45353,                  0.015,                0.85606,                0.81556,                0.81025,                 0.6391,                0.23823,                0.62459,                0.02722,             0.00067837,             0.00067837,             0.00067837
                     18,                0.17571,                0.42988,                0.01441,                0.86535,                0.79536,                0.83213,                0.67646,                0.22906,                 0.6818,                0.03045,             0.00066807,             0.00066807,             0.00066807
                     19,                0.17611,                0.46966,                0.01474,                0.84718,                0.77572,                0.79641,                0.64096,                0.24758,                0.68595,                0.03121,             0.00065776,             0.00065776,             0.00065776
                     20,                0.18528,                0.46937,                0.01598,                0.80325,                0.71532,                0.75061,                0.60812,                 0.2417,                0.79888,                0.03249,             0.00064745,             0.00064745,             0.00064745
                     21,                0.19841,                0.48493,                0.01616,                0.88512,                0.82281,                0.83368,                0.65948,                0.23688,                0.65103,                 0.0253,             0.00063714,             0.00063714,             0.00063714
                     22,                0.20284,                0.45152,                0.01954,                 0.8499,                0.82245,                0.82396,                0.66441,                0.23226,                0.67592,                0.02858,             0.00062683,             0.00062683,             0.00062683
                     23,                0.18985,                0.46378,                0.01747,                0.82437,                0.73492,                0.80186,                0.65107,                0.23525,                0.66349,                0.02829,             0.00061652,             0.00061652,             0.00061652
                     24,                0.22732,                0.58842,                0.02549,                0.72599,                 0.6904,                0.73314,                0.54368,                0.30596,                0.80224,                0.04433,             0.00060622,             0.00060622,             0.00060622
                     25,                  0.255,                0.56874,                0.02696,                0.86427,                0.79495,                0.82744,                0.65248,                0.26686,                0.65533,                0.03704,             0.00059591,             0.00059591,             0.00059591
                     26,                0.21828,                0.51824,                0.02204,                0.88413,                0.78667,                0.81888,                0.64176,                0.25394,                0.66644,                 0.0322,              0.0005856,              0.0005856,              0.0005856
                     27,                0.19207,                0.47736,                0.01725,                0.89126,                0.70804,                0.77456,                0.61976,                0.25414,                0.79231,                0.02967,             0.00057529,             0.00057529,             0.00057529
                     28,                0.18205,                0.44922,                0.01628,                0.86207,                0.79404,                0.81373,                 0.6265,                0.25404,                0.75297,                0.03254,             0.00056498,             0.00056498,             0.00056498
                     29,                0.18335,                0.44958,                0.01478,                0.84576,                0.80269,                 0.8058,                0.65053,                0.23063,                0.66196,                0.02641,             0.00055467,             0.00055467,             0.00055467
                     30,                0.18149,                0.46274,                0.01549,                0.86488,                0.74552,                 0.7767,                0.62729,                0.22812,                0.71816,                0.02947,             0.00054437,             0.00054437,             0.00054437
                     31,                0.17861,                0.42503,                0.01535,                0.82517,                0.80618,                0.82248,                 0.6303,                0.24542,                0.60132,                0.02781,             0.00053406,             0.00053406,             0.00053406
                     32,                0.18776,                0.41976,                0.01635,                0.88067,                0.82899,                0.81716,                0.65444,                0.23556,                0.60847,                0.02695,             0.00052375,             0.00052375,             0.00052375
                     33,                0.16761,                0.39356,                0.01456,                0.85636,                0.76733,                0.78312,                0.63652,                0.22827,                0.77376,                0.02671,             0.00051344,             0.00051344,             0.00051344
