                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87018,                 19.577,                0.75541,                0.07115,                0.07082,                0.04887,                0.04009,                 0.9297,                 7.0981,                0.91959,             0.00027748,             0.00027748,             0.00027748
                      2,                0.84737,                 13.867,                0.78324,                0.41847,                0.21738,                0.28766,                0.22302,                 1.0051,                 5.7328,                0.97869,             0.00054827,             0.00054827,             0.00054827
                      3,                0.80979,                 10.572,                0.77724,                0.48039,                 0.1262,                0.30407,                0.24247,                0.96124,                 4.4759,                0.99367,              0.0008122,              0.0008122,              0.0008122
                      4,                0.81014,                 7.2436,                 0.7902,                0.56894,                 0.3035,                 0.4436,                0.33958,                0.97645,                 3.2301,                0.99828,             0.00080207,             0.00080207,             0.00080207
                      5,                0.82152,                 4.8774,                0.79645,                  0.597,                0.23897,                0.43423,                0.34375,                0.95797,                 2.7402,                 1.0001,             0.00080207,             0.00080207,             0.00080207
                      6,                 0.7892,                 3.7594,                0.80027,                0.48165,                0.30197,                0.40848,                0.30677,                0.99224,                 2.4174,                  1.015,             0.00079177,             0.00079177,             0.00079177
                      7,                0.78785,                  3.077,                0.78091,                0.69331,                0.35905,                0.54373,                0.44715,                0.91887,                 1.9905,                0.97656,             0.00078146,             0.00078146,             0.00078146
                      8,                0.75056,                 2.5291,                0.78221,                0.79046,                0.14004,                 0.4659,                0.37212,                0.93711,                 2.0591,                0.97735,             0.00077115,             0.00077115,             0.00077115
                      9,                0.75798,                 2.2903,                0.76447,                0.75596,                 0.2529,                0.50779,                0.41738,                0.90341,                 1.8128,                0.97815,             0.00076084,             0.00076084,             0.00076084
                     10,                0.74965,                 2.0231,                0.77895,                0.61923,                0.30533,                0.47088,                0.38699,                0.91092,                 2.0483,                0.97666,             0.00075053,             0.00075053,             0.00075053
                     11,                0.72115,                  1.892,                0.77777,                0.88504,                0.45598,                0.68034,                0.56235,                0.88614,                 1.4828,                0.97251,             0.00074022,             0.00074022,             0.00074022
                     12,                0.73577,                 1.7612,                0.76762,                0.75584,                0.40727,                0.59594,                0.46865,                0.90508,                  1.554,                0.97491,             0.00072992,             0.00072992,             0.00072992
                     13,                0.73091,                 1.5927,                0.77064,                0.66759,                0.39616,                 0.5425,                0.43655,                0.92518,                 1.7005,                0.98775,             0.00071961,             0.00071961,             0.00071961
                     14,                0.69961,                 1.5198,                0.74942,                0.75899,                0.48077,                0.63946,                0.52995,                 0.8763,                 1.4683,                 0.9546,              0.0007093,              0.0007093,              0.0007093
                     15,                0.69181,                 1.4465,                  0.765,                0.70504,                0.43228,                0.58076,                0.48128,                 0.9021,                 1.5071,                 1.0017,             0.00069899,             0.00069899,             0.00069899
                     16,                0.72737,                  1.374,                  0.784,                0.69942,                0.41373,                0.57109,                0.46347,                0.86779,                 1.3824,                0.96846,             0.00068868,             0.00068868,             0.00068868
                     17,                0.67218,                  1.262,                0.75365,                0.81569,                0.65108,                0.75309,                0.60105,                0.88943,                 1.2007,                0.99442,             0.00067837,             0.00067837,             0.00067837
                     18,                0.68775,                  1.259,                0.75892,                0.87713,                0.58631,                0.75705,                0.61669,                0.86761,                 1.2074,                0.96754,             0.00066807,             0.00066807,             0.00066807
                     19,                0.69004,                 1.1918,                0.77684,                0.75572,                0.43431,                0.59909,                0.48184,                0.86658,                 1.4096,                0.96401,             0.00065776,             0.00065776,             0.00065776
                     20,                0.68186,                 1.1665,                0.75704,                0.87499,                0.59061,                 0.7491,                0.62223,                 0.8838,                 1.2651,                0.98981,             0.00064745,             0.00064745,             0.00064745
                     21,                0.69526,                 1.1689,                0.76658,                 0.8519,                0.48398,                0.69341,                0.58013,                0.87158,                 1.3563,                0.96069,             0.00063714,             0.00063714,             0.00063714
                     22,                 0.6792,                 1.0917,                0.76076,                0.92312,                0.50548,                0.72907,                0.60529,                0.82852,                 1.3305,                0.95357,             0.00062683,             0.00062683,             0.00062683
                     23,                0.66787,                 1.0338,                 0.7705,                0.81841,                0.65947,                0.76775,                0.64008,                0.82173,                 1.1839,                0.93294,             0.00061652,             0.00061652,             0.00061652
                     24,                0.65814,                 1.0223,                0.76573,                0.80881,                0.59372,                0.72625,                0.59395,                0.83845,                 1.3146,                0.94157,             0.00060622,             0.00060622,             0.00060622
                     25,                0.64283,                 1.0184,                0.74291,                0.78627,                0.68342,                0.77686,                 0.6313,                 0.8505,                 1.1514,                0.94855,             0.00059591,             0.00059591,             0.00059591
                     26,                0.66017,                 1.0514,                 0.7572,                0.95248,                0.52595,                0.74592,                 0.6259,                0.83236,                 1.2417,                0.94434,              0.0005856,              0.0005856,              0.0005856
                     27,                0.64997,                0.96776,                0.75158,                0.94828,                0.51802,                0.73407,                0.62286,                0.83618,                 1.2246,                0.94597,             0.00057529,             0.00057529,             0.00057529
                     28,                0.67472,                0.95512,                0.75891,                0.87368,                0.55712,                0.73942,                0.62756,                0.81387,                 1.1335,                0.94934,             0.00056498,             0.00056498,             0.00056498
                     29,                0.64342,                0.94663,                0.74506,                 0.8953,                0.62583,                0.78958,                0.66367,                0.84562,                 1.1657,                0.95102,             0.00055467,             0.00055467,             0.00055467
                     30,                0.65119,                0.91787,                0.75822,                0.90407,                0.62604,                0.79059,                0.65607,                 0.8129,                 1.1113,                0.93092,             0.00054437,             0.00054437,             0.00054437
                     31,                0.63023,                0.87082,                 0.7492,                0.81411,                0.72757,                0.80702,                0.66262,                0.80136,                  1.009,                0.92106,             0.00053406,             0.00053406,             0.00053406
                     32,                0.63208,                0.84527,                0.74519,                0.89639,                0.69164,                0.81749,                0.67864,                0.80679,                0.99615,                0.93968,             0.00052375,             0.00052375,             0.00052375
                     33,                0.63449,                0.87506,                0.74782,                0.93663,                0.58822,                0.76953,                0.65151,                0.80389,                 1.0967,                0.93972,             0.00051344,             0.00051344,             0.00051344
                     34,                0.64206,                0.84064,                 0.7461,                0.86771,                0.73066,                0.81911,                0.67939,                 0.8199,                 1.0309,                0.93925,             0.00050313,             0.00050313,             0.00050313
                     35,                0.62549,                0.80848,                0.73946,                0.88835,                0.66705,                0.79954,                0.67319,                 0.8284,                 1.1268,                0.93765,             0.00049282,             0.00049282,             0.00049282
                     36,                 0.6489,                0.79481,                0.74511,                0.92257,                0.53397,                0.74061,                0.63299,                0.82694,                 1.2857,                0.96032,             0.00048252,             0.00048252,             0.00048252
                     37,                0.60728,                0.77552,                0.72842,                0.86571,                0.73572,                0.81973,                0.69164,                0.80387,                 1.0052,                0.92009,             0.00047221,             0.00047221,             0.00047221
                     38,                0.63513,                 0.7605,                0.73544,                0.92646,                0.65895,                 0.8033,                0.67811,                0.83749,                 1.1161,                0.95297,              0.0004619,              0.0004619,              0.0004619
                     39,                0.61891,                 0.7415,                0.73304,                 0.9089,                0.66723,                0.78666,                0.65815,                0.81453,                 1.0866,                0.93976,             0.00045159,             0.00045159,             0.00045159
                     40,                0.61067,                0.76318,                0.73509,                0.89198,                0.70052,                0.80378,                0.67494,                0.79704,                 1.0067,                0.92333,             0.00044128,             0.00044128,             0.00044128
                     41,                0.63153,                0.73835,                0.74957,                 0.9154,                0.63171,                  0.781,                0.65641,                0.80509,                 1.1021,                 0.9319,             0.00043097,             0.00043097,             0.00043097
                     42,                 0.6088,                0.70034,                0.73144,                0.94171,                 0.6699,                0.80995,                0.68504,                0.80853,                  1.107,                0.93391,             0.00042066,             0.00042066,             0.00042066
                     43,                0.61206,                 0.6761,                0.73238,                0.90758,                   0.64,                0.77915,                0.66172,                 0.8066,                 1.1068,                0.93072,             0.00041036,             0.00041036,             0.00041036
                     44,                 0.6004,                0.68003,                0.72801,                0.90608,                 0.6577,                0.79156,                0.67282,                0.79492,                 1.0094,                0.92138,             0.00040005,             0.00040005,             0.00040005
                     45,                0.59884,                0.66165,                0.72601,                0.90931,                0.66411,                 0.8028,                0.67718,                0.80381,                   1.12,                0.93387,             0.00038974,             0.00038974,             0.00038974
                     46,                0.60552,                0.63947,                0.73436,                 0.9103,                0.67499,                0.80419,                0.68253,                0.80573,                 1.0859,                 0.9313,             0.00037943,             0.00037943,             0.00037943
                     47,                0.60261,                0.64876,                0.72173,                0.89814,                 0.6271,                0.77213,                0.66554,                0.79276,                 1.1227,                 0.9326,             0.00036912,             0.00036912,             0.00036912
                     48,                0.57694,                 0.6372,                0.70165,                0.89657,                0.74042,                0.83104,                0.69314,                0.79084,                 0.9874,                0.92245,             0.00035881,             0.00035881,             0.00035881
                     49,                0.59211,                0.63335,                0.72237,                0.87452,                0.67881,                0.78858,                0.66391,                0.79075,                 1.0819,                0.93329,             0.00034851,             0.00034851,             0.00034851
                     50,                0.59331,                0.65288,                0.72987,                0.90696,                0.68432,                0.80442,                0.67694,                0.80422,                 1.0037,                0.92495,              0.0003382,              0.0003382,              0.0003382
                     51,                0.57777,                0.60764,                0.71587,                0.94053,                0.69301,                0.81527,                0.68865,                0.78398,                0.97162,                0.92345,             0.00032789,             0.00032789,             0.00032789
                     52,                0.56753,                0.61384,                0.70875,                0.88701,                0.76939,                0.84874,                0.71527,                0.79218,                0.94344,                0.92027,             0.00031758,             0.00031758,             0.00031758
                     53,                0.58092,                0.62406,                0.72982,                0.91054,                0.71573,                0.81558,                0.69246,                0.79308,                0.97717,                0.92533,             0.00030727,             0.00030727,             0.00030727
