                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86385,                 19.318,                 0.7734,                0.16473,                0.07235,                0.09883,                0.08182,                0.90827,                 6.8736,                0.92066,             0.00027748,             0.00027748,             0.00027748
                      2,                0.84379,                 14.072,                0.78158,                0.31574,                0.20895,                0.24482,                0.20054,                0.91113,                 5.2058,                0.96218,             0.00054827,             0.00054827,             0.00054827
                      3,                0.79752,                  10.56,                0.78012,                0.60867,                0.13375,                0.37675,                 0.2992,                0.90891,                 4.3196,                0.95522,              0.0008122,              0.0008122,              0.0008122
                      4,                0.79987,                 7.1454,                0.79652,                0.48228,                0.22034,                0.35259,                0.27754,                0.91126,                  3.355,                  1.001,             0.00080207,             0.00080207,             0.00080207
                      5,                0.80781,                 4.8346,                0.80389,                0.51693,                0.28885,                0.40621,                0.31361,                0.90421,                  2.695,                0.96601,             0.00080207,             0.00080207,             0.00080207
                      6,                0.78582,                 3.8049,                0.80358,                0.74421,                0.30824,                0.52679,                0.41225,                0.95319,                 2.2772,                 1.0271,             0.00079177,             0.00079177,             0.00079177
                      7,                0.78375,                 3.1547,                0.79513,                0.79714,                0.21866,                 0.5087,                0.40803,                0.92473,                 2.2995,                0.98489,             0.00078146,             0.00078146,             0.00078146
                      8,                0.74137,                 2.7466,                0.78536,                0.44856,                0.15197,                0.30026,                0.25567,                0.86052,                 2.1492,                0.98066,             0.00077115,             0.00077115,             0.00077115
                      9,                0.72904,                 2.3665,                0.76492,                0.59994,                0.27435,                0.43884,                0.34967,                0.89069,                 1.8987,                0.99063,             0.00076084,             0.00076084,             0.00076084
                     10,                0.72384,                 2.0828,                0.77769,                0.78326,                0.32231,                 0.5631,                0.47319,                0.85913,                 1.8709,                0.99471,             0.00075053,             0.00075053,             0.00075053
                     11,                0.71042,                 1.8524,                0.78994,                0.80275,                0.50657,                0.67653,                0.55873,                0.86678,                 1.5383,                 1.0018,             0.00074022,             0.00074022,             0.00074022
                     12,                0.72228,                 1.7532,                0.78313,                0.89148,                0.45311,                0.69508,                0.57743,                0.85763,                 1.6645,                 1.0124,             0.00072992,             0.00072992,             0.00072992
                     13,                0.70526,                 1.6017,                0.78085,                0.71414,                0.43394,                0.58863,                0.48952,                0.85543,                 1.5873,                 1.0095,             0.00071961,             0.00071961,             0.00071961
                     14,                0.69803,                 1.5182,                0.76315,                0.88101,                 0.5448,                0.73678,                0.59311,                  0.865,                 1.3091,                 1.0079,              0.0007093,              0.0007093,              0.0007093
                     15,                0.70714,                 1.4665,                0.78146,                0.77151,                0.36115,                0.57949,                0.49121,                0.85222,                 1.5826,                0.99913,             0.00069899,             0.00069899,             0.00069899
                     16,                0.70904,                 1.3066,                0.79158,                 0.8416,                 0.4852,                 0.6884,                0.57999,                0.82933,                 1.3842,                0.99627,             0.00068868,             0.00068868,             0.00068868
                     17,                0.66533,                 1.2349,                0.76172,                0.85433,                0.62119,                0.76008,                0.60559,                0.86074,                 1.2364,                 1.0017,             0.00067837,             0.00067837,             0.00067837
                     18,                0.67249,                 1.2288,                0.76003,                0.93649,                0.53857,                0.74963,                 0.6064,                0.85141,                 1.3197,                0.98103,             0.00066807,             0.00066807,             0.00066807
                     19,                0.68431,                  1.172,                0.78729,                0.89343,                0.54268,                0.73508,                  0.612,                0.84973,                 1.3774,                 0.9956,             0.00065776,             0.00065776,             0.00065776
                     20,                0.67684,                 1.1399,                0.76667,                0.89426,                 0.5406,                0.72685,                0.61618,                0.85772,                 1.2009,                 1.0127,             0.00064745,             0.00064745,             0.00064745
                     21,                0.66532,                  1.153,                0.77158,                0.86062,                0.64673,                0.78197,                0.66158,                0.83582,                 1.1293,                  1.009,             0.00063714,             0.00063714,             0.00063714
                     22,                0.67756,                 1.0748,                0.77218,                0.90192,                0.66664,                0.80483,                 0.6517,                0.84267,                 1.1154,                0.98459,             0.00062683,             0.00062683,             0.00062683
                     23,                0.65596,                 1.0129,                0.78116,                0.90217,                0.60469,                0.76933,                 0.6604,                0.81125,                 1.1386,                0.98314,             0.00061652,             0.00061652,             0.00061652
                     24,                0.65817,                0.95703,                0.77869,                0.86908,                0.65828,                0.78036,                0.64367,                0.86308,                 1.1799,                 1.0043,             0.00060622,             0.00060622,             0.00060622
