                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86022,                 21.797,                0.71901,                0.22619,                0.02239,                0.12401,                0.08069,                0.97436,                 6.7341,                0.94299,             0.00027751,             0.00027751,             0.00027751
                      2,                0.78593,                 14.395,                0.73488,                0.32148,                0.10285,                0.21234,                0.18861,                0.90927,                 5.1313,                0.96599,             0.00054968,             0.00054968,             0.00054968
                      3,                0.76859,                 9.8917,                0.74024,                0.41753,                0.20998,                0.30815,                0.25397,                0.96856,                 3.5908,                0.98735,             0.00081635,             0.00081635,             0.00081635
                      4,                0.78979,                 6.0342,                0.74668,                0.53808,                0.17626,                0.35246,                0.28051,                0.95034,                 2.7515,                 1.0015,             0.00080826,             0.00080826,             0.00080826
                      5,                0.75439,                 4.1348,                  0.746,                0.62457,                0.35033,                0.49402,                0.39299,                0.92178,                 2.3039,                0.97599,             0.00080826,             0.00080826,             0.00080826
                      6,                0.72368,                   3.07,                0.73476,                0.68883,                0.23201,                 0.4712,                0.36426,                0.91433,                   2.02,                0.98384,             0.00080001,             0.00080001,             0.00080001
                      7,                0.70263,                  2.475,                0.71912,                0.78795,                 0.4403,                0.62643,                0.50048,                0.92288,                  1.789,                0.99694,             0.00079177,             0.00079177,             0.00079177
                      8,                0.70917,                 2.0567,                0.73479,                0.79108,                0.47317,                0.65203,                0.53352,                0.87046,                 1.5965,                0.94726,             0.00078352,             0.00078352,             0.00078352
                      9,                0.70347,                 1.8308,                0.72222,                0.87461,                0.38927,                0.62619,                0.52002,                0.88387,                 1.5491,                0.97018,             0.00077527,             0.00077527,             0.00077527
                     10,                 0.6973,                 1.6441,                0.72508,                0.93815,                0.45374,                0.70022,                0.56673,                0.89415,                  1.455,                0.96973,             0.00076703,             0.00076703,             0.00076703
                     11,                 0.7002,                 1.5546,                0.73013,                0.86246,                0.55627,                0.72801,                 0.5915,                0.89786,                  1.342,                0.97414,             0.00075878,             0.00075878,             0.00075878
                     12,                0.69447,                 1.4296,                0.72773,                0.88428,                0.50514,                0.71178,                0.57048,                0.89083,                 1.3572,                0.95843,             0.00075053,             0.00075053,             0.00075053
                     13,                0.69109,                 1.3008,                0.72882,                0.90586,                0.45629,                0.69131,                 0.5709,                0.90884,                 1.4048,                0.98518,             0.00074229,             0.00074229,             0.00074229
                     14,                0.66813,                 1.2691,                0.69868,                0.92083,                0.53603,                0.74781,                0.61004,                0.86986,                 1.3333,                0.95168,             0.00073404,             0.00073404,             0.00073404
                     15,                0.67314,                 1.1772,                0.71796,                0.87615,                0.70314,                0.81891,                0.65211,                0.88866,                 1.1124,                0.95757,             0.00072579,             0.00072579,             0.00072579
                     16,                0.66077,                  1.144,                0.71058,                0.88818,                0.61405,                0.75409,                 0.6279,                 0.8653,                 1.1763,                0.95797,             0.00071755,             0.00071755,             0.00071755
                     17,                0.63777,                 1.1085,                0.69859,                0.89556,                0.65607,                0.79418,                 0.6562,                0.87359,                 1.1651,                0.96872,              0.0007093,              0.0007093,              0.0007093
                     18,                0.64605,                  1.068,                  0.703,                0.89324,                0.56877,                0.74081,                0.61649,                0.87245,                 1.2404,                0.96153,             0.00070105,             0.00070105,             0.00070105
                     19,                0.64566,                  1.073,                0.71155,                0.96381,                0.57672,                0.77479,                0.64071,                0.84048,                  1.175,                0.93375,             0.00069281,             0.00069281,             0.00069281
                     20,                0.63071,                0.96939,                0.69789,                0.93985,                0.64539,                 0.8039,                0.65187,                0.84916,                 1.0578,                0.94738,             0.00068456,             0.00068456,             0.00068456
                     21,                0.64545,                 0.9913,                0.70178,                0.93234,                0.49629,                0.71741,                0.60471,                0.87435,                 1.2235,                 0.9513,             0.00067631,             0.00067631,             0.00067631
                     22,                0.63297,                0.93214,                0.70295,                0.92237,                0.63138,                0.78982,                0.65945,                0.82515,                 1.1183,                0.93361,             0.00066807,             0.00066807,             0.00066807
                     23,                0.64341,                 0.9009,                0.72462,                0.89636,                0.69502,                0.82211,                0.69068,                0.85427,                 1.0545,                0.94115,             0.00065982,             0.00065982,             0.00065982
                     24,                 0.6177,                0.89647,                0.69776,                0.94024,                0.59739,                0.77498,                0.65338,                0.82874,                 1.0999,                0.93702,             0.00065157,             0.00065157,             0.00065157
                     25,                0.64199,                0.88125,                0.70988,                0.92679,                0.64928,                0.80252,                0.66394,                 0.8353,                 1.0788,                0.93921,             0.00064333,             0.00064333,             0.00064333
                     26,                0.62907,                0.84357,                0.70912,                0.87203,                0.70719,                0.82304,                0.66957,                0.83024,                 1.0685,                0.93821,             0.00063508,             0.00063508,             0.00063508
                     27,                0.60188,                0.78285,                 0.6803,                0.93068,                0.68783,                0.82279,                  0.684,                0.81092,                0.98311,                0.92768,             0.00062683,             0.00062683,             0.00062683
                     28,                0.60294,                0.78956,                0.67995,                 0.8899,                0.66316,                0.81135,                0.65216,                0.85911,                 1.0561,                0.95474,             0.00061859,             0.00061859,             0.00061859
                     29,                0.62768,                0.80242,                0.70415,                0.84745,                0.69329,                0.79167,                0.66103,                0.83592,                  1.107,                0.94692,             0.00061034,             0.00061034,             0.00061034
                     30,                0.63057,                0.77906,                0.70897,                0.93148,                0.69957,                0.82526,                0.70004,                0.82736,                0.92024,                0.93686,             0.00060209,             0.00060209,             0.00060209
                     31,                 0.6054,                0.76167,                 0.6939,                0.90033,                0.66662,                0.81331,                0.69137,                0.79366,                 1.0331,                0.93326,             0.00059385,             0.00059385,             0.00059385
                     32,                0.60831,                0.76578,                0.69811,                0.92998,                0.64379,                0.79467,                0.66517,                0.81854,                  1.119,                0.93961,              0.0005856,              0.0005856,              0.0005856
                     33,                0.59415,                0.75492,                0.69535,                0.92976,                0.64725,                0.79753,                0.66919,                0.83868,                 1.0162,                0.94131,             0.00057735,             0.00057735,             0.00057735
                     34,                0.60732,                0.72832,                0.70479,                0.93104,                0.61978,                0.78471,                0.67616,                0.85224,                 1.0264,                0.95266,             0.00056911,             0.00056911,             0.00056911
                     35,                0.59716,                0.70768,                0.69239,                0.91416,                0.67167,                0.81195,                0.68349,                 0.8105,                 1.0136,                0.93062,             0.00056086,             0.00056086,             0.00056086
                     36,                0.59063,                0.71656,                 0.6846,                0.94368,                0.60818,                0.78226,                0.66288,                0.86056,                 1.0569,                0.95099,             0.00055261,             0.00055261,             0.00055261
                     37,                0.59989,                0.67007,                0.68942,                0.91943,                0.77189,                0.85582,                0.71548,                0.80211,                0.87261,                0.92776,             0.00054437,             0.00054437,             0.00054437
                     38,                0.59582,                0.66133,                0.69758,                0.91015,                0.70676,                0.82582,                0.70038,                0.80193,                0.93603,                0.94365,             0.00053612,             0.00053612,             0.00053612
                     39,                0.57759,                0.66799,                0.67604,                0.91734,                0.69505,                0.82499,                0.68134,                 0.8184,                0.96084,                0.93186,             0.00052787,             0.00052787,             0.00052787
                     40,                0.57195,                0.65759,                0.67771,                0.93676,                0.71497,                0.83073,                0.68721,                 0.8139,                0.95362,                0.92423,             0.00051963,             0.00051963,             0.00051963
                     41,                 0.5765,                0.63327,                0.69157,                0.93086,                0.69708,                0.82777,                0.69911,                0.80157,                0.96342,                0.93371,             0.00051138,             0.00051138,             0.00051138
                     42,                0.57546,                0.64756,                0.67827,                0.92337,                0.73566,                0.84142,                0.71338,                0.79448,                0.92354,                0.93188,             0.00050313,             0.00050313,             0.00050313
                     43,                0.56791,                0.64511,                0.68038,                0.84936,                0.76321,                0.84797,                0.70687,                0.80909,                0.93079,                 0.9239,             0.00049489,             0.00049489,             0.00049489
                     44,                0.56156,                0.65304,                0.67651,                0.88527,                0.69518,                0.81427,                0.67626,                0.81772,                 1.0565,                0.93663,             0.00048664,             0.00048664,             0.00048664
                     45,                0.57323,                0.61636,                0.69403,                0.90931,                0.73422,                0.83803,                0.70334,                0.80662,                0.90052,                0.93329,             0.00047839,             0.00047839,             0.00047839
                     46,                0.57825,                0.62896,                0.69407,                0.92816,                0.73077,                0.84601,                0.71139,                0.80208,                0.87576,                0.93052,             0.00047015,             0.00047015,             0.00047015
                     47,                0.55683,                0.60594,                 0.6791,                0.94888,                0.68404,                0.81797,                0.69599,                0.81142,                0.95473,                0.93305,              0.0004619,              0.0004619,              0.0004619
                     48,                0.56907,                0.58866,                0.68933,                 0.9203,                0.71676,                0.83241,                0.69701,                0.79563,                0.94383,                0.92076,             0.00045365,             0.00045365,             0.00045365
                     49,                0.56712,                0.60273,                0.68193,                0.92413,                0.72703,                0.83591,                0.70421,                0.79289,                0.92118,                0.92131,             0.00044541,             0.00044541,             0.00044541
                     50,                 0.5681,                 0.5839,                0.68263,                0.96668,                0.71688,                 0.8482,                0.72502,                0.80007,                0.92952,                0.93575,             0.00043716,             0.00043716,             0.00043716
                     51,                0.54982,                0.60788,                0.67538,                0.93664,                0.73829,                0.85352,                0.72341,                0.80212,                0.92628,                0.93093,             0.00042891,             0.00042891,             0.00042891
                     52,                0.54333,                0.57366,                0.67665,                 0.9693,                0.66669,                0.82175,                0.69442,                0.80782,                 1.0376,                0.92553,             0.00042066,             0.00042066,             0.00042066
                     53,                0.55522,                0.55752,                0.68026,                0.90613,                0.72523,                0.82472,                0.69362,                0.79758,                0.94315,                0.92101,             0.00041242,             0.00041242,             0.00041242
                     54,                0.56144,                0.55891,                0.68445,                0.89875,                0.70132,                0.81174,                0.68618,                 0.8137,                0.97081,                 0.9324,             0.00040417,             0.00040417,             0.00040417
                     55,                0.55037,                0.53353,                0.66947,                0.91597,                0.69578,                0.81272,                0.68617,                0.80401,                0.98842,                0.93296,             0.00039592,             0.00039592,             0.00039592
                     56,                0.54788,                0.52745,                0.67596,                0.88835,                0.74938,                 0.8285,                0.71075,                  0.794,                0.95883,                0.92559,             0.00038768,             0.00038768,             0.00038768
                     57,                0.53895,                0.53179,                0.66959,                0.90873,                0.72621,                 0.8266,                0.69939,                0.81622,                0.98986,                 0.9446,             0.00037943,             0.00037943,             0.00037943
                     58,                0.55596,                0.55243,                0.68061,                0.91299,                0.75535,                0.85361,                0.72538,                0.81309,                0.87969,                0.93365,             0.00037118,             0.00037118,             0.00037118
                     59,                0.55026,                0.50766,                 0.6752,                0.90102,                0.76328,                0.83949,                0.71988,                0.78435,                0.84434,                 0.9207,             0.00036294,             0.00036294,             0.00036294
                     60,                0.53614,                0.50225,                0.67754,                0.91809,                0.72131,                0.83161,                0.71313,                 0.7937,                0.90095,                0.92549,             0.00035469,             0.00035469,             0.00035469
                     61,                0.54665,                0.53457,                0.67886,                0.93451,                0.78037,                0.87902,                0.74434,                0.77675,                 0.8189,                0.92812,             0.00034644,             0.00034644,             0.00034644
                     62,                0.53295,                0.50192,                0.66644,                0.92493,                0.76552,                0.86109,                0.72604,                0.76878,                0.85676,                0.91575,              0.0003382,              0.0003382,              0.0003382
                     63,                0.54035,                0.50943,                0.66521,                0.89191,                0.78248,                0.86493,                 0.7301,                0.78222,                0.83207,                0.91625,             0.00032995,             0.00032995,             0.00032995
                     64,                0.54246,                0.50039,                0.67285,                0.89863,                0.80833,                0.87408,                0.73152,                0.78291,                0.79366,                0.91381,              0.0003217,              0.0003217,              0.0003217
                     65,                 0.5332,                0.46866,                0.68009,                0.90524,                0.73017,                 0.8371,                0.71697,                0.76398,                0.88434,                0.91826,             0.00031346,             0.00031346,             0.00031346
                     66,                0.52517,                0.49279,                0.66481,                0.91381,                0.77712,                0.86379,                0.73447,                0.77982,                0.82352,                0.91698,             0.00030521,             0.00030521,             0.00030521
                     67,                0.52951,                0.48677,                0.67288,                0.91739,                0.73268,                0.83245,                0.71503,                0.76749,                0.86804,                0.91242,             0.00029696,             0.00029696,             0.00029696
                     68,                0.52888,                0.49229,                0.66549,                0.92796,                    0.8,                0.87903,                0.74521,                0.76071,                0.80754,                0.90753,             0.00028872,             0.00028872,             0.00028872
                     69,                0.51447,                0.46834,                 0.6618,                0.90148,                0.80976,                0.87451,                0.73666,                0.77821,                0.83153,                0.91422,             0.00028047,             0.00028047,             0.00028047
                     70,                0.49718,                0.46335,                0.65604,                0.90683,                0.74354,                0.84363,                0.71698,                0.77079,                0.84788,                 0.9122,             0.00027222,             0.00027222,             0.00027222
                     71,                0.52298,                0.45524,                0.67508,                0.89399,                0.83853,                0.88584,                0.75126,                0.77125,                 0.7785,                0.91065,             0.00026398,             0.00026398,             0.00026398
                     72,                0.52425,                0.48179,                0.66766,                0.92055,                0.76987,                0.85427,                0.72617,                0.78196,                0.83518,                0.91964,             0.00025573,             0.00025573,             0.00025573
                     73,                0.52499,                0.46293,                0.67009,                0.92002,                0.74592,                0.84948,                0.73066,                0.77455,                0.83874,                0.91433,             0.00024748,             0.00024748,             0.00024748
                     74,                0.50202,                0.43011,                0.66263,                0.90984,                0.80714,                 0.8676,                0.73296,                 0.7658,                0.79124,                0.90649,             0.00023924,             0.00023924,             0.00023924
                     75,                 0.5101,                0.45299,                0.67021,                 0.9084,                0.82549,                0.88008,                0.74536,                0.76331,                 0.7378,                0.91349,             0.00023099,             0.00023099,             0.00023099
                     76,                0.50817,                0.43148,                0.65567,                0.90865,                0.81803,                0.88148,                0.73924,                0.77597,                0.78653,                0.91445,             0.00022274,             0.00022274,             0.00022274
                     77,                0.51297,                  0.422,                0.66647,                0.92383,                0.77894,                 0.8613,                0.72555,                 0.7793,                0.82295,                0.91486,              0.0002145,              0.0002145,              0.0002145
                     78,                0.51523,                0.43519,                0.66433,                 0.9074,                0.79064,                 0.8609,                0.72641,                0.77385,                0.79751,                 0.9162,             0.00020625,             0.00020625,             0.00020625
                     79,                 0.4971,                0.43731,                0.65579,                0.92312,                0.75467,                0.85253,                0.71654,                 0.7787,                0.80355,                0.92351,               0.000198,               0.000198,               0.000198
