                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7001,                 9.2914,                0.18162,                0.54814,                 0.2388,                 0.1412,                0.09781,                0.29674,                 1.1249,                0.03109,             0.00027751,             0.00027751,             0.00027751
                      2,                0.25263,                0.83399,                0.02963,                0.70735,                0.38441,                0.36051,                0.26006,                0.27652,                 1.1279,                0.03287,             0.00054602,             0.00054602,             0.00054602
                      3,                0.22943,                0.66159,                 0.0279,                0.67719,                0.74418,                 0.7123,                0.53822,                0.26546,                0.98837,                0.03329,             0.00080536,             0.00080536,             0.00080536
                      4,                0.21901,                0.66116,                0.02531,                0.68542,                0.65879,                0.61223,                0.45966,                0.29191,                 1.0029,                0.03912,             0.00079177,             0.00079177,             0.00079177
                      5,                0.22452,                 0.6071,                0.02898,                0.75332,                0.76117,                0.76298,                0.60184,                0.23463,                0.80327,                 0.0267,             0.00079177,             0.00079177,             0.00079177
                      6,                0.20825,                0.51939,                0.02644,                0.87447,                0.81848,                0.83031,                0.66363,                0.24437,                0.59785,                0.02943,             0.00077802,             0.00077802,             0.00077802
                      7,                0.21311,                0.55101,                0.02254,                0.77862,                0.76603,                0.78314,                0.62854,                0.24469,                0.70453,                0.02887,             0.00076428,             0.00076428,             0.00076428
                      8,                0.20879,                0.52612,                0.02628,                0.86604,                0.79903,                0.83469,                0.59747,                0.31452,                0.68252,                 0.0368,             0.00075053,             0.00075053,             0.00075053
                      9,                0.22258,                0.51729,                0.02262,                0.88101,                0.77267,                0.79951,                0.63209,                0.26609,                0.62911,                 0.0328,             0.00073679,             0.00073679,             0.00073679
                     10,                0.22555,                0.52397,                0.02547,                0.77865,                0.64133,                0.70622,                0.57135,                0.24771,                0.81273,                0.03044,             0.00072304,             0.00072304,             0.00072304
                     11,                0.19481,                0.51814,                0.02001,                0.79257,                0.72649,                0.74973,                0.58773,                 0.2529,                0.72494,                0.02952,              0.0007093,              0.0007093,              0.0007093
                     12,                0.19205,                0.50016,                0.02036,                 0.8738,                0.78326,                0.83651,                0.66585,                0.25198,                 0.5992,                0.03166,             0.00069556,             0.00069556,             0.00069556
                     13,                0.21242,                0.56991,                0.02534,                0.80256,                0.74757,                0.76437,                0.58541,                0.27693,                0.73681,                0.03544,             0.00068181,             0.00068181,             0.00068181
                     14,                0.18327,                0.47378,                0.01918,                 0.8305,                0.82193,                0.82914,                0.65771,                0.24335,                0.70174,                0.02988,             0.00066807,             0.00066807,             0.00066807
                     15,                0.17759,                0.45206,                0.01689,                0.82395,                 0.8392,                0.85919,                0.67331,                0.24108,                0.64397,                0.02911,             0.00065432,             0.00065432,             0.00065432
                     16,                0.17696,                 0.4567,                0.01466,                0.74036,                 0.7224,                0.72787,                0.58539,                0.25997,                0.81326,                0.03389,             0.00064058,             0.00064058,             0.00064058
                     17,                0.22175,                0.45536,                0.02963,                 0.8776,                0.73968,                0.79646,                0.63684,                0.25837,                0.71897,                0.03601,             0.00062683,             0.00062683,             0.00062683
                     18,                0.22096,                0.49009,                0.02131,                0.85207,                0.69368,                 0.7752,                0.59917,                0.27763,                0.73449,                0.03326,             0.00061309,             0.00061309,             0.00061309
                     19,                0.21631,                0.50581,                0.02352,                0.81909,                 0.7336,                0.77292,                0.61868,                0.27045,                0.69109,                0.03409,             0.00059934,             0.00059934,             0.00059934
                     20,                0.19358,                0.42175,                0.02261,                0.85865,                0.71693,                0.77926,                0.62585,                0.25513,                0.81417,                0.02982,              0.0005856,              0.0005856,              0.0005856
                     21,                0.18895,                0.42093,                0.01849,                0.83579,                0.80991,                0.82572,                0.66016,                0.23528,                0.77246,                0.02889,             0.00057185,             0.00057185,             0.00057185
                     22,                0.17591,                0.42091,                 0.0179,                0.85436,                0.74414,                0.79465,                0.64438,                0.24063,                0.78213,                0.02807,             0.00055811,             0.00055811,             0.00055811
                     23,                 0.1922,                0.43124,                0.01817,                0.77514,                0.82365,                0.82003,                0.64596,                0.25104,                 0.6785,                0.02781,             0.00054437,             0.00054437,             0.00054437
                     24,                0.18363,                0.40947,                0.01988,                0.78968,                0.74977,                0.75955,                0.58131,                0.26597,                0.81341,                0.03071,             0.00053062,             0.00053062,             0.00053062
                     25,                0.18549,                0.42381,                0.01704,                0.84177,                0.77775,                0.81408,                0.64563,                0.25051,                0.65558,                0.03474,             0.00051688,             0.00051688,             0.00051688
                     26,                0.20655,                 0.5477,                0.02063,                0.68407,                0.68979,                0.67689,                0.53555,                 0.2685,                0.86915,                0.03217,             0.00050313,             0.00050313,             0.00050313
