epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,120.052,2.06538,48.4037,0.88109,1e-05,0.03125,1e-05,0,2.10066,4.26424,1.02699,0.000276375,0.000276375,0.000276375
2,240.871,1.40922,3.53928,0.53092,5e-05,0.03977,9e-05,8e-05,1.45114,1.44697,0.44877,0.000548557,0.000548557,0.000548557
3,355.002,1.50684,0.94074,0.53787,3e-05,0.01705,0.00085,0.00039,2.37898,0.55712,0.77542,0.000815241,0.000815241,0.000815241
4,469.755,1.2703,1.09906,0.37969,nan,0.04545,0.00727,0.00463,nan,nan,nan,0.00080826,0.00080826,0.00080826
5,582.457,1.1068,1.55899,0.43932,0.26844,0.16605,0.02395,0.01233,0.60466,1.64084,0.19561,0.000800013,0.000800013,0.000800013
6,696.518,0.41486,1.60156,0.08281,nan,0.03977,0.00487,0.00359,nan,nan,nan,0.000791767,0.000791767,0.000791767
7,808.948,0.60811,1.58826,0.1684,nan,0.07955,0.00405,0.00262,nan,nan,nan,0.00078352,0.00078352,0.00078352
8,921.238,0.41667,1.7499,0.09477,nan,0.09091,0.01021,0.00771,nan,nan,nan,0.000775273,0.000775273,0.000775273
9,1033.86,0.36805,1.70433,0.08999,0.5095,0.15795,0.03481,0.02772,0.34719,1.85505,0.08106,0.000767026,0.000767026,0.000767026
10,1148,0.32184,1.55754,0.06569,0.27747,0.13306,0.04146,0.03461,0.26977,1.46276,0.04079,0.00075878,0.00075878,0.00075878
11,1262.02,0.37599,1.31101,0.07521,nan,0.2081,0.04468,0.03538,nan,nan,nan,0.000750533,0.000750533,0.000750533
12,1376.26,0.41871,1.21833,0.09801,nan,0.21946,0.05347,0.0416,nan,nan,nan,0.000742286,0.000742286,0.000742286
13,1488.36,0.31831,1.26605,0.0508,0.59841,0.1158,0.08475,0.06986,0.29618,1.31789,0.05193,0.00073404,0.00073404,0.00073404
14,1602.81,0.36049,1.20631,0.06534,0.44189,0.15241,0.05975,0.0473,0.29344,1.35618,0.04587,0.000725793,0.000725793,0.000725793
15,1715.1,0.32694,1.10823,0.04787,nan,0.11864,0.04795,0.03709,nan,nan,nan,0.000717546,0.000717546,0.000717546
16,1826.81,0.38704,1.08239,0.07713,0.56395,0.16183,0.07915,0.06357,0.25341,1.27868,0.04132,0.000709299,0.000709299,0.000709299
17,1938.19,0.3304,1.14552,0.06383,0.46224,0.19892,0.11013,0.08522,0.25356,1.21255,0.03901,0.000701053,0.000701053,0.000701053
18,2052.04,0.31834,1.13788,0.05837,0.55467,0.22028,0.13628,0.1126,0.25211,1.18853,0.03873,0.000692806,0.000692806,0.000692806
19,2165.87,0.29292,1.17021,0.05092,0.56374,0.13139,0.06546,0.0499,0.27256,1.1975,0.04208,0.000684559,0.000684559,0.000684559
20,2278.25,0.25887,1.09194,0.03991,0.71703,0.16678,0.093,0.07352,0.26633,1.14647,0.04103,0.000676313,0.000676313,0.000676313
21,2390.56,0.27528,1.12952,0.0471,0.57033,0.1783,0.09772,0.07945,0.25669,1.15399,0.03996,0.000668066,0.000668066,0.000668066
22,2503.79,0.26743,1.05045,0.0447,0.52925,0.19889,0.14566,0.11557,0.24889,1.16355,0.0433,0.000659819,0.000659819,0.000659819
23,2618.56,0.25414,1.04071,0.04336,0.6269,0.30511,0.24125,0.19291,0.24859,1.10983,0.04356,0.000651573,0.000651573,0.000651573
24,2733.43,0.23728,1.05822,0.03472,0.48476,0.35412,0.23376,0.17944,0.26746,1.10639,0.04032,0.000643326,0.000643326,0.000643326
25,2845.97,0.26576,0.976,0.03941,0.61706,0.27231,0.22395,0.17563,0.27371,1.07734,0.03909,0.000635079,0.000635079,0.000635079
26,2958.47,0.24799,0.96228,0.03765,0.72818,0.30497,0.23151,0.18211,0.27045,1.0155,0.04467,0.000626832,0.000626832,0.000626832
27,3070.97,0.25128,0.98947,0.03458,0.74769,0.44496,0.3597,0.27747,0.27021,0.94345,0.04377,0.000618586,0.000618586,0.000618586
28,3183.83,0.26114,0.90223,0.04304,0.60432,0.45775,0.3141,0.22989,0.27323,1.00577,0.04579,0.000610339,0.000610339,0.000610339
29,3294.94,0.23619,0.8261,0.0388,0.7089,0.36149,0.3201,0.23073,0.28333,0.97428,0.0424,0.000602092,0.000602092,0.000602092
30,3406.85,0.25268,0.87824,0.03621,0.61565,0.38506,0.33187,0.26066,0.29485,1.06294,0.05008,0.000593846,0.000593846,0.000593846
31,3518.13,0.25802,0.87128,0.04118,0.76376,0.35845,0.36494,0.27751,0.28532,0.92359,0.05654,0.000585599,0.000585599,0.000585599
32,3634.44,0.24657,0.83598,0.04586,nan,0.52969,0.37458,0.29081,nan,nan,nan,0.000577352,0.000577352,0.000577352
33,3746.91,0.24739,0.77017,0.05191,nan,0.50363,0.33257,0.24247,nan,nan,nan,0.000569106,0.000569106,0.000569106
