                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0577,                 14.641,                0.93135,                0.14693,                0.22202,                0.14954,                0.12278,                0.96206,                 12.332,                0.89399,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0307,                 13.102,                0.92866,                  0.157,                0.17232,                0.12929,                0.10087,                0.94509,                 10.134,                0.89693,             0.00054856,             0.00054856,             0.00054856
                      3,                  1.046,                  13.22,                0.91127,                0.09841,                0.12372,                0.07236,                0.04724,                 1.0804,                 10.163,                0.93374,             0.00081524,             0.00081524,             0.00081524
                      4,                 1.0504,                 12.536,                0.93037,                0.15298,                0.27724,                0.11193,                0.08777,                 1.0226,                 9.4423,                0.93213,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.0246,                 11.906,                0.93485,                0.11002,                0.13094,                0.09719,                0.08145,                0.89864,                 8.9376,                0.92385,             0.00080826,             0.00080826,             0.00080826
                      6,                0.93516,                 11.705,                0.88444,                0.10809,                0.09204,                0.09002,                0.07399,                0.88189,                 8.3732,                0.89844,             0.00080001,             0.00080001,             0.00080001
                      7,                0.97141,                 10.519,                0.91178,                0.22263,                0.09378,                 0.0724,                0.05853,                0.91197,                  7.761,                0.94753,             0.00079177,             0.00079177,             0.00079177
                      8,                0.98926,                 10.284,                0.92571,                0.14971,                0.23688,                0.13677,                0.11782,                0.93665,                 7.4799,                0.92492,             0.00078352,             0.00078352,             0.00078352
                      9,                0.90359,                 8.2367,                0.92354,                0.11725,                0.14571,                0.09963,                0.08146,                0.93652,                 7.2013,                0.93031,             0.00077527,             0.00077527,             0.00077527
                     10,                 0.9721,                 8.9815,                0.94673,                0.15978,                0.15989,                0.12208,                0.10295,                0.90864,                 7.0701,                0.94524,             0.00076703,             0.00076703,             0.00076703
                     11,                0.94182,                 8.2945,                0.93978,                0.28837,                0.21847,                0.19278,                0.15924,                0.93817,                 7.0412,                0.94074,             0.00075878,             0.00075878,             0.00075878
                     12,                0.91184,                  7.605,                0.89887,                 0.1526,                0.15773,                0.14213,                0.11122,                0.84316,                 6.5697,                0.89745,             0.00075053,             0.00075053,             0.00075053
                     13,                0.91832,                 8.5833,                0.88786,                0.19048,                0.12009,                0.14718,                0.12249,                0.88173,                 6.4527,                0.90399,             0.00074229,             0.00074229,             0.00074229
                     14,                0.89094,                 8.1366,                0.89769,                0.41026,                0.16256,                0.19703,                0.15008,                0.93604,                 6.2996,                0.92927,             0.00073404,             0.00073404,             0.00073404
                     15,                0.86839,                 6.7214,                0.90594,                0.24856,                0.32906,                0.26629,                0.21841,                0.88332,                 5.8725,                0.92467,             0.00072579,             0.00072579,             0.00072579
                     16,                0.83581,                 6.9365,                0.87873,                0.30035,                0.16733,                0.22039,                0.18334,                0.89781,                 5.7932,                0.93719,             0.00071755,             0.00071755,             0.00071755
                     17,                0.80303,                 7.0529,                0.87569,                0.26389,                0.25885,                0.23052,                0.18694,                 0.9395,                 5.5196,                0.94852,              0.0007093,              0.0007093,              0.0007093
                     18,                0.82605,                 6.6407,                0.89869,                 0.2863,                0.37195,                0.33248,                0.26807,                 0.8808,                 5.2198,                0.93191,             0.00070105,             0.00070105,             0.00070105
                     19,                0.81447,                 6.1494,                0.89419,                 0.2434,                0.20551,                0.21956,                0.18106,                0.87977,                 5.0868,                0.92122,             0.00069281,             0.00069281,             0.00069281
                     20,                0.82018,                 5.8366,                0.88324,                0.27951,                0.32892,                0.29023,                0.23229,                0.89176,                    4.9,                0.94084,             0.00068456,             0.00068456,             0.00068456
