                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98459,                 6.7081,                 0.9527,                0.91778,                 23.992,                0.88095,                0.35872,                0.33491,                0.12972,                0.10099,                 0.8869,                 4.4931,                0.95409,                0.90638,                 11.982,                0.94721,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0544,                 4.0513,                 1.0079,                 1.0072,                 9.4793,                0.90198,                0.21072,                0.27541,                0.16225,                0.12027,                0.99334,                 3.1645,                 1.0244,                 1.0378,                 7.2172,                 1.0074,             0.00054947,             0.00054947,             0.00054947
                      3,                 1.0664,                 3.5944,                0.99931,                0.98651,                 5.9259,                0.92081,                0.59738,                0.15398,                0.18102,                0.13466,                0.99421,                 3.3227,                 1.0499,                0.96303,                 7.9814,                0.96762,             0.00081799,             0.00081799,             0.00081799
                      4,                 1.0686,                 3.3722,                 1.0096,                 1.0285,                 4.3138,                0.96795,                0.56192,                0.17116,                0.22989,                0.16191,                 1.0415,                 2.9082,                 1.0527,                 1.1035,                 4.1826,                 1.0278,             0.00081238,             0.00081238,             0.00081238
                      5,                 1.4597,                 3.2419,                 1.1575,                 1.2512,                 3.5931,                 1.0391,                0.23792,                0.26363,                0.14556,                0.09494,                 1.4889,                 39.316,                 1.1857,                 1.4232,                 7.5387,                 1.2143,             0.00081238,             0.00081238,             0.00081238
                      6,                 1.2138,                 2.8084,                 1.0473,                 1.1513,                 3.0834,                0.99377,                0.46218,                0.24465,                0.19416,                0.13284,                 1.1681,                 2.3391,                 1.0784,                 1.2033,                 2.7384,                 1.1106,             0.00080551,             0.00080551,             0.00080551
                      7,                 1.2604,                  2.346,                 1.0866,                  1.159,                 2.4565,                 1.0257,                0.41398,                0.33295,                0.24604,                 0.1713,                 1.0703,                 2.0062,                 1.0471,                 1.0988,                 2.5452,                 1.0713,             0.00079864,             0.00079864,             0.00079864
                      8,                  1.057,                 2.2308,                 1.0318,                0.99154,                 2.4819,                0.96847,                0.43542,                0.25762,                0.18159,                0.13238,                0.99695,                 2.1551,                 1.0091,                 1.0587,                 2.6635,                 1.0337,             0.00079177,             0.00079177,             0.00079177
                      9,                 1.0632,                 1.9202,                 1.0361,                 1.0714,                 2.1208,                0.99691,                0.30106,                0.46387,                0.26018,                0.18652,                 1.0063,                 2.4601,                0.98875,                 1.0152,                 2.8367,                 1.0066,             0.00078489,             0.00078489,             0.00078489
                     10,                 1.1258,                 1.9226,                  1.027,                 1.0753,                 1.9457,                0.96326,                0.40945,                0.35134,                 0.2785,                0.20817,                0.97574,                 1.7196,                0.99469,                0.98992,                  2.092,                 1.0205,             0.00077802,             0.00077802,             0.00077802
