                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9746,                 44.892,                0.77421,                      0,                      0,                      0,                      0,                 1.8876,                 4.3763,                  1.034,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.2572,                 3.3281,                0.45923,                  5e-05,                0.04545,                  9e-05,                  7e-05,                 1.4701,                 1.3406,                 0.5498,             0.00054719,             0.00054719,             0.00054719
                      3,                 1.1058,                 1.2642,                0.37334,                0.00079,                0.06477,                0.00208,                0.00111,                 1.0307,                 1.3427,                0.27657,             0.00081112,             0.00081112,             0.00081112
                      4,                 0.8385,                 1.4757,                0.20187,                0.62699,                0.04545,                0.00593,                0.00309,                 1.4911,                0.93173,                0.78687,             0.00080207,             0.00080207,             0.00080207
                      5,                0.79729,                 1.3878,                0.34496,                0.51976,                0.06888,                0.00667,                0.00382,                 0.7038,                 1.2129,                0.20923,             0.00080207,             0.00080207,             0.00080207
                      6,                0.55319,                 1.4611,                0.15537,                 0.4277,                0.25148,                 0.0947,                0.06411,                 0.2458,                 2.0549,                0.03489,             0.00079177,             0.00079177,             0.00079177
                      7,                0.37085,                 1.6741,                0.06774,                 0.7522,                0.07386,                0.00762,                0.00575,                0.24025,                  2.389,                0.03102,             0.00078146,             0.00078146,             0.00078146
                      8,                0.35473,                 1.8987,                0.05271,                0.50181,                0.10938,                0.00504,                0.00371,                0.29324,                 1.8083,                0.04053,             0.00077115,             0.00077115,             0.00077115
                      9,                0.35459,                 1.7004,                0.09139,                0.39727,                0.12719,                0.00719,                0.00466,                0.19264,                 2.1024,                0.02705,             0.00076084,             0.00076084,             0.00076084
                     10,                0.29952,                 1.9045,                0.07462,                0.40111,                 0.1875,                0.03401,                0.02293,                0.27643,                 1.8121,                0.08209,             0.00075053,             0.00075053,             0.00075053
                     11,                0.27061,                 1.6815,                0.05442,                0.37786,                0.11364,                0.03828,                0.02508,                0.26871,                 1.8469,                0.03887,             0.00074022,             0.00074022,             0.00074022
                     12,                0.30433,                  1.603,                0.05723,                0.27083,                0.11364,                0.03555,                0.02848,                0.26707,                 1.6754,                0.04409,             0.00072992,             0.00072992,             0.00072992
                     13,                0.28534,                 1.2754,                0.04148,                0.53577,                0.13494,                0.07394,                0.05551,                 0.2837,                 1.2774,                0.06871,             0.00071961,             0.00071961,             0.00071961
                     14,                 0.3088,                 1.1954,                0.04991,                0.53313,                  0.115,                0.05021,                0.04007,                0.29069,                 1.2293,                0.06303,              0.0007093,              0.0007093,              0.0007093
                     15,                0.24405,                 1.1557,                0.03614,                0.61202,                0.12222,                0.09138,                0.07293,                0.31013,                 1.1499,                0.06802,             0.00069899,             0.00069899,             0.00069899
                     16,                0.25522,                 1.1698,                 0.0351,                0.70147,                0.15554,                0.09353,                0.07493,                0.33284,                 1.2063,                0.07859,             0.00068868,             0.00068868,             0.00068868
                     17,                0.25724,                 1.1494,                0.03348,                0.73053,                0.13991,                 0.0918,                0.07015,                0.37318,                 1.1711,                0.08953,             0.00067837,             0.00067837,             0.00067837
                     18,                0.28551,                 1.1926,                0.03793,                 0.7459,                0.18355,                0.10382,                0.08556,                0.25579,                 1.2076,                0.03838,             0.00066807,             0.00066807,             0.00066807
                     19,                0.27386,                 1.0984,                0.04018,                0.59193,                0.17177,                0.07854,                0.05802,                 0.2729,                 1.1934,                0.03849,             0.00065776,             0.00065776,             0.00065776
                     20,                0.25265,                  1.104,                0.04761,                0.59811,                0.20739,                0.15511,                0.12008,                0.25039,                  1.165,                0.03551,             0.00064745,             0.00064745,             0.00064745
                     21,                 0.2592,                  1.079,                0.04041,                0.63696,                0.26679,                0.21498,                0.18187,                0.26174,                 1.2022,                0.03544,             0.00063714,             0.00063714,             0.00063714
                     22,                0.26261,                      1,                0.03953,                0.60639,                0.24914,                0.18506,                0.14908,                0.25104,                 1.1115,                0.03743,             0.00062683,             0.00062683,             0.00062683
                     23,                0.26244,                 1.0067,                 0.0399,                0.49675,                0.25318,                0.22021,                0.17541,                 0.2501,                 1.0586,                0.03869,             0.00061652,             0.00061652,             0.00061652
