                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96272,                 5.2093,                0.90632,                0.12864,                0.14252,                0.09861,                0.08461,                0.92879,                 3.4983,                0.92827,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0482,                 3.3399,                0.98395,                0.18365,                0.19665,                0.17074,                0.13066,                 0.9629,                    2.5,                0.94411,             0.00054719,             0.00054719,             0.00054719
                      3,                0.95074,                 2.9454,                0.94047,                0.26336,                 0.4523,                0.31527,                0.22976,                0.99604,                 2.6211,                 1.0181,             0.00081112,             0.00081112,             0.00081112
                      4,                  1.022,                 2.5863,                0.99256,                 0.3819,                0.25586,                0.30411,                0.25429,                 0.9103,                 1.9381,                0.97634,             0.00080207,             0.00080207,             0.00080207
                      5,                 1.1665,                 2.5427,                 1.0153,                0.24005,                0.30284,                0.32765,                0.21497,                 1.2722,                 3.3252,                 1.0881,             0.00080207,             0.00080207,             0.00080207
                      6,                 1.0568,                 2.1388,                0.98059,                 0.4063,                0.44845,                0.39559,                0.33004,                0.89262,                 1.8546,                0.96862,             0.00079177,             0.00079177,             0.00079177
                      7,                0.96879,                 1.7923,                0.96697,                0.42216,                0.41572,                0.41801,                0.33952,                0.86342,                 1.5843,                0.96049,             0.00078146,             0.00078146,             0.00078146
                      8,                0.92718,                 1.5725,                0.97566,                0.53056,                 0.4346,                0.42727,                0.33856,                0.91373,                 1.5628,                 1.0073,             0.00077115,             0.00077115,             0.00077115
                      9,                 0.9232,                 1.3529,                0.98226,                0.46937,                0.50089,                0.47557,                 0.3874,                0.89259,                 1.4843,                0.96647,             0.00076084,             0.00076084,             0.00076084
                     10,                0.95414,                 1.4522,                0.96352,                0.49911,                0.44482,                0.47452,                0.39047,                0.92991,                 1.5148,                 1.0056,             0.00075053,             0.00075053,             0.00075053
                     11,                0.93923,                 1.3868,                0.96121,                0.41129,                0.47356,                0.45365,                0.35766,                0.92202,                 1.3404,                 0.9932,             0.00074022,             0.00074022,             0.00074022
                     12,                 0.9377,                 1.2377,                0.95168,                0.47603,                0.55347,                0.52415,                0.41662,                0.95532,                 1.3578,                0.99096,             0.00072992,             0.00072992,             0.00072992
                     13,                0.93205,                 1.1393,                0.93391,                0.55008,                0.49874,                0.54036,                0.42122,                0.96588,                 1.2624,                0.99035,             0.00071961,             0.00071961,             0.00071961
                     14,                0.90558,                 1.1767,                0.93991,                0.56992,                0.58966,                0.57878,                0.44554,                0.94485,                 1.1856,                0.99615,              0.0007093,              0.0007093,              0.0007093
                     15,                0.88423,                 1.0402,                0.93446,                0.54627,                0.51653,                0.55345,                0.45507,                0.86116,                 1.1379,                0.97288,             0.00069899,             0.00069899,             0.00069899
                     16,                0.88266,                 1.0697,                0.91814,                0.51884,                0.51109,                0.54422,                0.43154,                0.92805,                 1.2999,                0.96339,             0.00068868,             0.00068868,             0.00068868
                     17,                0.86457,                 0.9881,                0.93773,                0.54126,                 0.4955,                0.53677,                0.40989,                0.91175,                 1.2882,                0.95903,             0.00067837,             0.00067837,             0.00067837
                     18,                0.86973,                0.96063,                0.93251,                0.57414,                0.52286,                0.57559,                0.48218,                0.85027,                 1.1716,                0.94752,             0.00066807,             0.00066807,             0.00066807
                     19,                0.83436,                0.96109,                0.92364,                0.56487,                0.54768,                0.58173,                0.49868,                0.83054,                 1.2628,                0.94085,             0.00065776,             0.00065776,             0.00065776
                     20,                0.82545,                0.88673,                0.90517,                 0.5739,                0.53342,                0.54871,                0.45114,                0.88279,                 1.2886,                0.95919,             0.00064745,             0.00064745,             0.00064745
                     21,                0.86252,                0.94132,                0.91989,                0.49758,                 0.5452,                0.51852,                0.43243,                0.87015,                 1.2116,                0.93655,             0.00063714,             0.00063714,             0.00063714
                     22,                0.81293,                0.80452,                 0.8833,                 0.5221,                0.46039,                0.51072,                0.41608,                0.91102,                 1.3027,                0.97226,             0.00062683,             0.00062683,             0.00062683
                     23,                0.79581,                0.87041,                0.87693,                0.51544,                0.50978,                0.50971,                0.41102,                0.84689,                 1.2488,                0.95887,             0.00061652,             0.00061652,             0.00061652
                     24,                0.78165,                0.77598,                0.87801,                0.53903,                0.50296,                0.54573,                 0.4505,                0.87735,                 1.1938,                0.98044,             0.00060622,             0.00060622,             0.00060622
                     25,                0.77276,                0.74872,                0.90533,                0.57664,                0.53165,                0.56018,                0.45214,                0.89489,                 1.1197,                 0.9647,             0.00059591,             0.00059591,             0.00059591
                     26,                0.76943,                0.82388,                0.90366,                0.57459,                0.48312,                0.52684,                0.43579,                0.88583,                 1.3366,                0.96362,              0.0005856,              0.0005856,              0.0005856
                     27,                0.82849,                0.86881,                0.92208,                  0.505,                0.54239,                0.52583,                0.44663,                0.81771,                 1.2155,                0.93834,             0.00057529,             0.00057529,             0.00057529
                     28,                0.75242,                0.80349,                0.85926,                0.56277,                 0.5215,                0.56238,                0.45994,                0.84918,                 1.1109,                0.94542,             0.00056498,             0.00056498,             0.00056498
                     29,                0.73278,                 0.7576,                0.88935,                0.56591,                0.52157,                0.56548,                0.46039,                0.89092,                 1.1155,                0.97047,             0.00055467,             0.00055467,             0.00055467
                     30,                0.80215,                0.81625,                0.89103,                0.57765,                0.49338,                0.52666,                0.41882,                0.90705,                 1.1695,                0.97999,             0.00054437,             0.00054437,             0.00054437
                     31,                0.78557,                0.80765,                0.90152,                 0.5625,                0.55207,                0.57778,                0.46578,                0.89011,                 1.1369,                0.97596,             0.00053406,             0.00053406,             0.00053406
                     32,                0.76011,                 0.6971,                0.88167,                0.56363,                0.56895,                0.55145,                 0.4504,                0.92213,                 1.2335,                0.97002,             0.00052375,             0.00052375,             0.00052375
                     33,                0.71472,                0.67333,                0.85954,                0.56154,                0.55483,                0.54757,                0.44739,                0.91364,                 1.2244,                0.97091,             0.00051344,             0.00051344,             0.00051344
                     34,                0.74536,                0.75965,                0.86982,                0.54748,                0.56702,                0.56435,                0.45408,                0.90683,                 1.1474,                 0.9664,             0.00050313,             0.00050313,             0.00050313
                     35,                0.72142,                0.66415,                0.85608,                0.59891,                0.59608,                0.58265,                0.47475,                0.86162,                 1.1477,                0.96278,             0.00049282,             0.00049282,             0.00049282
                     36,                0.76171,                0.63113,                0.87548,                0.57231,                0.57483,                0.57338,                0.48124,                0.82407,                 1.0688,                0.94205,             0.00048252,             0.00048252,             0.00048252
                     37,                 0.6858,                0.61798,                 0.8418,                0.57922,                0.58545,                0.58131,                0.48629,                0.83899,                 1.0639,                0.95129,             0.00047221,             0.00047221,             0.00047221
                     38,                0.69451,                0.64683,                0.84879,                0.60163,                0.58157,                0.59306,                0.47298,                0.88329,                 1.0533,                0.95819,              0.0004619,              0.0004619,              0.0004619
                     39,                0.66125,                0.61792,                0.85432,                0.56337,                0.56551,                0.55886,                0.46185,                0.84999,                 1.0684,                0.95067,             0.00045159,             0.00045159,             0.00045159
                     40,                0.70126,                0.66749,                0.87273,                0.50234,                0.51748,                0.50663,                0.41236,                0.85449,                 1.1224,                0.94696,             0.00044128,             0.00044128,             0.00044128
                     41,                0.69058,                0.63976,                0.85878,                0.52236,                0.52065,                 0.5436,                0.43847,                0.84123,                 1.1839,                0.93273,             0.00043097,             0.00043097,             0.00043097
                     42,                 0.7189,                0.63208,                0.85737,                0.59432,                0.54663,                0.56564,                0.45952,                0.81162,                 1.1049,                0.93234,             0.00042066,             0.00042066,             0.00042066
                     43,                0.66063,                0.58995,                0.83347,                0.59003,                0.53493,                0.56251,                0.44665,                0.86819,                 1.1941,                0.93531,             0.00041036,             0.00041036,             0.00041036
                     44,                0.66404,                0.60945,                0.82237,                0.49332,                0.54594,                0.53898,                0.43872,                0.87449,                 1.1988,                0.95446,             0.00040005,             0.00040005,             0.00040005
                     45,                0.64676,                0.58109,                0.85347,                0.55582,                0.51402,                0.53753,                0.43009,                0.87766,                  1.086,                0.95047,             0.00038974,             0.00038974,             0.00038974
                     46,                0.62599,                0.56457,                0.84178,                0.53528,                0.55196,                0.53193,                0.42702,                0.89048,                 1.1841,                0.95601,             0.00037943,             0.00037943,             0.00037943
                     47,                0.59876,                0.55776,                0.84194,                0.51382,                0.56099,                0.53773,                0.43142,                0.87378,                 1.0375,                 0.9563,             0.00036912,             0.00036912,             0.00036912
                     48,                0.60766,                0.55924,                0.83205,                0.55244,                0.54963,                0.55438,                0.43969,                0.87941,                 1.0629,                0.95703,             0.00035881,             0.00035881,             0.00035881
                     49,                 0.6279,                0.61492,                0.82417,                 0.6056,                0.58472,                0.57661,                0.47982,                0.83238,                 1.1296,                0.94881,             0.00034851,             0.00034851,             0.00034851
                     50,                0.56428,                0.51389,                0.82077,                0.55014,                0.53826,                0.55223,                0.45148,                0.79313,                 1.1156,                0.93687,              0.0003382,              0.0003382,              0.0003382
                     51,                 0.5917,                0.51144,                0.83681,                0.56614,                0.49541,                0.54524,                0.44982,                0.79258,                 1.0978,                0.92732,             0.00032789,             0.00032789,             0.00032789
                     52,                0.61923,                0.54118,                  0.822,                 0.5386,                0.56341,                0.53868,                0.45274,                0.78443,                 1.1612,                0.91508,             0.00031758,             0.00031758,             0.00031758
                     53,                0.58474,                0.48107,                0.81967,                0.61389,                0.56909,                0.56311,                0.47463,                0.77349,                 1.1403,                0.91165,             0.00030727,             0.00030727,             0.00030727
                     54,                0.56184,                0.50272,                0.82135,                0.58737,                0.53676,                0.54113,                0.45042,                 0.7761,                 1.0789,                0.91218,             0.00029696,             0.00029696,             0.00029696
                     55,                  0.546,                0.46673,                0.80928,                0.61175,                0.53537,                0.56259,                0.47309,                0.73816,                0.99546,                0.90587,             0.00028666,             0.00028666,             0.00028666
                     56,                0.56766,                0.49419,                0.83176,                0.54847,                 0.5737,                0.57462,                 0.4847,                0.73679,                 1.0705,                0.90446,             0.00027635,             0.00027635,             0.00027635
                     57,                0.59388,                0.50232,                0.84224,                0.62348,                 0.5172,                0.59384,                 0.5044,                0.72723,                 1.0744,                0.89719,             0.00026604,             0.00026604,             0.00026604
                     58,                0.55346,                 0.4646,                0.80494,                0.61021,                0.55829,                0.59804,                0.50635,                0.74702,                 1.0478,                0.90195,             0.00025573,             0.00025573,             0.00025573
                     59,                0.53905,                 0.4215,                0.78804,                0.60926,                  0.572,                0.58876,                0.49289,                0.76717,                 1.0279,                0.91026,             0.00024542,             0.00024542,             0.00024542
                     60,                0.50869,                0.41708,                0.80531,                0.62354,                0.52627,                0.58365,                0.48815,                0.72292,                0.98713,                0.90403,             0.00023511,             0.00023511,             0.00023511
                     61,                0.51126,                 0.4365,                0.80636,                0.61725,                0.52151,                0.56514,                 0.4801,                0.73316,                 1.0291,                0.90624,             0.00022481,             0.00022481,             0.00022481
                     62,                 0.5426,                0.43873,                0.83628,                0.56712,                0.52805,                0.54307,                0.45088,                0.75994,                 1.1028,                 0.9169,              0.0002145,              0.0002145,              0.0002145
                     63,                0.52445,                0.43237,                0.81249,                0.58431,                0.50395,                 0.5425,                0.45432,                0.76079,                 1.0782,                0.91347,             0.00020419,             0.00020419,             0.00020419
                     64,                0.52846,                0.42902,                0.80245,                0.50771,                0.54563,                0.54391,                 0.4558,                0.76597,                 1.1006,                0.90611,             0.00019388,             0.00019388,             0.00019388
                     65,                0.49109,                0.46037,                 0.8167,                0.51491,                0.52963,                0.53148,                0.44758,                0.77031,                 1.1266,                0.91082,             0.00018357,             0.00018357,             0.00018357
                     66,                 0.4975,                0.40207,                0.79157,                0.51285,                0.55807,                0.55116,                0.46387,                0.77713,                 1.0725,                0.91999,             0.00017326,             0.00017326,             0.00017326
                     67,                0.48194,                0.42044,                0.78882,                0.56071,                0.54157,                 0.5601,                0.46435,                0.77678,                 1.0722,                0.92299,             0.00016296,             0.00016296,             0.00016296
                     68,                  0.499,                0.43243,                0.81272,                0.58599,                0.55526,                0.57259,                0.47495,                0.77604,                 1.1138,                0.92461,             0.00015265,             0.00015265,             0.00015265
                     69,                 0.5002,                0.43239,                0.80652,                 0.5853,                0.54011,                0.56798,                0.47299,                0.78147,                 1.1331,                0.92624,             0.00014234,             0.00014234,             0.00014234
                     70,                0.46671,                0.40981,                0.79904,                0.57434,                0.55433,                0.56136,                0.46407,                0.77324,                 1.0592,                 0.9152,             0.00013203,             0.00013203,             0.00013203
                     71,                0.49044,                0.36657,                 0.8099,                0.57828,                0.53821,                0.56119,                0.46548,                0.77505,                 1.0545,                0.92143,             0.00012172,             0.00012172,             0.00012172
                     72,                0.44557,                0.35362,                0.80493,                0.55287,                0.55807,                0.55892,                0.46107,                0.76233,                 1.0605,                0.91528,             0.00011141,             0.00011141,             0.00011141
                     73,                0.41615,                0.33787,                0.79996,                0.54907,                0.53433,                0.54396,                0.45188,                0.75964,                 1.0656,                0.90995,             0.00010111,             0.00010111,             0.00010111
                     74,                0.38874,                0.31865,                0.80144,                0.56902,                0.53831,                0.54151,                0.45052,                0.75014,                 1.0295,                0.91148,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     75,                0.37084,                0.31175,                 0.7948,                0.57718,                0.53743,                0.54047,                 0.4517,                0.75328,                 1.0347,                0.91067,             8.0489e-05,             8.0489e-05,             8.0489e-05
                     76,                0.35373,                0.30297,                0.79216,                0.55052,                0.56588,                0.55814,                0.46873,                 0.7528,                 1.0346,                0.91243,              7.018e-05,              7.018e-05,              7.018e-05
