                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5669,                 31.367,                 2.0085,                 1.8916,                 59.708,                 1.4438,                0.00088,                0.09037,                0.00853,                0.00767,                 1.1661,                 11.392,                  1.082,                 1.1009,                 48.006,                0.93415,             0.00027638,             0.00027638,             0.00027638
                      2,                 2.5455,                  28.58,                 1.9826,                 1.8285,                 56.776,                 1.4222,                  2e-05,                0.00568,                  1e-05,                      0,                  1.356,                  11.59,                 1.1675,                 1.0764,                 46.062,                0.97318,             0.00054947,             0.00054947,             0.00054947
                      3,                 2.6427,                 27.659,                 1.9443,                 1.8263,                 54.102,                 1.4475,                  3e-05,                0.01562,                  2e-05,                  1e-05,                 1.5213,                 12.152,                 1.2308,                 1.0725,                 43.321,                 1.0415,             0.00081799,             0.00081799,             0.00081799
                      4,                 2.6636,                 24.398,                 2.0037,                 1.8754,                 50.623,                 1.4787,                  2e-05,                0.01562,                  4e-05,                  1e-05,                 1.4818,                 11.396,                 1.2598,                 1.1107,                 41.711,                 1.0768,             0.00081238,             0.00081238,             0.00081238
                      5,                  2.667,                 24.515,                 2.0668,                 1.8851,                  49.17,                 1.5519,                  2e-05,                0.01562,                  4e-05,                  1e-05,                 1.6526,                 10.938,                 1.3549,                 1.2939,                 41.343,                 1.1653,             0.00081238,             0.00081238,             0.00081238
                      6,                 2.6555,                 21.875,                 1.9662,                 1.9776,                 45.865,                 1.5594,                  2e-05,                0.01562,                  4e-05,                  1e-05,                 1.7966,                 11.233,                  1.454,                 1.3481,                 38.691,                 1.1847,             0.00080551,             0.00080551,             0.00080551
                      7,                  2.508,                 20.963,                 1.8326,                 1.8765,                 42.044,                 1.4537,                  2e-05,                0.01562,                  4e-05,                  1e-05,                  1.576,                 9.9193,                 1.4452,                 1.3166,                  35.94,                 1.2019,             0.00079864,             0.00079864,             0.00079864
                      8,                 2.5064,                 20.695,                 1.9239,                 1.8179,                 40.701,                 1.4916,                  3e-05,                0.01349,                  2e-05,                  1e-05,                 1.6297,                 9.6828,                 1.4401,                 1.3389,                 34.824,                 1.2284,             0.00079177,             0.00079177,             0.00079177
                      9,                 2.5941,                 18.038,                 1.8284,                 1.8717,                 37.297,                 1.4876,                  3e-05,                0.01349,                  2e-05,                  1e-05,                 1.5696,                 9.6218,                 1.4556,                  1.253,                 32.823,                  1.172,             0.00078489,             0.00078489,             0.00078489
                     10,                 2.5171,                 16.839,                  1.873,                 1.8902,                 35.303,                 1.4816,                  3e-05,                0.01349,                  2e-05,                  1e-05,                 1.5845,                 9.2232,                 1.4106,                 1.4196,                 31.737,                 1.1869,             0.00077802,             0.00077802,             0.00077802
                     11,                 2.5479,                 17.093,                 1.8676,                 1.8851,                 33.719,                 1.4501,                  1e-05,                0.00781,                  2e-05,                      0,                 1.5503,                 9.0945,                 1.3426,                  1.485,                 30.332,                 1.2168,             0.00077115,             0.00077115,             0.00077115
                     12,                 2.5021,                 14.566,                 1.8321,                   1.97,                 30.428,                 1.4939,                  1e-05,                0.00781,                  2e-05,                      0,                  1.844,                 9.2839,                 1.5445,                 1.5386,                 28.168,                 1.2447,             0.00076428,             0.00076428,             0.00076428
                     13,                 2.4189,                 16.421,                 1.6486,                 1.7689,                 30.361,                 1.3171,                  1e-05,                0.00781,                  1e-05,                      0,                 2.0485,                 9.2957,                 1.6493,                  1.635,                 28.487,                 1.3475,             0.00075741,             0.00075741,             0.00075741
                     14,                  2.571,                 15.019,                  1.814,                 1.7894,                 28.565,                 1.3811,                  1e-05,                0.00781,                  1e-05,                      0,                 1.9905,                 8.8755,                  1.565,                 1.5171,                 25.911,                 1.3366,             0.00075053,             0.00075053,             0.00075053
                     15,                 2.6149,                 12.779,                 1.8982,                 1.9687,                 26.847,                 1.5477,                  1e-05,                0.00781,                  1e-05,                      0,                 1.6854,                  7.995,                  1.449,                 1.5069,                 24.171,                 1.2857,             0.00074366,             0.00074366,             0.00074366
                     16,                 2.4756,                 14.436,                 1.6925,                 1.8362,                 26.249,                  1.403,                  1e-05,                0.00781,                  1e-05,                      0,                 1.7373,                 8.2264,                    1.5,                 1.5356,                  23.31,                  1.288,             0.00073679,             0.00073679,             0.00073679
                     17,                 2.4425,                 12.745,                 1.6933,                 1.8687,                 23.838,                 1.4332,                  1e-05,                0.00781,                  1e-05,                      0,                 1.6679,                 8.0401,                 1.5094,                 1.4135,                 22.303,                 1.2414,             0.00072992,             0.00072992,             0.00072992
                     18,                 2.3935,                 12.289,                  1.663,                 1.7894,                 23.036,                 1.4095,                  1e-05,                0.00781,                  1e-05,                      0,                 1.5843,                 7.2018,                 1.3584,                 1.2787,                 20.139,                 1.1852,             0.00072304,             0.00072304,             0.00072304
                     19,                  2.378,                 11.831,                 1.7834,                 1.8123,                 21.521,                 1.4463,                  1e-05,                0.00781,                  1e-05,                      0,                 1.6052,                 7.1899,                 1.3731,                 1.2058,                 19.226,                 1.1821,             0.00071617,             0.00071617,             0.00071617
                     20,                 2.4429,                 11.115,                 1.7084,                 1.7474,                 20.549,                 1.3826,                  6e-05,                  0.005,                  3e-05,                  2e-05,                 1.8056,                 7.1056,                 1.4946,                 1.4854,                 19.417,                 1.3495,              0.0007093,              0.0007093,              0.0007093
                     21,                 2.5681,                  10.84,                 1.7733,                 1.8996,                 19.652,                 1.4719,                 0.0004,                0.05344,                0.00054,                0.00024,                 1.8964,                 7.1333,                 1.4987,                 1.5419,                 18.793,                 1.3264,             0.00070243,             0.00070243,             0.00070243
