epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,211.542,1.36225,33.3224,0.68573,0.00078,0.1118,0.00053,0.00029,1.59637,4.29249,0.51838,0.000415287,0.000415287,0.000415287
2,422.171,0.66871,1.34166,0.16896,0.80573,0.11884,0.05708,0.04066,0.55054,1.46297,0.09563,0.000823717,0.000823717,0.000823717
3,630.609,0.64904,1.46662,0.1509,0.76888,0.07658,0.0183,0.00747,nan,nan,nan,0.0012239,0.0012239,0.0012239
4,837.143,1.60833,1.27315,0.69487,nan,0.00333,0.00022,9e-05,nan,nan,nan,0.00121287,0.00121287,0.00121287
5,1044.26,1.08661,1.15438,0.44227,0.27011,0.13908,0.02384,0.01637,0.73811,1.523,0.12209,0.0012005,0.0012005,0.0012005
6,1251.46,0.32783,1.43767,0.03695,0.33436,0.1919,0.08276,0.05252,0.50222,1.11917,0.06083,0.00118812,0.00118812,0.00118812
7,1460.51,0.37043,0.93085,0.05915,0.65001,0.18572,0.10526,0.07307,0.49033,1.11697,0.07045,0.00117575,0.00117575,0.00117575
8,1669.43,0.36801,0.90942,0.05519,0.87722,0.16197,0.14667,0.0969,0.44497,1.10016,0.0555,0.00116337,0.00116337,0.00116337
9,1878.4,0.38053,0.85356,0.07679,0.18637,0.25023,0.1616,0.1029,0.49811,1.02589,0.08207,0.001151,0.001151,0.001151
10,2086.84,0.38252,0.83739,0.05943,0.20433,0.25693,0.1909,0.12036,0.43247,1.12653,0.05293,0.00113863,0.00113863,0.00113863
11,2295.65,0.40113,0.79648,0.06577,0.17498,0.25842,0.15361,0.10478,nan,nan,nan,0.00112625,0.00112625,0.00112625
12,2504.36,0.34521,0.81959,0.06478,0.22548,0.26325,0.18454,0.13098,0.38425,1.19319,0.04483,0.00111388,0.00111388,0.00111388
13,2713.33,0.34205,0.74512,0.05765,0.22295,0.28997,0.1778,0.12112,0.36976,1.12589,0.03695,0.0011015,0.0011015,0.0011015
14,2920.48,0.36365,0.79393,0.0608,0.23095,0.22848,0.13578,0.09271,0.41232,1.25472,0.05057,0.00108913,0.00108913,0.00108913
15,3127.44,0.347,0.74364,0.05014,0.17076,0.29543,0.15917,0.1145,0.36659,1.35861,0.03765,0.00107675,0.00107675,0.00107675
16,3334.94,0.31437,0.80546,0.04028,0.18139,0.23616,0.16241,0.10548,0.38365,1.19362,0.04194,0.00106437,0.00106437,0.00106437
17,3541.71,0.38079,0.84277,0.05417,0.19494,0.28938,0.16806,0.09637,0.6606,1.0796,0.11566,0.001052,0.001052,0.001052
18,3749.23,0.37268,0.84341,0.05773,0.22573,0.28696,0.18656,0.10397,0.58437,0.95236,0.07988,0.00103962,0.00103962,0.00103962
19,3956.57,0.36342,0.73615,0.05692,0.23277,0.27936,0.17977,0.1001,0.59961,1.04244,0.08487,0.00102725,0.00102725,0.00102725
20,4162.9,0.37189,0.69917,0.06594,0.2597,0.23292,0.20471,0.13851,0.45157,1.19822,0.0502,0.00101488,0.00101488,0.00101488
21,4371.45,0.31602,0.74628,0.04801,0.45941,0.2369,0.17501,0.11803,0.41704,1.29286,0.04265,0.0010025,0.0010025,0.0010025
22,4579.77,0.32853,0.6976,0.0455,0.4861,0.26734,0.17368,0.1088,nan,nan,nan,0.000990125,0.000990125,0.000990125
23,4786.3,0.28504,0.62879,0.04577,0.19812,0.29474,0.18067,0.12457,0.38177,1.17174,0.04802,0.00097775,0.00097775,0.00097775
24,4993.13,0.31889,0.60684,0.05723,0.24974,0.30338,0.2046,0.13998,0.36115,1.27116,0.0342,0.000965375,0.000965375,0.000965375
25,5202.42,0.28618,0.65322,0.03858,0.24705,0.29689,0.21709,0.13439,0.48034,1.043,0.06065,0.000953,0.000953,0.000953
26,5409.77,0.3461,0.64325,0.06044,0.2325,0.30807,0.22312,0.14846,nan,nan,nan,0.000940625,0.000940625,0.000940625
27,5618.33,0.3262,0.66205,0.04018,0.25528,0.32742,0.22478,0.16114,0.34424,1.19882,0.03023,0.00092825,0.00092825,0.00092825
28,5827.3,0.26943,0.59605,0.0305,0.2405,0.3197,0.2152,0.15114,0.35506,1.1333,0.02946,0.000915875,0.000915875,0.000915875
29,6033.87,0.26818,0.56597,0.03291,0.51335,0.31175,0.2177,0.15299,0.35976,1.1217,0.03172,0.0009035,0.0009035,0.0009035
30,6240.53,0.28216,0.58284,0.04846,0.2484,0.27401,0.28641,0.21044,0.39449,1.0186,0.04049,0.000891125,0.000891125,0.000891125
31,6449.23,0.37422,0.64947,0.05878,0.19201,0.2389,0.15906,0.0894,0.49321,1.22076,0.0699,0.00087875,0.00087875,0.00087875
32,6658.29,0.41069,0.73197,0.05223,0.26356,0.15822,0.14959,0.09385,nan,nan,nan,0.000866375,0.000866375,0.000866375
33,6865.65,0.39107,0.68952,0.06316,0.48488,0.14925,0.15902,0.10569,0.55207,1.09832,0.09426,0.000854,0.000854,0.000854
34,7073.34,0.30514,0.61378,0.03891,0.43043,0.17389,0.13377,0.09031,0.54365,1.24151,0.09301,0.000841625,0.000841625,0.000841625
35,7280.62,0.2921,0.61197,0.04655,0.48287,0.27138,0.20925,0.13609,0.54334,1.09832,0.06617,0.00082925,0.00082925,0.00082925
36,7487.95,0.30434,0.65527,0.0381,0.69151,0.24106,0.16924,0.11538,0.44276,1.33417,0.04681,0.000816875,0.000816875,0.000816875
37,7695.1,0.29599,0.6544,0.044,0.73735,0.20226,0.18279,0.12694,0.40187,1.16133,0.04949,0.0008045,0.0008045,0.0008045
38,7902.65,0.27674,0.56294,0.03855,0.49627,0.24584,0.2212,0.15757,0.52297,1.17623,0.05984,0.000792125,0.000792125,0.000792125
39,8110.29,0.29131,0.5982,0.03837,0.49043,0.28446,0.19681,0.1308,0.43259,1.15849,0.05194,0.00077975,0.00077975,0.00077975
40,8317.83,0.33262,0.59967,0.06099,0.47214,0.26466,0.17818,0.12235,0.37942,1.11867,0.04087,0.000767375,0.000767375,0.000767375
41,8524.54,0.27121,0.58926,0.03513,nan,0.41043,0.22518,0.15592,nan,nan,nan,0.000755,0.000755,0.000755
42,8733.54,0.27653,0.59621,0.04802,0.49709,0.29752,0.20613,0.14223,0.36675,1.16428,0.04102,0.000742625,0.000742625,0.000742625
43,8940.5,0.24767,0.60979,0.02775,0.66626,0.2917,0.25833,0.1783,0.40023,1.30475,0.03905,0.00073025,0.00073025,0.00073025
44,9147.02,0.30871,0.75499,0.04526,0.66492,0.29522,0.22743,0.158,nan,nan,nan,0.000717875,0.000717875,0.000717875
45,9354.76,0.3035,0.6175,0.03801,0.46584,0.17457,0.11006,0.08196,nan,nan,nan,0.0007055,0.0007055,0.0007055
46,9562.52,0.32976,0.64735,0.04309,0.71172,0.22807,0.19011,0.12862,0.38157,1.25586,0.03758,0.000693125,0.000693125,0.000693125
47,9769.79,0.33482,0.58884,0.04558,0.75417,0.25241,0.20599,0.14949,nan,nan,nan,0.00068075,0.00068075,0.00068075
48,9976.84,0.33251,0.5362,0.05497,0.55875,0.31645,0.23004,0.15544,0.36042,1.17962,0.03276,0.000668375,0.000668375,0.000668375
49,10184.2,0.33537,0.64621,0.04912,0.53689,0.30431,0.23532,0.15713,0.43193,1.00629,0.04284,0.000656,0.000656,0.000656
50,10391.3,0.31003,0.61848,0.06016,0.56554,0.26424,0.2717,0.20385,0.36652,1.05355,0.03595,0.000643625,0.000643625,0.000643625
51,10597.8,0.30263,0.59212,0.05068,0.47306,0.31024,0.25377,0.18628,0.34094,1.11867,0.03518,0.00063125,0.00063125,0.00063125
52,10806.7,0.28787,0.56413,0.04691,0.20763,0.22844,0.18475,0.13691,0.34967,1.274,0.03853,0.000618875,0.000618875,0.000618875
53,11014.7,0.28886,0.59724,0.04889,0.47683,0.25339,0.1996,0.14666,0.36826,1.22551,0.03965,0.0006065,0.0006065,0.0006065
54,11221.2,0.27715,0.5576,0.04791,0.45338,0.31446,0.2639,0.19779,0.35683,1.14933,0.03673,0.000594125,0.000594125,0.000594125
55,11428.7,0.25165,0.57863,0.03127,0.57181,0.29954,0.22018,0.16618,0.36399,1.44221,0.04293,0.00058175,0.00058175,0.00058175
56,11635.5,0.24049,0.61843,0.03137,0.75369,0.23459,0.1901,0.13578,0.38517,1.26717,0.0394,0.000569375,0.000569375,0.000569375
57,11842.5,0.31799,0.52181,0.0564,0.25098,0.23183,0.18507,0.12435,0.38158,1.3008,0.04265,0.000557,0.000557,0.000557
58,12049.1,0.27144,0.49744,0.04082,0.2916,0.24706,0.18705,0.13163,0.37416,1.22633,0.04216,0.000544625,0.000544625,0.000544625
59,12255.7,0.23078,0.48776,0.02751,0.28512,0.28007,0.2143,0.15201,0.3833,1.16105,0.04533,0.00053225,0.00053225,0.00053225
60,12462.8,0.27621,0.48589,0.04466,0.30096,0.27326,0.22429,0.15939,0.37146,1.26487,0.03737,0.000519875,0.000519875,0.000519875
61,12669.7,0.24514,0.50061,0.03542,0.75452,0.2121,0.23176,0.16126,0.36501,1.21754,0.05213,0.0005075,0.0005075,0.0005075
62,12879.3,0.27925,0.51214,0.04363,0.56875,0.25325,0.21481,0.1444,0.41349,1.12249,0.05643,0.000495125,0.000495125,0.000495125
63,13086.3,0.26979,0.49192,0.03963,0.4392,0.22636,0.14757,0.10571,0.35745,1.35119,0.04434,0.00048275,0.00048275,0.00048275
64,13293.2,0.27835,0.5634,0.04027,0.30989,0.33947,0.2294,0.1642,0.35405,1.17168,0.03589,0.000470375,0.000470375,0.000470375
65,13500.5,0.26148,0.55906,0.04613,0.35103,0.35891,0.27444,0.1984,0.33227,1.19473,0.03543,0.000458,0.000458,0.000458
66,13708,0.24953,0.5578,0.03546,0.43923,0.33867,0.28362,0.20899,0.36162,1.17328,0.03374,0.000445625,0.000445625,0.000445625
67,13914.5,0.31791,0.56361,0.05843,0.43811,0.33265,0.22823,0.16396,0.33353,1.26288,0.03219,0.00043325,0.00043325,0.00043325
68,14121.4,0.29853,0.59694,0.05642,0.28099,0.303,0.213,0.1495,0.34912,1.23594,0.03127,0.000420875,0.000420875,0.000420875
69,14328,0.26878,0.57007,0.03983,0.38224,0.32956,0.23917,0.17069,0.41077,1.18077,0.04034,0.0004085,0.0004085,0.0004085
70,14535.3,0.27115,0.572,0.04102,0.62313,0.30712,0.21806,0.15197,0.38494,1.2702,0.04052,0.000396125,0.000396125,0.000396125
71,14742.3,0.25589,0.52928,0.03437,0.36427,0.32744,0.23757,0.17691,0.33187,1.26715,0.03287,0.00038375,0.00038375,0.00038375
72,14951,0.27181,0.53871,0.04619,0.41842,0.30843,0.26107,0.19571,0.31731,1.25846,0.03074,0.000371375,0.000371375,0.000371375
73,15157.7,0.27467,0.49068,0.04967,nan,0.45092,0.252,0.1845,nan,nan,nan,0.000359,0.000359,0.000359
74,15364.8,0.23723,0.4626,0.03503,0.47941,0.32535,0.26322,0.19465,0.36463,1.18749,0.03539,0.000346625,0.000346625,0.000346625
75,15572.5,0.20899,0.49181,0.02517,0.29674,0.30082,0.22747,0.16764,0.32658,1.22649,0.03139,0.00033425,0.00033425,0.00033425
76,15780,0.20881,0.49877,0.02576,0.50982,0.37074,0.24035,0.18075,0.30859,1.326,0.03346,0.000321875,0.000321875,0.000321875
77,15987.6,0.21507,0.43493,0.0323,0.38225,0.33448,0.29364,0.22636,0.29186,1.18955,0.02798,0.0003095,0.0003095,0.0003095
78,16196.2,0.23766,0.42781,0.03998,0.41671,0.40918,0.3321,0.24194,0.44742,1.15734,0.04106,0.000297125,0.000297125,0.000297125
79,16405.2,0.22728,0.43434,0.03682,0.49167,0.41399,0.36161,0.2638,0.43985,1.15133,0.0431,0.00028475,0.00028475,0.00028475
80,16614.3,0.21607,0.41975,0.02812,0.42979,0.43573,0.34784,0.25921,0.3609,1.16509,0.03382,0.000272375,0.000272375,0.000272375
81,16821.4,0.24964,0.40196,0.03988,0.39623,0.41258,0.30618,0.22739,0.31216,1.23628,0.02984,0.00026,0.00026,0.00026
82,17029.9,0.21376,0.39224,0.03354,0.3828,0.43332,0.31408,0.23241,0.30343,1.21626,0.02617,0.000247625,0.000247625,0.000247625
83,17236.5,0.2095,0.44073,0.03193,0.53508,0.37117,0.28676,0.21822,0.30968,1.20586,0.02674,0.00023525,0.00023525,0.00023525
84,17443.9,0.21486,0.41292,0.03002,0.4645,0.36979,0.26984,0.20418,0.29914,1.25641,0.02546,0.000222875,0.000222875,0.000222875
85,17650.6,0.2038,0.37836,0.03389,0.47364,0.32765,0.2759,0.20546,0.34164,1.21697,0.03224,0.0002105,0.0002105,0.0002105
86,17855.9,0.20014,0.37469,0.02609,0.3728,0.29937,0.24901,0.18785,0.38009,1.2499,0.04086,0.000198125,0.000198125,0.000198125
87,18061.8,0.19599,0.37769,0.02407,0.418,0.38566,0.2992,0.22256,0.40045,1.18116,0.04249,0.00018575,0.00018575,0.00018575
88,18268.2,0.22382,0.39055,0.03587,0.45211,0.38342,0.2927,0.21978,0.38239,1.16896,0.0426,0.000173375,0.000173375,0.000173375
89,18474.3,0.20055,0.36102,0.02979,0.42003,0.37391,0.27243,0.20278,0.3938,1.17117,0.04232,0.000161,0.000161,0.000161
90,18681.1,0.21334,0.3548,0.03368,0.41287,0.38558,0.27638,0.20815,0.37904,1.15057,0.04199,0.000148625,0.000148625,0.000148625
91,18883,0.15049,0.29231,0.01642,0.48151,0.36072,0.28834,0.21555,0.35435,1.15945,0.04249,0.00013625,0.00013625,0.00013625
92,19083.1,0.15202,0.28978,0.01648,0.41678,0.36701,0.33566,0.25614,0.34723,1.169,0.03803,0.000123875,0.000123875,0.000123875
93,19281,0.15187,0.28202,0.01624,0.53316,0.32564,0.32111,0.24152,0.34047,1.18204,0.03767,0.0001115,0.0001115,0.0001115
94,19480.8,0.14733,0.26748,0.01596,0.41815,0.39621,0.31155,0.23587,0.38361,1.13975,0.04241,9.9125e-05,9.9125e-05,9.9125e-05
95,19679.3,0.14571,0.26359,0.01624,0.42941,0.38982,0.28619,0.21625,0.4042,1.15537,0.04997,8.675e-05,8.675e-05,8.675e-05
96,19877.4,0.14439,0.25948,0.0155,0.40219,0.36785,0.27718,0.21002,0.41147,1.2121,0.04928,7.4375e-05,7.4375e-05,7.4375e-05
97,20077.4,0.13829,0.25847,0.01498,0.43162,0.36158,0.27802,0.21103,0.38659,1.16718,0.04462,6.2e-05,6.2e-05,6.2e-05
98,20275.7,0.13837,0.25142,0.01503,0.44529,0.3937,0.29833,0.22766,0.38978,1.17324,0.04525,4.9625e-05,4.9625e-05,4.9625e-05
99,20475.5,0.13902,0.25016,0.01494,0.41471,0.39763,0.30346,0.23474,0.37583,1.16928,0.04234,3.725e-05,3.725e-05,3.725e-05
100,20673.4,0.138,0.24689,0.01475,0.435,0.39409,0.30904,0.23568,0.40341,1.16048,0.04412,2.4875e-05,2.4875e-05,2.4875e-05
