epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7494,0.79263,8.26524,0.84884,0.28231,0.33581,0.23487,0.17076,1.20218,2.53193,0.97149,0.000415287,0.000415287,0.000415287
2,168.864,0.91424,3.54882,0.90538,0.19539,0.22777,0.14692,0.1118,1.18688,3.01593,1.01342,0.000818226,0.000818226,0.000818226
3,249.232,0.93507,2.47632,0.95295,0.31573,0.24138,0.24032,0.14856,1.29728,2.3983,1.00201,0.00120742,0.00120742,0.00120742
4,329.741,0.97491,2.30488,0.96075,0.30185,0.3267,0.27153,0.20614,1.23855,2.38769,1.01975,0.00118812,0.00118812,0.00118812
5,411.804,0.98456,1.76352,0.97999,0.15186,0.18662,0.15648,0.10935,1.1679,1.91458,0.99735,0.0011675,0.0011675,0.0011675
6,492.212,0.87759,1.48765,0.908,0.21595,0.28277,0.20565,0.15288,1.16542,1.81397,0.99256,0.00114688,0.00114688,0.00114688
7,573.224,0.84561,1.345,0.927,0.30642,0.38388,0.26668,0.19347,1.18884,2.36765,1.01319,0.00112625,0.00112625,0.00112625
8,653.779,0.85115,1.14331,0.91794,0.35786,0.3738,0.30795,0.23459,1.15981,1.92841,0.99531,0.00110563,0.00110563,0.00110563
9,735.371,0.84673,1.07381,0.93837,0.33335,0.40848,0.2985,0.22597,1.16113,2.01165,0.99087,0.001085,0.001085,0.001085
10,815.486,0.78884,0.95422,0.87883,0.3037,0.3905,0.27912,0.21157,1.18631,2.03325,1.01701,0.00106437,0.00106437,0.00106437
11,896.433,0.76765,0.9697,0.88386,0.3146,0.38801,0.28456,0.21879,1.14443,1.86127,0.99674,0.00104375,0.00104375,0.00104375
12,978.452,0.76926,0.9373,0.9006,0.22616,0.29635,0.22123,0.16696,1.1394,1.78493,0.98757,0.00102312,0.00102312,0.00102312
13,1059.19,0.72442,0.85479,0.86151,0.36832,0.46713,0.35395,0.26343,1.09173,1.98054,0.9801,0.0010025,0.0010025,0.0010025
14,1141.35,0.72766,0.81887,0.85467,0.34656,0.34492,0.28295,0.22059,1.11491,1.8969,0.9919,0.000981875,0.000981875,0.000981875
15,1221.77,0.70478,0.7432,0.85345,0.40079,0.5347,0.3896,0.28401,1.09171,1.75219,0.99284,0.00096125,0.00096125,0.00096125
16,1303.6,0.72861,0.78101,0.88301,0.42228,0.52155,0.37623,0.28898,1.08143,1.95068,0.9713,0.000940625,0.000940625,0.000940625
17,1385.91,0.7135,0.77097,0.85233,0.6303,0.36101,0.38076,0.28676,1.10178,1.925,0.99138,0.00092,0.00092,0.00092
18,1466.63,0.67958,0.69771,0.85672,0.3539,0.43528,0.31745,0.24,1.11312,2.32251,0.98991,0.000899375,0.000899375,0.000899375
19,1547.48,0.67254,0.7091,0.85357,0.39917,0.49865,0.38058,0.27067,1.12806,1.97754,0.99337,0.00087875,0.00087875,0.00087875
20,1627.7,0.69554,0.68213,0.86417,0.44875,0.46455,0.44429,0.30828,1.09474,1.83296,0.98419,0.000858125,0.000858125,0.000858125
21,1709.98,0.67092,0.66483,0.84286,0.4447,0.60726,0.4683,0.33021,1.11676,1.85442,0.99179,0.0008375,0.0008375,0.0008375
