                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84378,                 14.489,                0.86511,                0.14783,                0.14541,                 0.1286,                0.09209,                 1.1536,                   10.6,                0.93122,             0.00041529,             0.00041529,             0.00041529
                      2,                0.85916,                 11.387,                0.88236,                0.21478,                0.10104,                0.14952,                0.11997,                 1.0645,                 8.9327,                0.96015,             0.00081823,             0.00081823,             0.00081823
                      3,                0.85202,                 10.361,                0.92402,                0.17333,                0.15048,                0.12506,                0.09845,                 1.1459,                 8.2063,                0.98094,              0.0012074,              0.0012074,              0.0012074
                      4,                0.84908,                 9.1969,                0.89142,                0.23475,                0.25209,                0.19222,                0.15145,                 1.1741,                 7.8156,                0.97276,              0.0011881,              0.0011881,              0.0011881
                      5,                0.94694,                 8.0085,                0.92842,                0.19804,                0.17018,                0.16127,                 0.1266,                 1.1107,                 7.6255,                0.96689,              0.0011881,              0.0011881,              0.0011881
                      6,                0.85053,                 7.2289,                0.90585,                  0.215,                0.19212,                0.15657,                0.12072,                 1.0883,                 7.0628,                0.95813,              0.0011675,              0.0011675,              0.0011675
                      7,                0.76379,                   6.16,                0.87884,                0.39468,                0.23407,                0.27502,                0.22888,                 1.0684,                 6.2912,                0.95423,              0.0011469,              0.0011469,              0.0011469
                      8,                0.77017,                 5.5521,                0.86838,                 0.3421,                0.28385,                0.26585,                0.22137,                 1.0931,                 5.9292,                0.95131,              0.0011263,              0.0011263,              0.0011263
                      9,                0.74485,                 5.1669,                0.87729,                0.32579,                0.33067,                0.27754,                0.21766,                 1.0819,                 5.4589,                0.96285,              0.0011056,              0.0011056,              0.0011056
                     10,                0.76828,                 5.0591,                 0.8466,                 0.3212,                0.29476,                0.24195,                0.19599,                 1.1285,                 4.9257,                0.95462,               0.001085,               0.001085,               0.001085
                     11,                0.71918,                 4.1538,                0.86129,                0.31917,                0.28548,                0.25173,                0.20203,                 1.0843,                 4.3408,                 0.9641,              0.0010644,              0.0010644,              0.0010644
                     12,                0.71524,                 3.4866,                0.86736,                0.30212,                0.30451,                 0.2525,                0.20468,                 1.0318,                 4.1242,                0.94708,              0.0010438,              0.0010438,              0.0010438
                     13,                0.72972,                 3.5076,                0.85394,                0.31196,                0.38179,                0.28252,                0.22832,                 1.0849,                 4.2458,                0.95369,              0.0010231,              0.0010231,              0.0010231
                     14,                0.71916,                 3.2872,                0.84835,                0.33193,                0.35416,                 0.2732,                0.22303,                 1.0413,                  4.149,                0.94453,              0.0010025,              0.0010025,              0.0010025
