epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.381,1.64443,67.9149,1.78063,0.3254,0.02918,0.17348,0.12247,2.24561,26.8192,1.91601,0.000415287,0.000415287,0.000415287
2,288.834,1.67733,60.1512,1.88783,0.18476,0.08077,0.12755,0.08625,2.35701,26.7147,2.07284,0.000818226,0.000818226,0.000818226
3,381.323,1.74965,53.28,1.95006,0.19279,0.09626,0.12713,0.09791,2.24501,22.809,2.05673,0.00120742,0.00120742,0.00120742
4,473.977,1.72163,48.6537,1.96462,0.20374,0.10026,0.12664,0.09907,2.17735,18.2129,2.04432,0.00118812,0.00118812,0.00118812
5,566.575,1.65095,42.4736,1.9202,0.18316,0.12122,0.12302,0.09027,2.30107,10.4602,2.06858,0.0011675,0.0011675,0.0011675
6,658.692,1.67565,37.7184,1.96967,0.23791,0.13026,0.17641,0.13096,2.41638,5.31599,2.11123,0.00114688,0.00114688,0.00114688
7,751.026,1.5917,33.5263,1.94811,0.20718,0.18582,0.15873,0.12001,2.32695,4.5169,2.07783,0.00112625,0.00112625,0.00112625
8,844.146,1.53339,29.9691,1.86387,0.19009,0.18003,0.16623,0.12776,2.28909,3.96362,2.07616,0.00110563,0.00110563,0.00110563
9,935.824,1.52995,27.4056,1.8986,0.23821,0.12389,0.16071,0.12519,2.30885,4.20336,2.06299,0.001085,0.001085,0.001085
10,1027.73,1.42036,24.5188,1.81314,0.1965,0.20392,0.16124,0.12491,2.27707,4.67008,2.06143,0.00106437,0.00106437,0.00106437
11,1120.11,1.38347,20.6744,1.8021,0.2321,0.12496,0.16273,0.12822,2.22581,4.25548,2.02518,0.00104375,0.00104375,0.00104375
12,1212.31,1.42493,18.0365,1.90217,0.23555,0.19583,0.18097,0.13738,2.25289,3.96121,2.06283,0.00102312,0.00102312,0.00102312
13,1305.07,1.371,17.8327,1.81001,0.21984,0.18108,0.17304,0.13016,2.18034,4.23396,2.04216,0.0010025,0.0010025,0.0010025
14,1396.51,1.37799,15.768,1.80153,0.24385,0.20409,0.20096,0.15264,2.27445,3.8933,2.07849,0.000981875,0.000981875,0.000981875
15,1488.38,1.35428,14.016,1.81611,0.23343,0.20742,0.18145,0.13511,2.20163,4.15568,2.03763,0.00096125,0.00096125,0.00096125
16,1580.49,1.40307,12.6866,1.79482,0.21693,0.2769,0.19939,0.14821,2.15637,4.31332,2.00739,0.000940625,0.000940625,0.000940625
17,1672.42,1.35186,12.0148,1.75721,0.23115,0.2201,0.18865,0.14739,2.11018,4.21622,1.99204,0.00092,0.00092,0.00092
18,1764.74,1.32273,10.7644,1.79183,0.2468,0.21323,0.18589,0.14322,2.14867,4.25745,2.00417,0.000899375,0.000899375,0.000899375
19,1857.19,1.28417,9.59745,1.75667,0.22685,0.24825,0.19531,0.14756,2.13745,4.42596,1.98911,0.00087875,0.00087875,0.00087875
20,1948.27,1.3855,8.85399,1.79494,0.23885,0.24915,0.20952,0.16006,2.16488,3.68552,2.00787,0.000858125,0.000858125,0.000858125
21,2039.75,1.31528,8.21905,1.76408,0.25801,0.26164,0.21768,0.1643,2.18884,3.49858,2.04169,0.0008375,0.0008375,0.0008375
22,2131.5,1.2819,7.35728,1.76017,0.24973,0.26812,0.21874,0.17236,2.07764,3.9019,2.00016,0.000816875,0.000816875,0.000816875
23,2223.23,1.28914,7.12966,1.74882,0.26334,0.22013,0.21558,0.16979,2.12422,3.55574,2.00655,0.00079625,0.00079625,0.00079625
24,2314.15,1.27266,6.58474,1.74362,0.3609,0.28982,0.28572,0.22736,2.08005,3.57041,1.99689,0.000775625,0.000775625,0.000775625
25,2406.37,1.26113,6.22444,1.77107,0.26416,0.26229,0.21815,0.17211,2.0923,4.03652,1.97387,0.000755,0.000755,0.000755
26,2497.96,1.18124,5.90125,1.71371,0.48864,0.28876,0.22621,0.17309,2.06552,3.9148,1.97418,0.000734375,0.000734375,0.000734375
27,2589.65,1.23779,5.40675,1.72864,0.23918,0.29646,0.23113,0.17611,2.18582,3.5536,2.00608,0.00071375,0.00071375,0.00071375
28,2682.16,1.15679,5.14704,1.71504,0.32029,0.34683,0.28257,0.21962,2.04275,3.6452,1.97336,0.000693125,0.000693125,0.000693125
29,2774.22,1.11828,4.91079,1.69755,0.25464,0.31907,0.23992,0.18764,2.09818,3.61702,1.9769,0.0006725,0.0006725,0.0006725
30,2865.63,1.12618,4.77636,1.66474,0.2502,0.28732,0.2276,0.17316,2.15719,3.62624,2.01107,0.000651875,0.000651875,0.000651875
31,2957.03,1.1161,4.5209,1.71055,0.24747,0.30823,0.24028,0.1859,2.09325,3.6478,1.97633,0.00063125,0.00063125,0.00063125
32,3049.35,1.14758,4.31881,1.66878,0.24863,0.28255,0.23019,0.18015,2.06658,3.52705,1.96404,0.000610625,0.000610625,0.000610625
33,3141.34,1.09614,4.14106,1.66577,0.24839,0.30207,0.2209,0.1661,2.1244,3.8837,1.97684,0.00059,0.00059,0.00059
34,3233.41,1.11472,3.93651,1.69534,0.25109,0.28734,0.23051,0.17827,2.05401,3.37905,1.96252,0.000569375,0.000569375,0.000569375
35,3325.35,1.16941,3.78478,1.68444,0.28272,0.25741,0.23943,0.1934,2.08105,3.43492,1.95759,0.00054875,0.00054875,0.00054875
36,3417.54,1.01719,3.62227,1.62505,0.27056,0.33005,0.26041,0.20501,2.03231,3.46486,1.95674,0.000528125,0.000528125,0.000528125
37,3510.09,1.05939,3.4074,1.67199,0.28095,0.31563,0.25536,0.20052,2.0519,3.31691,1.94665,0.0005075,0.0005075,0.0005075
38,3601.52,1.05727,3.34714,1.65307,0.27124,0.32798,0.25082,0.19547,2.1428,3.66017,1.97136,0.000486875,0.000486875,0.000486875
39,3694.44,1.05913,3.30661,1.68653,0.26034,0.31615,0.2377,0.18421,2.09087,3.7045,1.9681,0.00046625,0.00046625,0.00046625
40,3786.8,1.02724,3.21929,1.67123,0.25478,0.33709,0.26035,0.2013,2.0254,3.63361,1.94314,0.000445625,0.000445625,0.000445625
41,3878.56,1.04271,3.13499,1.64161,0.27462,0.33217,0.26851,0.20319,2.07255,3.42278,1.96749,0.000425,0.000425,0.000425
42,3970.75,1.0266,2.99896,1.62957,0.27944,0.29189,0.25014,0.1942,2.09374,3.43595,1.96151,0.000404375,0.000404375,0.000404375
43,4062.29,0.92212,2.89226,1.60408,0.26314,0.30385,0.23924,0.19021,2.05637,3.61047,1.95634,0.00038375,0.00038375,0.00038375
44,4154.38,0.93286,2.79088,1.56077,0.28513,0.28836,0.24843,0.19628,2.01989,3.57353,1.9524,0.000363125,0.000363125,0.000363125
45,4246.46,0.97115,2.76767,1.61994,0.27815,0.29329,0.25036,0.1978,2.02762,3.79392,1.96241,0.0003425,0.0003425,0.0003425
46,4338.88,0.98347,2.67205,1.65038,0.27913,0.32344,0.25606,0.20158,2.04771,3.59109,1.95351,0.000321875,0.000321875,0.000321875
47,4431.09,0.92543,2.63131,1.59925,0.26079,0.34554,0.25024,0.19327,2.06235,3.78231,1.96484,0.00030125,0.00030125,0.00030125
