                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70905,                 18.492,                0.71794,                 0.1967,                0.25438,                0.14461,                0.13188,                0.68899,                  10.19,                 0.8431,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.59791,                 11.889,                 0.6893,                0.22155,                0.23615,                0.22375,                0.18781,                0.70679,                 6.8862,                0.86379,             6.8259e-05,             6.8259e-05,             6.8259e-05
                      3,                0.64159,                  10.87,                0.71326,                0.23812,                0.17163,                0.19984,                0.17191,                0.70219,                 6.6606,                  0.868,             9.1235e-05,             9.1235e-05,             9.1235e-05
                      4,                0.62123,                 10.225,                0.70227,                0.26153,                 0.2972,                 0.2253,                0.19719,                0.68553,                 6.3822,                0.86269,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      5,                0.60902,                 9.5003,                0.70672,                0.16667,                0.19023,                0.17322,                0.14898,                0.66725,                 6.0377,                0.85652,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      6,                0.59299,                 8.7928,                0.71576,                0.27432,                0.25347,                0.25583,                0.22048,                0.66473,                  5.544,                0.85666,             6.8856e-05,             6.8856e-05,             6.8856e-05
                      7,                0.60044,                 8.2747,                0.72458,                0.33427,                0.18549,                0.23362,                0.20484,                0.66036,                 5.4299,                0.85765,              5.757e-05,              5.757e-05,              5.757e-05
                      8,                0.54834,                 7.9498,                0.69013,                0.36002,                0.34071,                0.29416,                 0.2571,                0.64725,                 5.2188,                0.85868,             4.6284e-05,             4.6284e-05,             4.6284e-05
                      9,                0.55748,                 7.6686,                0.70489,                 0.4437,                0.26509,                0.33674,                0.30408,                0.64263,                  4.988,                0.85929,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     10,                0.54874,                  7.647,                 0.6832,                0.44762,                 0.2316,                0.33652,                0.29548,                0.64183,                 4.8944,                0.85933,             2.3712e-05,             2.3712e-05,             2.3712e-05
