                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61909,                 13.406,                0.71926,                0.21989,                0.28995,                0.18532,                0.16618,                0.67285,                 7.3592,                0.84488,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.55293,                  10.51,                0.68234,                0.29834,                0.31174,                0.25516,                0.23254,                0.64396,                 6.1467,                0.84232,             6.8259e-05,             6.8259e-05,             6.8259e-05
                      3,                0.53862,                 9.3614,                 0.7009,                0.39016,                0.15399,                0.26649,                0.24087,                0.64882,                 5.6624,                0.84929,             9.1235e-05,             9.1235e-05,             9.1235e-05
                      4,                0.54539,                 8.6586,                0.69456,                0.52697,                0.21558,                0.35444,                0.31364,                0.66827,                 5.2968,                0.85259,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      5,                0.57636,                 8.2216,                0.69393,                 0.3554,                0.23028,                0.29423,                0.25264,                0.65139,                 5.0921,                0.85112,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      6,                0.54221,                 7.6173,                0.68964,                0.59296,                0.32424,                0.41635,                0.37163,                 0.6708,                 4.8557,                0.85399,             6.8856e-05,             6.8856e-05,             6.8856e-05
                      7,                0.54476,                 7.1011,                0.70314,                0.70999,                0.37705,                0.35296,                0.32318,                0.62599,                 4.8131,                0.84497,              5.757e-05,              5.757e-05,              5.757e-05
                      8,                0.50591,                 6.7785,                0.67123,                0.53816,                0.32398,                0.41361,                0.37322,                0.66706,                 4.5748,                0.84387,             4.6284e-05,             4.6284e-05,             4.6284e-05
                      9,                0.53365,                 6.6435,                0.69016,                 0.6459,                 0.1988,                0.40631,                0.36859,                0.67705,                 4.4755,                0.84489,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     10,                0.50555,                  6.445,                0.66532,                0.53948,                0.39922,                0.45765,                0.41354,                0.63994,                 4.2279,                0.84389,             2.3712e-05,             2.3712e-05,             2.3712e-05
