                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66171,                  17.91,                0.74626,                0.62594,                 63.725,                 0.7135,                0.68543,                0.09524,                0.02266,                0.02049,                0.61794,                  11.39,                0.80796,                0.68126,                 44.131,                0.80469,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.62845,                 12.093,                0.72405,                0.58916,                 40.511,                0.69517,                0.13268,                0.48758,                0.16277,                0.14449,                0.63889,                 7.3458,                0.81587,                0.64591,                 32.693,                 0.7993,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.59152,                  8.962,                0.74452,                0.56419,                 32.752,                0.72058,                0.31796,                0.24381,                0.19661,                0.16988,                0.64532,                 6.8356,                  0.821,                0.64695,                 29.514,                0.80193,              0.0001025,              0.0001025,              0.0001025
                      4,                0.67613,                 8.9404,                0.73818,                0.61373,                 30.246,                0.69046,                0.10685,                0.62135,                0.24893,                0.20871,                0.66245,                 6.0648,                0.83314,                 0.7092,                 26.237,                0.80245,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.64396,                 7.0752,                0.75647,                0.61473,                 26.053,                 0.7193,                 0.5827,                0.25981,                0.25163,                0.21212,                0.66972,                 5.7253,                0.83097,                0.68052,                 23.084,                0.79912,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                 0.5924,                 7.9935,                0.69262,                0.59646,                 24.168,                0.65795,                0.42652,                0.32513,                0.30809,                0.26466,                0.68341,                 5.3621,                0.83209,                0.71594,                 20.664,                0.80972,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.57278,                 6.1243,                0.72569,                0.60688,                 20.848,                0.69708,                0.48989,                0.25733,                0.34282,                0.29228,                 0.6804,                 5.1088,                0.83321,                0.72089,                 19.174,                 0.8132,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                 0.6277,                 5.4018,                0.77213,                0.59884,                 19.235,                0.73489,                 0.3297,                0.44736,                0.34872,                0.29903,                 0.7239,                  4.783,                0.84136,                0.77696,                 17.882,                0.81779,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.51225,                 6.1973,                 0.6899,                0.48286,                 17.893,                0.66564,                0.42025,                0.35838,                0.36351,                0.31666,                0.64148,                 4.6057,                0.83307,                0.71295,                 16.756,                0.80917,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                0.56396,                 5.3697,                0.74191,                0.51591,                 16.519,                0.70244,                   0.31,                0.48628,                0.37744,                0.32766,                0.67801,                 4.5333,                0.83082,                 0.7024,                 15.647,                0.80699,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.54709,                 6.4417,                0.68196,                0.49197,                 18.724,                0.62779,                0.35564,                0.35815,                0.35484,                0.30123,                0.69102,                 4.3854,                0.83066,                0.71469,                 14.991,                0.81036,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.51159,                 5.8973,                 0.6728,                0.48656,                 17.733,                0.61701,                0.29922,                0.44046,                0.34571,                0.29815,                0.64085,                 4.0595,                0.82202,                0.69038,                 14.121,                0.80781,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.48315,                 5.6334,                0.68402,                0.42979,                 16.746,                0.63695,                0.34305,                0.42225,                0.36814,                0.31978,                0.64507,                  4.048,                0.82549,                0.67805,                 13.563,                0.80657,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.48883,                 5.3108,                0.68665,                0.46095,                  15.98,                0.63829,                0.32968,                0.44272,                0.38463,                0.33632,                0.62379,                 3.9645,                0.82596,                0.65861,                 13.088,                0.80897,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.47441,                 5.1107,                 0.6586,                0.44681,                 15.325,                0.61546,                  0.411,                0.41547,                0.40876,                0.35686,                0.63759,                 3.8613,                0.82885,                0.67576,                 12.625,                0.80892,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.47526,                 5.0126,                0.68655,                0.46526,                 14.847,                 0.6382,                0.46389,                0.40727,                0.42151,                0.36435,                0.67729,                 3.8392,                0.83163,                0.69807,                 12.299,                0.81124,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.52481,                 4.9961,                 0.6707,                0.47248,                 14.427,                0.61836,                0.51746,                  0.375,                0.43621,                0.37858,                0.70424,                 3.8541,                0.83351,                 0.7082,                 11.975,                0.80989,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.46403,                 4.8311,                0.67256,                0.42937,                 14.063,                0.62398,                0.49076,                 0.3979,                 0.4329,                0.37955,                0.64251,                 3.8235,                0.82666,                0.66321,                 11.776,                0.80798,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.46069,                 4.7082,                0.68346,                0.42923,                 13.767,                0.64012,                0.51924,                0.38612,                0.43067,                0.38231,                0.62953,                 3.8006,                0.82736,                0.65146,                 11.592,                0.80788,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                 0.4418,                 4.6413,                0.67087,                 0.4169,                 13.563,                0.62741,                0.47495,                0.43317,                 0.4375,                0.39013,                0.62327,                 3.7793,                0.82836,                0.65044,                  11.48,                0.80829,             1.2426e-05,             1.2426e-05,             1.2426e-05
