                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81117,                 11.569,                0.76086,                0.80594,                 22.693,                 0.6995,                0.00109,                0.01075,                 0.0006,                0.00042,                0.75701,                 9.2217,                0.82151,                0.74791,                 21.353,                0.79771,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                 0.7662,                 11.657,                0.73647,                0.70589,                  22.78,                 0.6752,                0.01874,                0.26998,                 0.0197,                0.01459,                0.83052,                 9.5861,                0.81948,                 0.8259,                 21.213,                0.79308,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.79129,                 11.789,                0.73521,                0.71851,                 21.917,                0.68548,                0.03095,                0.56977,                0.08787,                0.06312,                0.82606,                 9.6154,                0.81271,                 0.8191,                 20.868,                0.78482,              0.0001025,              0.0001025,              0.0001025
                      4,                0.91525,                 13.015,                0.73803,                0.82055,                 22.115,                0.67247,                0.75854,                0.11518,                 0.1352,                0.09076,                0.90694,                 9.7071,                0.80976,                0.85647,                 20.378,                0.77558,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.92714,                 11.633,                 0.7484,                0.86139,                 20.955,                0.68112,                0.40456,                0.16405,                0.14304,                0.09678,                 0.9361,                 9.6584,                0.80768,                0.91819,                 20.358,                0.77531,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                0.93252,                 12.965,                0.69197,                0.86551,                 21.455,                0.62483,                0.47086,                0.19009,                0.15663,                0.11408,                0.92944,                  9.489,                 0.8131,                0.86047,                 19.932,                0.78006,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.84155,                 11.335,                0.73042,                0.76639,                 20.352,                0.67145,                0.48257,                0.15104,                0.16914,                0.13177,                0.89413,                 9.4595,                0.81323,                0.84355,                 19.682,                0.77585,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.88069,                 11.564,                0.76363,                0.80101,                 20.399,                0.69638,                0.44791,                0.19088,                0.17595,                0.13494,                0.89279,                 9.4738,                0.80882,                0.91164,                  19.63,                0.77251,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.77827,                 11.677,                0.69712,                0.77606,                 20.087,                0.64831,                0.29936,                0.28132,                  0.184,                0.14383,                0.88152,                 9.4018,                0.80756,                0.87276,                 19.448,                0.77349,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                0.85949,                 11.516,                0.74927,                0.77229,                 19.884,                0.69047,                0.43549,                0.28912,                0.18823,                0.15395,                0.86951,                 9.2104,                0.81099,                0.79132,                 19.239,                0.77489,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.77595,                 13.918,                0.69474,                0.66188,                 23.127,                 0.6048,                0.42983,                0.31005,                0.20284,                0.16304,                0.86266,                 9.3425,                0.81209,                0.82789,                 19.324,                0.77334,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.70738,                 13.209,                0.67496,                0.65721,                 23.028,                0.60195,                0.46701,                0.22114,                0.20433,                0.16402,                 0.8325,                 9.0907,                0.81095,                0.82148,                 19.161,                 0.7738,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.73389,                 12.673,                0.69239,                0.64009,                  23.02,                0.60765,                0.48635,                0.22146,                 0.2026,                0.16342,                0.81531,                 8.9146,                0.81184,                0.83347,                 19.084,                0.77339,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.70804,                 11.888,                0.69621,                0.65517,                 22.863,                0.62085,                0.26909,                0.41581,                0.20437,                0.16622,                0.82314,                 8.7312,                0.81103,                0.83073,                 19.029,                0.77532,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.67805,                 11.902,                0.68116,                0.62196,                 22.874,                0.59985,                0.25216,                0.37732,                 0.1991,                0.16192,                0.83993,                 8.5581,                0.81481,                0.82054,                 18.927,                0.77609,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.71216,                 11.583,                0.69076,                0.65687,                 22.779,                0.59528,                0.26634,                0.33684,                0.19623,                0.15941,                0.83847,                 8.4301,                 0.8154,                0.82497,                 18.845,                0.77532,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.68006,                 11.475,                0.68822,                0.62761,                 22.748,                0.61164,                0.26446,                0.31855,                0.18959,                0.15417,                 0.8236,                 8.3075,                0.81501,                 0.8231,                 18.738,                0.77393,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.64367,                 11.775,                0.69303,                  0.602,                 22.644,                0.61325,                0.25695,                0.30109,                0.18933,                 0.1533,                0.81031,                 8.3074,                0.81597,                0.83057,                 18.714,                0.77379,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.65309,                 11.353,                0.68044,                0.58234,                 22.626,                0.60449,                0.25665,                0.34896,                0.19245,                0.15727,                0.79452,                 8.2239,                0.81712,                 0.8195,                 18.673,                0.77465,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.65438,                 11.338,                0.68662,                0.60128,                  22.59,                 0.6106,                0.26113,                0.34506,                0.19193,                0.15714,                 0.7954,                 8.1659,                0.81657,                 0.8268,                 18.659,                0.77467,             1.2426e-05,             1.2426e-05,             1.2426e-05
