                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80868,                 18.495,                0.79195,                      0,                      0,                      0,                      0,                0.71934,                 13.709,                0.83438,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.70753,                 14.161,                 0.7657,                0.14937,                 0.3229,                0.15343,                0.13415,                0.73504,                 11.309,                0.82662,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.72702,                 12.209,                0.78062,                0.15672,                0.31181,                0.16539,                0.14315,                0.72797,                  10.77,                0.82082,              0.0001025,              0.0001025,              0.0001025
                      4,                0.75892,                 11.932,                0.76839,                0.26863,                0.08697,                0.15367,                0.13376,                 0.7463,                 8.8227,                0.81865,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.72726,                 10.057,                0.77897,                0.17793,                0.00524,                0.06661,                0.06206,                0.71392,                  8.163,                0.81583,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                0.67411,                 10.976,                0.70925,                0.24988,                0.18516,                0.18925,                0.16793,                0.67598,                 7.4326,                0.81282,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.66263,                 8.7809,                0.74827,                0.18695,                0.38133,                0.20189,                0.17827,                0.67738,                 7.3087,                0.81455,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.71363,                 8.0993,                0.78461,                0.43455,                0.18057,                0.26148,                0.24739,                0.66389,                 6.8039,                0.81779,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.59497,                 8.7827,                   0.71,                0.42105,                0.08984,                0.23338,                0.20188,                0.66668,                 6.5383,                0.81839,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                0.67295,                 8.0095,                0.75701,                0.34447,                 0.1547,                0.24792,                0.22497,                0.66794,                 6.1343,                0.81973,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.62172,                 9.3341,                 0.7066,                0.43873,                 0.2267,                0.32326,                0.29487,                0.71256,                 6.3071,                0.82904,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.63721,                 8.7775,                0.70132,                0.43439,                0.21711,                0.30755,                0.27855,                0.72353,                 6.0613,                 0.8305,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.61756,                 8.2951,                0.70739,                0.28405,                 0.1771,                0.22302,                0.19995,                 0.7154,                 5.7417,                0.83016,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.61102,                 7.8826,                0.70669,                0.26552,                0.29627,                0.24236,                0.21432,                0.71358,                  5.643,                 0.8318,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.57911,                 7.6158,                0.68312,                0.24767,                0.37164,                0.26149,                0.22814,                0.71891,                 5.5371,                0.83199,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.57924,                 7.4643,                0.70133,                0.44263,                0.28089,                 0.3362,                0.30133,                0.70853,                  5.325,                0.82872,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.57889,                 7.5126,                0.68843,                0.37353,                 0.2863,                0.29847,                0.27183,                0.69557,                 5.2404,                0.82653,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.57699,                 7.3376,                0.69528,                0.38359,                0.32438,                0.30621,                0.27352,                0.69353,                 5.2227,                0.82684,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.55957,                  7.164,                0.70589,                0.38144,                0.33823,                0.31753,                0.28374,                0.67968,                  5.151,                0.82464,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.55362,                 7.0376,                0.69672,                0.39661,                0.35153,                0.33051,                0.29585,                 0.6855,                 5.1517,                0.82669,             1.2426e-05,             1.2426e-05,             1.2426e-05
