                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0438,                 6.4475,                0.85926,                0.81033,                0.36923,                0.32924,                0.24784,                 1.1304,                  4.553,                0.87927,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.0391,                 4.3548,                0.86014,                0.50027,                0.54117,                0.50556,                 0.3854,                 1.2214,                 3.1979,                0.90293,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.0604,                 2.9649,                0.87309,                0.55318,                0.25706,                0.36386,                 0.2873,                 1.2317,                 2.6792,                0.92961,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.0515,                 2.4389,                0.87702,                0.63342,                0.42434,                0.49922,                0.39426,                 1.1917,                 2.2424,                0.90293,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0071,                 1.9905,                0.85602,                0.60964,                0.57552,                0.52807,                0.40508,                 1.1585,                 1.8206,                0.89258,              0.0016175,              0.0016175,              0.0016175
                      6,                 0.9685,                 1.5709,                0.86745,                0.61795,                0.46752,                0.50041,                0.37374,                 1.2277,                 1.8007,                0.91502,               0.001601,               0.001601,               0.001601
                      7,                0.95474,                 1.4358,                0.85954,                0.61599,                0.48237,                0.50371,                0.40136,                 1.1596,                 1.7522,                 0.9087,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.0005,                 1.4573,                0.88239,                0.70625,                0.36961,                0.51094,                0.40056,                 1.1879,                  1.605,                0.90434,               0.001568,               0.001568,               0.001568
                      9,                0.96358,                 1.3526,                0.86117,                0.63101,                0.59741,                0.59907,                0.44951,                  1.213,                 1.5166,                0.92003,              0.0015515,              0.0015515,              0.0015515
                     10,                 0.8708,                 1.1899,                0.83801,                0.66913,                0.62407,                0.61661,                0.48709,                 1.0872,                 1.5244,                0.89506,               0.001535,               0.001535,               0.001535
                     11,                 0.9225,                 1.2247,                0.83679,                0.65933,                0.65549,                0.60027,                0.46094,                 1.0858,                 1.3934,                0.90761,              0.0015185,              0.0015185,              0.0015185
                     12,                0.90987,                 1.2417,                0.85078,                0.70668,                0.40237,                0.53735,                0.41348,                 1.1535,                 1.4735,                0.92088,               0.001502,               0.001502,               0.001502
                     13,                0.87713,                 1.0833,                0.83538,                0.62892,                0.64978,                0.60421,                0.45601,                 1.1005,                 1.4232,                0.90486,              0.0014855,              0.0014855,              0.0014855
                     14,                 0.8752,                 1.0574,                0.83415,                0.64427,                0.62755,                0.57641,                0.45157,                 1.0987,                 1.4474,                 0.8879,               0.001469,               0.001469,               0.001469
                     15,                0.88525,                 1.0695,                0.84148,                0.68092,                0.56446,                0.58491,                 0.4571,                 1.0755,                 1.4742,                0.88731,              0.0014525,              0.0014525,              0.0014525
                     16,                0.86049,                 1.0327,                0.83545,                0.66918,                0.52366,                0.56416,                 0.4401,                 1.1041,                 1.5085,                0.90318,               0.001436,               0.001436,               0.001436
                     17,                0.87492,                  1.069,                0.81934,                0.61123,                 0.5264,                0.53306,                0.43578,                 1.0922,                 1.5573,                0.89832,              0.0014195,              0.0014195,              0.0014195
                     18,                0.85112,                 1.0024,                0.82501,                0.62444,                0.59313,                0.57377,                0.44136,                 1.1047,                 1.4369,                0.90084,              0.0014029,              0.0014029,              0.0014029
                     19,                 0.8298,                0.95946,                0.84699,                0.62996,                0.54961,                0.54426,                 0.4388,                 1.0709,                 1.4492,                 0.9234,              0.0013864,              0.0013864,              0.0013864
                     20,                0.83613,                 1.0034,                0.83162,                0.60797,                0.61335,                0.54448,                0.43961,                 1.0859,                 1.5034,                0.90755,              0.0013699,              0.0013699,              0.0013699
                     21,                0.83674,                0.94207,                0.85193,                0.64879,                0.48905,                0.52373,                0.42809,                 1.0376,                 1.4629,                0.89035,              0.0013534,              0.0013534,              0.0013534
                     22,                0.83449,                0.97317,                0.83188,                 0.6735,                0.45329,                0.52096,                  0.419,                 1.1177,                 1.6464,                0.90463,              0.0013369,              0.0013369,              0.0013369
                     23,                0.82898,                0.98195,                0.83722,                0.58467,                0.58281,                 0.5488,                0.41536,                 1.0783,                 1.4577,                 0.9098,              0.0013204,              0.0013204,              0.0013204
                     24,                0.83497,                0.91616,                0.84044,                0.65037,                0.59034,                0.57363,                0.46242,                 1.0728,                 1.5596,                0.90183,              0.0013039,              0.0013039,              0.0013039
                     25,                0.85695,                0.91535,                0.82585,                0.64079,                0.55292,                0.52475,                 0.4153,                 1.1006,                 1.5631,                0.89421,              0.0012874,              0.0012874,              0.0012874
                     26,                0.80654,                0.91689,                0.81684,                0.60026,                0.62111,                 0.5566,                0.43752,                 1.0511,                 1.4939,                0.89047,              0.0012709,              0.0012709,              0.0012709
                     27,                0.79905,                 0.8823,                0.82523,                 0.6311,                0.56996,                0.54061,                0.43654,                 1.0206,                 1.4966,                0.90463,              0.0012544,              0.0012544,              0.0012544
                     28,                0.78403,                0.86079,                0.82583,                0.66376,                0.65086,                0.61514,                0.48986,                 1.0593,                 1.3811,                0.91105,              0.0012379,              0.0012379,              0.0012379
                     29,                0.75145,                0.83166,                 0.8052,                0.64336,                0.58524,                0.55565,                0.43952,                 1.0719,                 1.4661,                0.89143,              0.0012214,              0.0012214,              0.0012214
                     30,                0.78469,                0.81765,                0.81581,                0.64303,                0.61132,                0.59223,                0.46976,                 1.0705,                 1.4057,                0.89026,              0.0012049,              0.0012049,              0.0012049
                     31,                0.75727,                0.81481,                0.81335,                  0.633,                0.52843,                0.52968,                0.42074,                 1.0191,                  1.572,                0.89662,              0.0011884,              0.0011884,              0.0011884
                     32,                0.73277,                0.82662,                0.80926,                0.59121,                 0.6127,                0.55106,                0.43206,                 1.0054,                    1.5,                0.88346,              0.0011719,              0.0011719,              0.0011719
                     33,                0.77055,                0.77517,                 0.8118,                0.65415,                0.56297,                0.57212,                0.45564,                 1.0158,                 1.5279,                0.88441,              0.0011554,              0.0011554,              0.0011554
                     34,                0.77686,                0.83148,                  0.809,                0.66464,                0.51986,                0.55468,                  0.462,                 1.0156,                 1.4687,                0.89308,              0.0011389,              0.0011389,              0.0011389
                     35,                0.73438,                0.79185,                0.80872,                0.64892,                0.50514,                0.53715,                 0.4375,                 1.0389,                 1.6301,                 0.8957,              0.0011224,              0.0011224,              0.0011224
                     36,                0.76216,                0.79715,                0.82331,                0.66434,                0.52208,                0.54734,                0.45233,                 1.0227,                 1.5866,                0.89933,              0.0011059,              0.0011059,              0.0011059
                     37,                0.75782,                0.76272,                0.81605,                0.60934,                0.55086,                0.53846,                0.43033,                 1.0392,                 1.5678,                0.89882,              0.0010894,              0.0010894,              0.0010894
                     38,                0.76638,                0.79114,                0.81308,                0.63679,                0.60225,                0.55214,                0.44492,                 1.0491,                 1.4692,                0.89383,              0.0010729,              0.0010729,              0.0010729
                     39,                0.74463,                0.74565,                0.81888,                0.63399,                0.64088,                0.57803,                0.46963,                0.99877,                 1.4535,                0.88843,              0.0010564,              0.0010564,              0.0010564
                     40,                0.71166,                 0.7619,                0.79371,                0.64299,                0.61156,                0.58625,                0.47938,                 1.0057,                  1.551,                0.89032,              0.0010399,              0.0010399,              0.0010399
                     41,                0.72152,                0.82173,                 0.8071,                0.67567,                0.61284,                0.60517,                0.48954,                  1.055,                 1.5775,                0.89089,              0.0010234,              0.0010234,              0.0010234
                     42,                 0.6967,                0.72024,                0.79525,                  0.654,                0.58349,                0.57284,                0.46391,                 1.0171,                 1.5005,                0.89582,              0.0010069,              0.0010069,              0.0010069
                     43,                0.70885,                0.69674,                0.80959,                0.60139,                   0.56,                0.55361,                 0.4517,                0.99547,                 1.5309,                0.87825,             0.00099036,             0.00099036,             0.00099036
                     44,                0.71792,                 0.7354,                0.80458,                0.63284,                0.62448,                0.59257,                 0.4859,                  1.012,                 1.4496,                0.88496,             0.00097386,             0.00097386,             0.00097386
                     45,                0.70491,                0.70495,                 0.7988,                 0.6175,                0.46108,                0.50054,                0.42427,                0.99661,                 1.7244,                0.89156,             0.00095736,             0.00095736,             0.00095736
                     46,                0.69992,                0.68568,                0.80993,                0.63775,                0.58511,                0.55662,                0.45059,                 1.0446,                 1.5684,                0.89785,             0.00094085,             0.00094085,             0.00094085
                     47,                0.70105,                0.65642,                0.80324,                0.60433,                0.63193,                0.54334,                 0.4401,                 1.0014,                 1.6916,                0.88593,             0.00092435,             0.00092435,             0.00092435
                     48,                0.71526,                0.73122,                0.80114,                0.63144,                0.49816,                0.51753,                 0.4279,                 1.0136,                 1.7248,                0.89254,             0.00090785,             0.00090785,             0.00090785
                     49,                0.67441,                0.66147,                0.80125,                0.64492,                0.58794,                0.57343,                0.46309,                  1.019,                 1.5413,                0.89107,             0.00089134,             0.00089134,             0.00089134
                     50,                0.69303,                0.64297,                0.79509,                0.62792,                0.64111,                0.59141,                0.48196,                0.98082,                 1.4489,                0.88726,             0.00087484,             0.00087484,             0.00087484
                     51,                0.68217,                0.66129,                0.80501,                0.64881,                  0.557,                0.56289,                0.46734,                0.98195,                  1.638,                0.88569,             0.00085834,             0.00085834,             0.00085834
                     52,                0.67898,                0.66492,                0.79064,                0.66484,                0.64196,                0.59528,                0.48557,                 1.0145,                 1.4848,                0.90084,             0.00084184,             0.00084184,             0.00084184
                     53,                0.66615,                0.59009,                0.79831,                0.61388,                0.57647,                0.55193,                0.45398,                0.98905,                 1.6107,                0.88578,             0.00082533,             0.00082533,             0.00082533
                     54,                0.69047,                0.62824,                0.80085,                0.64573,                0.58325,                0.57159,                 0.4732,                0.99799,                 1.4725,                0.89682,             0.00080883,             0.00080883,             0.00080883
                     55,                0.66859,                0.62576,                0.79702,                0.62515,                0.62046,                0.57317,                0.45834,                0.99432,                 1.4406,                0.88338,             0.00079233,             0.00079233,             0.00079233
                     56,                0.65145,                 0.6142,                0.79319,                0.64987,                0.63939,                0.58225,                0.47292,                 1.0213,                 1.5221,                0.88722,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.6708,                0.60775,                0.79907,                0.64297,                0.66571,                0.59982,                0.48284,                 1.0168,                 1.4016,                0.88602,             0.00075932,             0.00075932,             0.00075932
                     58,                0.65229,                0.57963,                0.78851,                0.64833,                0.64449,                0.59156,                0.48025,                0.98803,                    1.5,                0.88521,             0.00074282,             0.00074282,             0.00074282
                     59,                0.62584,                0.54925,                0.77851,                0.63663,                0.53409,                0.52428,                0.43095,                0.99424,                 1.6808,                0.88847,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.6371,                0.62089,                0.78433,                0.63793,                0.55477,                0.53855,                0.44738,                0.97955,                 1.5726,                0.88459,             0.00070981,             0.00070981,             0.00070981
                     61,                0.63529,                 0.5874,                0.78024,                0.65097,                0.54678,                0.53712,                0.44685,                0.99959,                 1.6752,                0.88518,             0.00069331,             0.00069331,             0.00069331
