                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0457,                 6.4398,                0.85953,                0.36277,                0.66327,                0.46657,                0.32221,                 1.1111,                 4.5373,                0.87685,             0.00055503,             0.00055503,             0.00055503
                      2,                   1.04,                  4.396,                0.87368,                0.39401,                0.62035,                0.50118,                0.34183,                 1.1844,                 3.2687,                0.89651,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.0361,                 2.8725,                0.88555,                0.52368,                0.63673,                0.53177,                0.36997,                 1.2085,                 2.5819,                0.92422,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.0226,                 2.3585,                0.87952,                 0.4612,                0.62526,                0.48339,                0.33319,                 1.2183,                 2.2456,                0.91471,              0.0016175,              0.0016175,              0.0016175
                      5,                 0.9955,                 1.9053,                0.85671,                   0.58,                0.69303,                 0.5997,                 0.4096,                 1.1575,                 1.8444,                0.90152,              0.0016175,              0.0016175,              0.0016175
                      6,                0.96622,                 1.5679,                0.87456,                0.57431,                0.67842,                0.61631,                0.40216,                 1.2072,                 1.8249,                 0.9076,               0.001601,               0.001601,               0.001601
                      7,                0.97178,                 1.4745,                 0.8593,                0.59663,                0.66149,                0.60071,                0.40754,                 1.2261,                 1.6252,                0.92194,              0.0015845,              0.0015845,              0.0015845
                      8,                0.99332,                 1.4232,                0.87394,                0.59656,                0.66071,                0.61106,                0.43086,                 1.1354,                 1.5591,                0.90001,               0.001568,               0.001568,               0.001568
                      9,                0.97193,                 1.2959,                0.86895,                0.59981,                0.71365,                0.61569,                0.43098,                  1.097,                 1.5187,                0.91134,              0.0015515,              0.0015515,              0.0015515
                     10,                0.89428,                 1.2091,                0.84385,                 0.6001,                0.70025,                0.63543,                0.46003,                 1.0847,                 1.4818,                0.89433,               0.001535,               0.001535,               0.001535
                     11,                0.91483,                 1.2009,                 0.8324,                0.63226,                0.67637,                0.61603,                0.44722,                 1.0924,                 1.4841,                0.90357,              0.0015185,              0.0015185,              0.0015185
                     12,                0.87244,                 1.2223,                0.83862,                0.49131,                0.65251,                0.57515,                0.39967,                 1.1584,                 1.6397,                0.90927,               0.001502,               0.001502,               0.001502
                     13,                 0.8566,                 1.0899,                0.84388,                    0.6,                 0.7369,                 0.6288,                0.43635,                 1.1058,                  1.435,                0.89668,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88054,                 1.0767,                0.83459,                0.61104,                0.68362,                 0.6278,                0.43324,                  1.153,                 1.5157,                0.90191,               0.001469,               0.001469,               0.001469
                     15,                0.87955,                 1.1031,                0.84062,                0.62397,                0.68818,                0.61152,                0.43669,                 1.0844,                 1.4509,                0.90222,              0.0014525,              0.0014525,              0.0014525
                     16,                0.84326,                 1.0072,                0.83732,                0.60545,                0.75381,                0.63622,                0.45763,                 1.0795,                 1.4319,                0.90831,               0.001436,               0.001436,               0.001436
                     17,                0.87942,                   1.06,                0.83035,                0.52665,                0.67248,                0.58055,                0.41292,                 1.0974,                 1.5074,                0.90188,              0.0014195,              0.0014195,              0.0014195
                     18,                0.84132,                 1.0066,                0.82858,                0.56763,                0.67745,                0.62172,                0.44812,                 1.0798,                  1.516,                0.89811,              0.0014029,              0.0014029,              0.0014029
                     19,                0.81719,                0.97646,                0.84081,                0.59981,                0.71633,                0.61491,                  0.452,                 1.0931,                 1.4652,                0.91287,              0.0013864,              0.0013864,              0.0013864
                     20,                0.82969,                0.96675,                0.82248,                0.56707,                 0.7284,                  0.591,                0.43405,                 1.0689,                 1.5442,                0.90049,              0.0013699,              0.0013699,              0.0013699
                     21,                0.82275,                0.91991,                0.84285,                0.61965,                0.64056,                0.60612,                0.44372,                 1.0333,                 1.5305,                 0.9007,              0.0013534,              0.0013534,              0.0013534
                     22,                0.81776,                0.94535,                0.82315,                0.58535,                0.64541,                0.58067,                0.41851,                 1.0784,                 1.5494,                0.90437,              0.0013369,              0.0013369,              0.0013369
                     23,                0.82358,                0.95915,                0.83716,                0.63586,                 0.6293,                0.60556,                0.43124,                 1.0979,                 1.3476,                0.90424,              0.0013204,              0.0013204,              0.0013204
                     24,                0.88931,                0.95474,                0.84299,                0.60876,                0.68619,                0.63696,                0.45969,                 1.0915,                 1.3755,                0.91282,              0.0013039,              0.0013039,              0.0013039
                     25,                0.82194,                0.89689,                0.82043,                0.58929,                 0.7098,                0.62828,                0.45517,                 1.0916,                 1.3155,                0.90817,              0.0012874,              0.0012874,              0.0012874
                     26,                0.79249,                0.89646,                0.81904,                0.55409,                0.70513,                0.60562,                  0.434,                 1.1036,                 1.5594,                0.91254,              0.0012709,              0.0012709,              0.0012709
                     27,                 0.8341,                0.90354,                0.83152,                0.60066,                 0.6532,                0.59703,                0.43686,                 1.0832,                 1.4772,                 0.9176,              0.0012544,              0.0012544,              0.0012544
                     28,                0.78987,                0.87469,                0.82687,                0.61739,                0.69768,                0.63247,                0.46577,                 1.0923,                 1.3871,                0.91327,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.7605,                0.84987,                0.81453,                0.62474,                0.69719,                0.61315,                0.44918,                 1.0729,                 1.4619,                0.90625,              0.0012214,              0.0012214,              0.0012214
                     30,                0.79157,                0.87747,                0.81669,                0.60295,                0.68079,                0.62974,                0.44868,                 1.0517,                 1.3776,                0.89355,              0.0012049,              0.0012049,              0.0012049
                     31,                0.76277,                0.85172,                0.81558,                0.63693,                0.71058,                0.63513,                0.46964,                 1.0534,                 1.2886,                0.89911,              0.0011884,              0.0011884,              0.0011884
