                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1369,                 2.9333,                0.94151,                 1.0184,                 4.2835,                0.85191,                0.30937,                0.57869,                0.47116,                0.29574,                 1.4479,                 2.0408,                 1.0037,                 1.4377,                 2.1293,                0.99377,             0.00055503,             0.00055503,             0.00055503
                      2,                  1.301,                 1.7963,                 0.9807,                 1.1787,                 1.7751,                0.87585,                0.55558,                0.45677,                0.43636,                0.28432,                  1.618,                 2.0495,                 1.0718,                 1.5181,                 2.1043,                 1.0469,              0.0011034,              0.0011034,              0.0011034
                      3,                 1.2588,                 1.5701,                0.98447,                 1.1845,                 1.5444,                0.89208,                0.37592,                0.57002,                0.39862,                0.25787,                 1.4741,                 2.1127,                 1.0528,                 1.5901,                 1.9366,                 1.0445,              0.0016444,              0.0016444,              0.0016444
                      4,                  1.292,                 1.5758,                 1.0067,                 1.1959,                 1.4468,                0.92184,                0.51943,                0.50949,                0.47678,                0.32353,                 1.4221,                 1.8438,                 1.0266,                  1.444,                 1.8069,                  1.017,               0.001634,               0.001634,               0.001634
                      5,                 1.2114,                 1.4792,                0.96147,                 1.1372,                  1.255,                0.87548,                0.52214,                0.55901,                0.49502,                0.32447,                 1.4635,                 1.9187,                 1.0346,                 1.4915,                  1.658,                 1.0247,               0.001634,               0.001634,               0.001634
                      6,                  1.162,                 2.8244,                 0.9554,                 1.0787,                  1.182,                0.86531,                0.58563,                0.48696,                0.51524,                0.33857,                 1.4002,                 15.422,                 1.0146,                 1.4564,                  1.595,                 1.0046,               0.001623,               0.001623,               0.001623
                      7,                 1.2127,                 1.5037,                0.94381,                 1.0979,                 1.3495,                0.85777,                0.48406,                 0.5411,                0.46776,                0.31573,                 1.3881,                 1.7162,                 1.0206,                 1.3965,                 1.6873,                 1.0077,               0.001612,               0.001612,               0.001612
                      8,                 1.1199,                 1.4262,                0.95013,                 1.1096,                 1.2661,                0.87868,                0.42033,                0.53509,                0.46147,                0.32071,                 1.3423,                 1.8455,                 1.0152,                 1.4335,                 1.8697,                 1.0131,               0.001601,               0.001601,               0.001601
                      9,                 1.1024,                 1.3213,                 0.9259,                  1.028,                 1.1152,                0.84314,                0.51337,                0.60547,                0.51314,                0.35104,                 1.3377,                 1.6816,                 1.0178,                  1.382,                 1.4928,                0.99901,                0.00159,                0.00159,                0.00159
                     10,                 1.0306,                 1.2392,                0.90416,                0.99254,                 1.0493,                0.84415,                0.55839,                0.62589,                0.54072,                0.36979,                 1.2369,                 1.5527,                0.98441,                 1.3495,                 1.4852,                0.99454,               0.001579,               0.001579,               0.001579
