                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79178,                 4.6639,                0.81778,                0.28037,                0.37276,                0.24545,                0.18217,                 1.1843,                 4.1288,                0.85201,             0.00041529,             0.00041529,             0.00041529
                      2,                0.96356,                 2.2453,                0.84677,                0.19909,                 0.3055,                0.17326,                0.13202,                 1.2639,                 3.2215,                 0.8749,             0.00082166,             0.00082166,             0.00082166
                      3,                0.99714,                 1.8887,                 0.8972,                0.42696,                0.25542,                0.26327,                0.17024,                 1.3846,                 2.1336,                0.91868,              0.0012177,              0.0012177,              0.0012177
                      4,                 1.0013,                 1.4463,                0.90955,                0.32048,                 0.4782,                0.36294,                0.24779,                 1.3679,                 2.0259,                0.94457,              0.0012036,              0.0012036,              0.0012036
                      5,                   1.07,                 1.2436,                0.93025,                0.43163,                0.27242,                0.33702,                0.25565,                 1.3645,                 1.8343,                0.92962,              0.0012036,              0.0012036,              0.0012036
                      6,                0.98928,                 1.1306,                0.91439,                0.42377,                0.36841,                0.35418,                0.25689,                 1.3021,                  1.785,                0.92783,              0.0011881,              0.0011881,              0.0011881
                      7,                 0.9564,                  1.005,                0.90825,                0.49937,                0.44818,                0.43178,                0.31475,                 1.2844,                 2.0004,                0.92409,              0.0011727,              0.0011727,              0.0011727
                      8,                0.89999,                 0.8694,                0.86939,                0.52122,                0.52788,                0.49558,                0.38744,                 1.1773,                 1.6341,                0.90633,              0.0011572,              0.0011572,              0.0011572
                      9,                0.91255,                0.87854,                0.89573,                0.37602,                 0.4823,                0.37371,                0.27705,                 1.2264,                 1.8695,                0.90503,              0.0011417,              0.0011417,              0.0011417
                     10,                0.91164,                0.79494,                0.87078,                0.48386,                0.49293,                0.40771,                 0.3097,                 1.2507,                 1.9666,                0.91945,              0.0011263,              0.0011263,              0.0011263
                     11,                0.81748,                0.75519,                0.86569,                0.50729,                0.44892,                0.43983,                0.32506,                 1.2272,                 1.7555,                0.90877,              0.0011108,              0.0011108,              0.0011108
                     12,                0.80187,                0.76958,                0.86862,                0.53882,                0.42749,                0.45151,                0.35225,                 1.1416,                 1.6104,                0.88811,              0.0010953,              0.0010953,              0.0010953
                     13,                0.73852,                0.72242,                0.83791,                 0.5534,                0.45321,                0.45317,                 0.3537,                  1.162,                 1.8614,                 0.9053,              0.0010798,              0.0010798,              0.0010798
                     14,                 0.7466,                0.64955,                0.82038,                 0.5356,                0.49894,                0.47054,                0.36794,                 1.1188,                 1.8135,                0.89558,              0.0010644,              0.0010644,              0.0010644
                     15,                0.74175,                0.69515,                0.85496,                0.40503,                0.40173,                0.34926,                0.26806,                 1.0911,                 1.8225,                 0.8872,              0.0010489,              0.0010489,              0.0010489
                     16,                0.81566,                0.74179,                0.85271,                0.54486,                0.57176,                0.48337,                0.37417,                 1.1445,                 2.0439,                 0.8886,              0.0010334,              0.0010334,              0.0010334
                     17,                0.75797,                0.65675,                0.83641,                0.54719,                0.46736,                0.44746,                0.34597,                  1.107,                 2.0937,                0.88844,               0.001018,               0.001018,               0.001018
                     18,                0.73921,                0.67296,                0.84433,                0.53322,                 0.5557,                 0.4999,                0.39376,                 1.1079,                 1.5563,                0.89573,              0.0010025,              0.0010025,              0.0010025
                     19,                0.70454,                 0.6386,                0.83196,                0.57419,                  0.569,                0.53182,                0.41694,                 1.0867,                 1.6594,                0.88595,             0.00098703,             0.00098703,             0.00098703
                     20,                0.73462,                 0.6343,                0.85398,                0.55382,                0.69733,                0.55953,                0.42968,                 1.0869,                 1.7177,                0.87743,             0.00097156,             0.00097156,             0.00097156
                     21,                0.69693,                0.59248,                0.83026,                0.60721,                 0.5607,                0.55181,                0.41225,                 1.1501,                 1.5702,                0.89439,             0.00095609,             0.00095609,             0.00095609
                     22,                0.67222,                0.55875,                0.83341,                0.60184,                0.55624,                0.53422,                0.41613,                 1.0879,                  1.523,                0.88298,             0.00094062,             0.00094062,             0.00094062
                     23,                0.69748,                0.55553,                0.81619,                0.53719,                0.63926,                  0.534,                0.40917,                 1.0712,                 1.6367,                0.88717,             0.00092516,             0.00092516,             0.00092516
                     24,                 0.7105,                0.58193,                0.82561,                 0.5388,                0.63074,                0.51953,                 0.4028,                 1.1239,                 1.9006,                0.89108,             0.00090969,             0.00090969,             0.00090969
                     25,                0.67379,                 0.5571,                0.82691,                0.41435,                0.61516,                0.41677,                0.31645,                 1.1063,                 1.7531,                0.87884,             0.00089422,             0.00089422,             0.00089422
                     26,                0.68521,                0.56536,                0.83839,                0.46141,                0.56195,                0.46703,                0.35366,                 1.0686,                 1.7359,                0.87369,             0.00087875,             0.00087875,             0.00087875
                     27,                0.71514,                0.56718,                0.81031,                0.48703,                0.42479,                0.41363,                  0.329,                 1.0789,                 1.6845,                0.87561,             0.00086328,             0.00086328,             0.00086328
                     28,                0.65047,                 0.5107,                0.81393,                 0.5411,                0.64949,                0.54376,                 0.4209,                 1.0948,                 1.7086,                0.88574,             0.00084781,             0.00084781,             0.00084781
                     29,                0.63682,                0.49079,                0.81137,                0.53444,                 0.6121,                0.54635,                0.43147,                 1.1009,                 1.7018,                0.87825,             0.00083234,             0.00083234,             0.00083234
                     30,                0.64323,                0.48134,                0.81262,                0.52166,                0.63616,                0.53241,                 0.4392,                 1.0396,                 1.6687,                0.87429,             0.00081688,             0.00081688,             0.00081688
                     31,                0.64365,                0.50988,                0.80691,                0.54073,                 0.5943,                0.51749,                0.40916,                 1.0686,                 1.5464,                0.87809,             0.00080141,             0.00080141,             0.00080141
                     32,                0.62738,                0.48098,                0.78361,                0.55341,                0.63114,                0.55577,                0.44488,                 1.0579,                 1.8569,                0.87747,             0.00078594,             0.00078594,             0.00078594
                     33,                0.60201,                0.46502,                0.78616,                0.53359,                0.58686,                0.54275,                 0.4244,                 1.0464,                 1.6859,                0.87192,             0.00077047,             0.00077047,             0.00077047
                     34,                0.61681,                0.51253,                0.81103,                0.51232,                0.51892,                0.52473,                0.41659,                 1.0491,                 1.7181,                 0.8788,               0.000755,               0.000755,               0.000755
                     35,                0.64183,                0.46602,                0.81512,                0.49502,                0.61476,                0.48762,                 0.3902,                 1.0404,                 1.8766,                0.88243,             0.00073953,             0.00073953,             0.00073953
                     36,                0.60122,                0.45506,                0.80977,                0.48905,                0.51846,                0.45949,                0.36586,                 1.0725,                 1.7544,                0.87512,             0.00072406,             0.00072406,             0.00072406
                     37,                0.61366,                0.44928,                0.81027,                0.56298,                0.60808,                0.53637,                0.42847,                0.99069,                 1.6032,                 0.8626,             0.00070859,             0.00070859,             0.00070859
                     38,                0.61538,                0.43037,                0.80048,                0.61393,                0.62816,                0.58119,                0.46053,                 1.0244,                  1.609,                0.86741,             0.00069313,             0.00069313,             0.00069313
