                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8938,                 4.8205,                0.86564,                0.80802,                 10.898,                0.78642,                0.35407,                0.21233,                0.27616,                0.19959,                 1.2018,                 2.8127,                0.99944,                 1.2974,                 4.1387,                 1.0047,             0.00041585,             0.00041585,             0.00041585
                      2,                0.99054,                 2.3077,                0.91127,                0.91069,                 2.7118,                0.83912,                0.46419,                0.30027,                0.34581,                 0.2199,                 1.4697,                  2.624,                 1.1305,                 1.5885,                 2.6894,                 1.0924,             0.00081604,             0.00081604,             0.00081604
                      3,                 1.0292,                 2.0249,                0.93051,                0.97427,                 1.9283,                0.86311,                0.38979,                0.33131,                0.33493,                 0.2389,                 1.4131,                 2.0903,                 1.1211,                 1.4831,                 2.3343,                 1.1298,              0.0011997,              0.0011997,              0.0011997
                      4,                 1.1135,                 1.9458,                0.94821,                 1.0579,                  1.771,                0.86982,                0.43394,                0.39542,                0.34087,                0.20398,                 1.6245,                 2.2899,                 1.2276,                 1.6713,                 2.7381,                 1.2334,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0326,                  1.872,                0.94364,                0.95846,                 1.8513,                0.87891,                0.27554,                 0.3091,                0.30969,                0.21437,                 1.4435,                   2.31,                 1.1485,                  1.584,                 2.6698,                 1.1692,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.0143,                 1.6259,                0.94182,                 0.9376,                 1.5591,                 0.8665,                0.32677,                0.34385,                 0.3053,                0.21969,                 1.3604,                  2.049,                 1.1124,                 1.4711,                 2.2832,                 1.1158,               0.001151,               0.001151,               0.001151
                      7,                0.93773,                 1.5976,                 0.9466,                 0.9863,                 1.4455,                0.90122,                0.55401,                0.36149,                0.35724,                0.25254,                 1.2514,                 2.0951,                 1.0909,                 1.3753,                  2.192,                  1.094,              0.0011263,              0.0011263,              0.0011263
                      8,                0.91538,                 1.5607,                0.89278,                0.91467,                  1.347,                0.83624,                0.40494,                0.41131,                0.38551,                0.25751,                  1.324,                 2.0071,                 1.0996,                 1.5082,                 2.0982,                 1.1248,              0.0011015,              0.0011015,              0.0011015
                      9,                 0.8715,                 1.4579,                0.88767,                0.88046,                 1.2769,                0.84046,                0.51553,                0.43394,                0.45602,                0.30935,                 1.3128,                 1.8601,                 1.1062,                 1.3644,                 1.9226,                 1.1191,              0.0010768,              0.0010768,              0.0010768
                     10,                0.95936,                 1.4912,                0.94372,                 0.9478,                 1.3187,                0.89342,                0.41793,                0.41924,                0.40339,                0.27377,                 1.3287,                 1.9159,                 1.1272,                 1.4481,                 1.9121,                  1.146,               0.001052,               0.001052,               0.001052
                     11,                0.83917,                 1.3326,                0.88496,                0.83402,                 1.1555,                0.84414,                0.45169,                 0.4305,                0.43125,                0.30576,                 1.2796,                 1.9374,                 1.0917,                 1.3705,                 2.0684,                 1.0835,              0.0010273,              0.0010273,              0.0010273
                     12,                0.79738,                 1.2831,                0.84666,                0.81101,                 1.0985,                0.82158,                 0.4501,                0.38916,                0.43747,                0.30919,                 1.2656,                 1.9403,                 1.0858,                 1.3927,                 1.9872,                  1.103,              0.0010025,              0.0010025,              0.0010025
                     13,                0.76291,                 1.2977,                0.87557,                0.76431,                 1.1599,                0.84059,                  0.628,                0.41177,                0.47425,                 0.3487,                 1.2165,                 1.7557,                 1.0574,                 1.2338,                  1.809,                 1.0224,             0.00097775,             0.00097775,             0.00097775
                     14,                 0.7741,                 1.2181,                0.84282,                0.80222,                 1.0515,                0.80696,                0.61573,                0.39017,                0.46533,                0.33239,                 1.3034,                 1.9445,                 1.0842,                 1.3058,                 1.8893,                  1.064,               0.000953,               0.000953,               0.000953
                     15,                0.70086,                  1.248,                0.84178,                0.75084,                  1.085,                 0.8077,                0.68063,                0.39095,                0.48517,                0.34891,                 1.1727,                 1.8256,                 1.0477,                 1.2439,                 1.7777,                 1.0271,             0.00092825,             0.00092825,             0.00092825
                     16,                0.71467,                  1.185,                0.85554,                0.72488,                0.99523,                0.82357,                0.59221,                0.51307,                0.52448,                0.38314,                 1.2025,                 1.7523,                 1.0503,                 1.2566,                 1.7542,                 1.0538,              0.0009035,              0.0009035,              0.0009035
                     17,                0.70149,                 1.1816,                0.83421,                0.69889,                0.98897,                0.79486,                0.63048,                0.43251,                0.49591,                0.36534,                 1.2353,                 1.9918,                  1.049,                 1.2319,                 2.1531,                 1.0276,             0.00087875,             0.00087875,             0.00087875
