epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,846.821,1.02653,14.5599,1.00927,0.00083,0.46212,0.11999,0.07336,1.0478,10.1969,1.05542,0.000549352,0.000549352,0.000549352
2,1667.31,1.14322,12.2966,1.05872,0.58891,0.34721,0.48492,0.36623,1.2119,9.90845,1.19013,0.00103209,0.00103209,0.00103209
3,2475.33,1.09186,13.2531,1.06672,0.30664,0.56818,0.30334,0.17092,1.49446,11.2292,1.26229,0.00144148,0.00144148,0.00144148
4,3296.32,1.17428,13.1968,1.07131,0.23871,0.62121,0.37306,0.21934,1.46296,9.82968,1.33684,0.00133693,0.00133693,0.00133693
5,4084.03,1.03669,11.5188,1.07842,0.42499,0.4697,0.43175,0.28079,1.4237,9.15344,1.33441,0.00122691,0.00122691,0.00122691
6,4822.13,1.06005,11.6818,1.10571,0.63667,0.40152,0.4938,0.32332,1.23042,7.65705,1.22297,0.00111689,0.00111689,0.00111689
7,5567.03,0.90028,10.5536,1.06588,0.47882,0.57576,0.50823,0.34917,1.2732,7.15109,1.29395,0.00100687,0.00100687,0.00100687
8,6302.02,0.88906,9.35205,1.03626,0.66287,0.57576,0.58855,0.38069,1.14339,7.00952,1.17824,0.000896846,0.000896846,0.000896846
9,7044.51,0.8301,9.28603,1.01102,0.68872,0.64788,0.63017,0.39931,1.22303,6.42179,1.21575,0.000786824,0.000786824,0.000786824
10,7788.43,0.79346,7.65868,0.97217,0.73965,0.59091,0.60314,0.40072,1.19583,5.77861,1.21445,0.000676802,0.000676802,0.000676802
11,8553.91,0.75251,7.41362,0.96752,0.44132,0.63636,0.54507,0.39422,1.14075,5.86806,1.20022,0.00056678,0.00056678,0.00056678
12,9293.68,0.6994,7.45293,0.93638,0.82697,0.37879,0.53082,0.38939,1.12825,5.53953,1.18802,0.000456758,0.000456758,0.000456758
13,10041.6,0.61564,6.54936,0.9045,0.87846,0.40152,0.56573,0.41994,1.10398,5.19369,1.17615,0.000346736,0.000346736,0.000346736
14,10778.3,0.58246,5.97311,0.88902,0.4742,0.81348,0.60976,0.44624,1.13037,5.11375,1.18175,0.000236714,0.000236714,0.000236714
15,11504.7,0.52375,5.90909,0.87023,0.44724,0.72249,0.60405,0.44544,1.11036,5.17049,1.17982,0.000126692,0.000126692,0.000126692
