                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93743,                 9.7518,                0.91065,                      0,                      0,                      0,                      0,                0.84691,                 7.9414,                0.86742,             0.00027364,             0.00027364,             0.00027364
                      2,                0.89617,                 7.8437,                0.89876,                 0.2551,                0.00821,                0.13005,                 0.1148,                0.88331,                 6.5785,                0.91485,             0.00054676,             0.00054676,             0.00054676
                      3,                0.85453,                 6.5378,                0.90295,                 0.1978,                0.12175,                 0.1664,                0.13313,                 0.8505,                 5.7393,                0.91893,              0.0008153,              0.0008153,              0.0008153
                      4,                0.87369,                 5.6483,                0.91392,                0.32683,                 0.1394,                0.24027,                0.17665,                0.86197,                 5.4837,                0.93936,             0.00081238,             0.00081238,             0.00081238
                      5,                0.85356,                 5.2921,                0.92848,                0.39264,                0.20244,                0.29459,                0.24187,                0.89047,                 4.7015,                0.94512,             0.00081238,             0.00081238,             0.00081238
                      6,                0.82587,                 4.8025,                0.90591,                0.40095,                 0.2713,                0.32416,                0.25648,                0.84889,                 4.3168,                0.94109,             0.00080551,             0.00080551,             0.00080551
                      7,                0.82916,                 4.1131,                 0.9251,                0.49687,                0.40879,                0.46934,                0.37298,                0.85486,                 3.8051,                0.96127,             0.00079864,             0.00079864,             0.00079864
                      8,                 0.8336,                  3.485,                0.92588,                0.53543,                0.42559,                0.50292,                0.40753,                0.84662,                 3.4897,                0.94252,             0.00079177,             0.00079177,             0.00079177
                      9,                0.81147,                 3.2058,                0.91721,                0.68253,                0.44146,                 0.5689,                0.48161,                0.83116,                 3.1329,                0.94954,             0.00078489,             0.00078489,             0.00078489
                     10,                0.79822,                  2.802,                 0.9188,                0.62043,                0.45264,                 0.5706,                0.47152,                0.81522,                 2.8981,                0.96338,             0.00077802,             0.00077802,             0.00077802
                     11,                0.77705,                 2.5136,                0.90599,                0.58681,                0.49391,                0.57446,                0.46597,                0.84955,                 2.6694,                0.98793,             0.00077115,             0.00077115,             0.00077115
                     12,                0.76974,                 2.2416,                 0.9028,                0.73456,                0.49505,                0.62803,                0.51895,                0.81988,                 2.4356,                0.95829,             0.00076428,             0.00076428,             0.00076428
                     13,                 0.7613,                  1.964,                0.89599,                0.63569,                0.50032,                0.60094,                0.49487,                0.83601,                  2.267,                0.98092,             0.00075741,             0.00075741,             0.00075741
                     14,                0.78088,                 1.8721,                0.90817,                0.66499,                0.51588,                 0.6093,                0.51159,                 0.8257,                 2.1201,                0.98144,             0.00075053,             0.00075053,             0.00075053
                     15,                0.78111,                 1.7171,                0.88929,                0.71139,                0.56075,                0.65783,                0.54338,                0.82592,                 1.9295,                0.95971,             0.00074366,             0.00074366,             0.00074366
                     16,                0.72711,                 1.5414,                0.89943,                0.68262,                0.51762,                0.61587,                0.51046,                0.82143,                 1.9349,                0.96867,             0.00073679,             0.00073679,             0.00073679
                     17,                0.76034,                 1.4885,                0.89544,                0.71143,                0.54008,                0.64053,                0.53615,                0.83574,                 1.7772,                0.98384,             0.00072992,             0.00072992,             0.00072992
                     18,                0.73391,                 1.4009,                0.88937,                0.75105,                0.54969,                0.67178,                 0.5543,                0.82373,                 1.6967,                 0.9878,             0.00072304,             0.00072304,             0.00072304
                     19,                0.73916,                 1.3345,                0.89441,                 0.6895,                0.61301,                0.68317,                0.54974,                0.81315,                 1.4781,                0.97848,             0.00071617,             0.00071617,             0.00071617
                     20,                0.75383,                 1.2333,                 0.9046,                0.67498,                0.62432,                0.66707,                0.53014,                0.84518,                 1.5332,                0.98951,              0.0007093,              0.0007093,              0.0007093
                     21,                0.73533,                 1.1387,                0.89767,                0.71366,                0.65361,                 0.6962,                0.56908,                0.82142,                 1.3609,                0.97744,             0.00070243,             0.00070243,             0.00070243
                     22,                 0.7656,                 1.0643,                0.90068,                0.75689,                0.58349,                0.68012,                0.56559,                0.83339,                 1.3616,                0.97613,             0.00069556,             0.00069556,             0.00069556
                     23,                 0.7225,                 1.0265,                0.88741,                0.75096,                0.57944,                0.66914,                0.55377,                0.83054,                 1.4152,                0.97791,             0.00068868,             0.00068868,             0.00068868
                     24,                0.71745,                0.97348,                0.88334,                  0.717,                0.63649,                0.68558,                0.55989,                0.82472,                 1.2943,                0.97263,             0.00068181,             0.00068181,             0.00068181
                     25,                0.71042,                0.93907,                0.87802,                0.73424,                0.61689,                0.69163,                0.56415,                0.82559,                 1.2316,                0.98965,             0.00067494,             0.00067494,             0.00067494
