                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0079,                 14.378,                0.92138,                0.92577,                 46.427,                0.82551,                0.27446,                0.18099,                0.14133,                 0.1002,                 1.0367,                 9.6546,                0.95618,                 1.0296,                 35.732,                0.93718,             0.00027716,             0.00027716,             0.00027716
                      2,                 1.0379,                 11.226,                0.94614,                0.96604,                   40.4,                0.88159,                0.47005,                0.23078,                0.15683,                0.10418,                 1.0523,                 8.6289,                 0.9875,                 1.0807,                 31.357,                0.98345,             0.00053652,             0.00053652,             0.00053652
                      3,                0.97375,                 9.4313,                0.94761,                0.92992,                 33.872,                0.89217,                0.43604,                0.13795,                0.16071,                 0.1166,                  1.051,                 7.3471,                 1.0295,                 1.0544,                 26.961,                0.98185,             0.00077755,             0.00077755,             0.00077755
                      4,                0.96764,                 8.2559,                0.96028,                0.92666,                 29.759,                 0.9076,                0.47668,                 0.2701,                0.19874,                0.14005,                 1.0147,                 6.3799,                  1.015,                 1.0549,                 23.543,                0.99371,             0.00075053,             0.00075053,             0.00075053
                      5,                0.93275,                 6.7534,                0.97342,                0.93481,                 25.653,                0.91823,                0.54228,                 0.3109,                0.24952,                0.17595,                0.98273,                 5.7481,                  1.009,                 1.0495,                 19.934,                0.97433,             0.00075053,             0.00075053,             0.00075053
                      6,                0.88201,                 5.8781,                0.94054,                0.88571,                 21.666,                0.88909,                0.61949,                0.31464,                0.31481,                0.23063,                 1.0605,                 4.9699,                 1.0601,                 1.0448,                 17.163,                 1.0164,             0.00072304,             0.00072304,             0.00072304
                      7,                 0.8909,                  5.534,                0.93044,                0.89094,                 18.511,                 0.8828,                0.43735,                 0.3404,                0.30186,                 0.2215,                 1.0116,                 4.4363,                 1.0238,                 1.0454,                 14.863,                0.99335,             0.00069556,             0.00069556,             0.00069556
                      8,                0.86747,                 4.7501,                0.92706,                0.86157,                 16.394,                0.87683,                 0.4862,                0.41194,                0.36946,                0.26294,                 1.0092,                 3.9651,                 1.0434,                 1.0595,                 13.028,                0.99684,             0.00066807,             0.00066807,             0.00066807
                      9,                0.87307,                 4.2473,                0.96572,                0.88104,                 14.491,                0.90273,                0.68381,                0.39616,                0.40759,                0.30435,                0.94485,                 3.5147,                0.99191,                0.99637,                 11.331,                 0.9715,             0.00064058,             0.00064058,             0.00064058
                     10,                0.80877,                 3.6833,                0.92175,                0.83344,                  12.35,                 0.8791,                 0.6742,                0.39552,                 0.4177,                0.30637,                0.98813,                 3.2149,                 1.0107,                 1.0471,                 9.9645,                 1.0001,             0.00061309,             0.00061309,             0.00061309
                     11,                 0.8501,                 3.2896,                0.93169,                0.85153,                 10.749,                0.88564,                 0.6538,                0.43652,                0.48159,                0.34306,                0.96435,                 2.7797,                 1.0243,                 1.0416,                 8.7548,                0.98537,              0.0005856,              0.0005856,              0.0005856
