                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89338,                 6.4016,                 0.9252,                0.51448,                   0.24,                0.38279,                0.30613,                0.97683,                 2.6573,                 1.0478,             0.00027716,             0.00027716,             0.00027716
                      2,                0.92396,                 2.5516,                0.99611,                0.57254,                0.36113,                0.47695,                0.36614,                 1.0245,                 2.1971,                 1.0657,             0.00054796,             0.00054796,             0.00054796
                      3,                0.94685,                 1.7762,                 1.0149,                0.75389,                0.49069,                 0.6491,                0.50434,                 1.0815,                  1.791,                 1.1265,             0.00081189,             0.00081189,             0.00081189
                      4,                0.95367,                  1.524,                 1.0305,                0.72333,                 0.4819,                0.62426,                0.50175,                 1.0561,                 1.4657,                 1.1169,             0.00080207,             0.00080207,             0.00080207
                      5,                 0.8817,                 1.2608,                 1.0273,                0.82306,                0.52413,                0.67825,                0.54878,                0.99582,                 1.2071,                  1.108,             0.00080207,             0.00080207,             0.00080207
                      6,                0.87255,                 1.0573,                 1.0124,                0.76167,                0.48713,                0.64188,                0.52472,                 1.0384,                  1.371,                 1.1523,             0.00079177,             0.00079177,             0.00079177
                      7,                0.88905,                 1.0087,                0.99969,                0.77048,                0.57334,                0.68495,                0.54599,                  1.019,                 1.1479,                   1.11,             0.00078146,             0.00078146,             0.00078146
                      8,                0.86895,                0.88408,                0.99063,                0.72698,                0.55487,                 0.6665,                0.54668,                 1.0041,                 1.1063,                  1.129,             0.00077115,             0.00077115,             0.00077115
                      9,                0.88321,                0.90012,                 1.0194,                0.70475,                0.56097,                0.64422,                 0.5151,                 1.0001,                 1.1369,                 1.1132,             0.00076084,             0.00076084,             0.00076084
                     10,                0.82286,                0.81277,                0.99446,                0.77622,                0.61143,                0.70028,                 0.5706,                0.95389,                 1.0743,                 1.0891,             0.00075053,             0.00075053,             0.00075053
                     11,                0.86065,                0.76413,                0.99473,                0.76383,                0.60768,                0.70709,                0.55879,                 1.0402,                 1.0421,                 1.1468,             0.00074022,             0.00074022,             0.00074022
                     12,                0.82481,                0.78471,                0.97614,                0.76355,                 0.5756,                0.68345,                0.53119,                  1.031,                 1.0488,                 1.1159,             0.00072992,             0.00072992,             0.00072992
                     13,                0.80753,                0.76384,                0.98209,                0.77073,                0.59712,                0.69857,                 0.5702,                0.96742,                  1.022,                 1.0899,             0.00071961,             0.00071961,             0.00071961
                     14,                0.82078,                0.72973,                0.97437,                0.76976,                0.61956,                0.71048,                0.58318,                0.95679,                 1.0068,                 1.1033,              0.0007093,              0.0007093,              0.0007093
                     15,                0.85089,                0.78873,                0.98086,                0.77212,                0.59866,                0.69621,                0.56836,                0.95915,                0.96364,                 1.1027,             0.00069899,             0.00069899,             0.00069899
                     16,                0.78559,                0.69316,                0.96695,                0.77222,                0.59213,                0.68822,                0.55726,                 1.0112,                 1.0144,                 1.1274,             0.00068868,             0.00068868,             0.00068868
                     17,                0.76282,                0.65475,                0.93442,                0.78118,                0.66841,                0.74035,                0.60197,                0.95379,                0.89437,                 1.0897,             0.00067837,             0.00067837,             0.00067837
                     18,                0.75303,                0.62951,                0.94837,                0.79607,                0.59878,                0.69686,                0.55089,                0.99422,                 1.0327,                 1.1024,             0.00066807,             0.00066807,             0.00066807
                     19,                0.74461,                 0.6071,                 0.9411,                0.78747,                0.64036,                0.71901,                0.58011,                 1.0042,                0.92364,                 1.1254,             0.00065776,             0.00065776,             0.00065776
                     20,                0.73226,                 0.5972,                0.94351,                0.75753,                0.55555,                0.66999,                0.54144,                0.96897,                 1.0637,                 1.0889,             0.00064745,             0.00064745,             0.00064745
                     21,                0.73577,                0.64088,                0.92904,                0.77733,                0.58952,                0.70247,                0.56826,                 1.0021,                 1.0337,                 1.0932,             0.00063714,             0.00063714,             0.00063714
                     22,                0.72401,                0.57496,                0.91743,                0.77711,                0.62274,                0.71016,                0.58093,                0.94125,                0.96419,                 1.0911,             0.00062683,             0.00062683,             0.00062683
                     23,                0.72437,                0.57813,                0.91855,                0.78994,                0.64357,                0.72538,                0.57996,                 0.9899,                0.94032,                 1.1015,             0.00061652,             0.00061652,             0.00061652
                     24,                0.71419,                0.55431,                0.91094,                0.80492,                0.63847,                0.72983,                0.58388,                0.95726,                0.90604,                 1.0785,             0.00060622,             0.00060622,             0.00060622
                     25,                0.69304,                0.54734,                 0.9092,                0.81573,                0.63784,                0.73143,                0.58619,                0.93729,                0.92046,                 1.0787,             0.00059591,             0.00059591,             0.00059591
                     26,                0.68434,                0.54434,                0.90768,                0.78271,                0.66392,                0.73605,                0.59305,                0.92272,                0.84154,                 1.0616,              0.0005856,              0.0005856,              0.0005856
                     27,                0.66054,                0.50837,                0.88727,                0.79604,                0.61194,                  0.703,                0.57533,                0.94719,                0.98193,                 1.1063,             0.00057529,             0.00057529,             0.00057529
                     28,                0.68295,                 0.5412,                0.91009,                0.80047,                0.67693,                0.74779,                0.61079,                0.93933,                 0.8422,                 1.0764,             0.00056498,             0.00056498,             0.00056498
                     29,                0.64861,                0.49933,                0.89601,                0.77744,                0.64687,                 0.7253,                0.59102,                0.91292,                0.87053,                 1.0832,             0.00055467,             0.00055467,             0.00055467
                     30,                0.65245,                0.49161,                0.90322,                0.79218,                0.63566,                0.72339,                0.58766,                0.93261,                 0.9127,                 1.0779,             0.00054437,             0.00054437,             0.00054437
                     31,                0.65253,                0.49044,                0.89957,                0.73149,                0.64344,                0.71603,                 0.5727,                0.96709,                0.90554,                 1.0966,             0.00053406,             0.00053406,             0.00053406
                     32,                0.65383,                0.48081,                  0.897,                0.78165,                0.65065,                0.72645,                0.59066,                0.92167,                0.96125,                 1.0601,             0.00052375,             0.00052375,             0.00052375
                     33,                0.66905,                  0.479,                0.89846,                0.79168,                0.70179,                0.75413,                0.59609,                0.93932,                0.85441,                 1.0784,             0.00051344,             0.00051344,             0.00051344
