                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1571,                 20.811,                0.32439,                0.44361,                0.18918,                0.02139,                 0.0148,                0.28583,                 1.8206,                0.04273,             0.00027716,             0.00027716,             0.00027716
                      2,                0.33086,                 1.1861,                0.04843,                0.51491,                0.19181,                0.07414,                 0.0535,                0.30805,                  1.198,                0.03117,             0.00054796,             0.00054796,             0.00054796
                      3,                0.31496,                 1.0929,                0.03541,                 0.5174,                 0.2279,                0.08774,                0.06577,                0.28264,                 1.1865,                0.03349,             0.00081189,             0.00081189,             0.00081189
                      4,                0.31752,                 1.0163,                0.03776,                0.60007,                 0.2472,                0.18566,                0.13961,                0.28335,                 1.0827,                 0.0332,             0.00080207,             0.00080207,             0.00080207
                      5,                 0.2611,                0.92017,                 0.0305,                0.44326,                0.40166,                0.40004,                0.30882,                0.27789,                0.90188,                0.02979,             0.00080207,             0.00080207,             0.00080207
                      6,                0.25923,                0.78822,                0.02985,                0.73413,                0.49649,                0.50461,                0.40428,                0.26562,                0.83195,                0.03092,             0.00079177,             0.00079177,             0.00079177
                      7,                0.27206,                0.73197,                0.03326,                 0.7702,                0.55623,                0.51187,                 0.3892,                0.28063,                0.76447,                0.03255,             0.00078146,             0.00078146,             0.00078146
                      8,                0.25847,                0.68319,                0.03022,                0.76262,                0.56043,                0.52188,                0.39493,                0.30189,                0.90945,                0.03663,             0.00077115,             0.00077115,             0.00077115
                      9,                 0.2814,                0.63929,                0.03423,                0.71406,                0.63324,                0.65268,                 0.5192,                0.26805,                0.66098,                0.03279,             0.00076084,             0.00076084,             0.00076084
                     10,                 0.2613,                0.58167,                0.02835,                0.74963,                0.62451,                0.63447,                0.50065,                0.24807,                0.70071,                0.02706,             0.00075053,             0.00075053,             0.00075053
                     11,                0.24758,                0.54146,                0.02713,                0.87551,                0.65569,                0.67989,                0.54302,                0.24557,                0.65759,                0.02952,             0.00074022,             0.00074022,             0.00074022
                     12,                0.25173,                0.55138,                0.03215,                0.74729,                0.64221,                0.65535,                0.51235,                0.25439,                0.69196,                0.02906,             0.00072992,             0.00072992,             0.00072992
                     13,                0.24094,                0.61696,                0.02468,                0.68135,                0.64623,                0.62748,                0.49756,                0.26352,                0.72579,                 0.0322,             0.00071961,             0.00071961,             0.00071961
                     14,                0.23368,                0.57973,                0.02337,                0.68249,                0.63896,                0.65636,                0.49766,                0.26535,                0.70913,                0.02976,              0.0007093,              0.0007093,              0.0007093
                     15,                0.26998,                0.55825,                0.03743,                0.71999,                0.66826,                0.68051,                0.52743,                0.28686,                0.67244,                0.03713,             0.00069899,             0.00069899,             0.00069899
                     16,                0.25136,                0.48485,                0.02978,                0.70716,                0.67958,                0.68422,                0.53618,                0.26609,                0.65442,                0.03133,             0.00068868,             0.00068868,             0.00068868
                     17,                0.21879,                0.42108,                0.02273,                0.64343,                0.57232,                0.59634,                0.47877,                 0.2954,                0.83099,                0.04001,             0.00067837,             0.00067837,             0.00067837
                     18,                 0.2204,                0.47753,                0.02447,                0.56586,                  0.529,                0.52018,                0.41409,                0.33592,                 1.0213,                0.07757,             0.00066807,             0.00066807,             0.00066807
                     19,                0.22018,                0.45209,                 0.0228,                0.70692,                0.61782,                0.62076,                 0.5025,                0.31147,                0.65306,                0.04522,             0.00065776,             0.00065776,             0.00065776
                     20,                0.20393,                0.40699,                0.02084,                0.68407,                0.54208,                0.54775,                0.42652,                0.34207,                0.95816,                0.07814,             0.00064745,             0.00064745,             0.00064745
                     21,                0.21146,                0.42861,                0.02116,                0.62131,                0.54033,                0.54829,                0.42876,                0.35104,                 0.8732,                0.08685,             0.00063714,             0.00063714,             0.00063714
                     22,                0.21343,                0.42796,                0.01962,                0.62324,                0.47772,                0.47858,                0.37312,                0.38297,                0.92253,                0.09759,             0.00062683,             0.00062683,             0.00062683
                     23,                0.21232,                0.41364,                0.01994,                0.78693,                0.48343,                0.50441,                0.38252,                0.34887,                  1.188,                0.06499,             0.00061652,             0.00061652,             0.00061652
                     24,                0.21539,                0.41373,                0.02295,                0.84527,                0.57072,                0.59879,                0.46799,                0.33794,                0.79644,                0.07823,             0.00060622,             0.00060622,             0.00060622
