epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.642,1.59177,30.7832,1.64308,0.61285,0.47186,0.59842,0.49719,1.35579,2.5258,1.61586,3.83248e-05,3.83248e-05,3.83248e-05
2,213.255,1.70812,14.6155,1.62747,0.91046,0.79232,0.92196,0.72158,1.54726,1.09893,1.61798,6.997e-05,6.997e-05,6.997e-05
3,277.084,1.6983,9.77632,1.63056,0.91322,0.86561,0.94633,0.71806,1.62277,0.94749,1.62091,9.38271e-05,9.38271e-05,9.38271e-05
4,349.931,1.76392,7.62019,1.64256,0.89272,0.83983,0.91547,0.72393,1.59377,1.06853,1.60986,8.2954e-05,8.2954e-05,8.2954e-05
5,424.375,1.72031,6.31993,1.63636,0.88803,0.84416,0.90325,0.72117,1.50696,1.16996,1.61531,7.1272e-05,7.1272e-05,7.1272e-05
6,495.69,1.58251,5.47271,1.6092,0.97927,0.81813,0.94088,0.76433,1.3936,0.87292,1.61716,5.959e-05,5.959e-05,5.959e-05
7,577.751,1.56048,4.74546,1.61655,0.95122,0.84419,0.95008,0.76096,1.35078,0.84368,1.61302,4.7908e-05,4.7908e-05,4.7908e-05
8,644.362,1.45582,4.20075,1.60487,0.95599,0.8463,0.94683,0.77898,1.33948,0.82892,1.6045,3.6226e-05,3.6226e-05,3.6226e-05
9,726.557,1.41907,3.97408,1.60245,0.97301,0.8355,0.95421,0.78653,1.33636,0.76742,1.60479,2.4544e-05,2.4544e-05,2.4544e-05
10,797.465,1.41511,3.71831,1.61645,0.93624,0.85714,0.95429,0.8023,1.29266,0.77885,1.60222,1.2862e-05,1.2862e-05,1.2862e-05
