epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.196,1.64443,67.9149,1.78063,0.3254,0.02918,0.17348,0.12247,2.24561,26.8192,1.91601,0.000415287,0.000415287,0.000415287
2,272.68,1.67055,60.0864,1.8787,0.17391,0.08394,0.12427,0.08543,2.33615,26.721,2.05309,0.000823717,0.000823717,0.000823717
3,358.907,1.76877,53.2015,1.95705,0.20307,0.07252,0.12675,0.09641,2.31851,22.2653,2.11626,0.0012239,0.0012239,0.0012239
4,444.793,1.74389,48.564,1.97615,0.19586,0.12053,0.14176,0.11093,2.2171,16.7395,2.08833,0.00121287,0.00121287,0.00121287
5,530.858,1.72204,42.5213,1.97546,0.15698,0.11227,0.11649,0.08185,2.37869,9.384,2.10131,0.0012005,0.0012005,0.0012005
6,616.733,1.61112,37.5909,1.94919,0.21901,0.11418,0.14377,0.1148,2.37136,5.61036,2.10521,0.00118812,0.00118812,0.00118812
7,703.042,1.62623,33.4862,1.97252,0.18364,0.20975,0.16186,0.12154,2.2944,5.10313,2.08401,0.00117575,0.00117575,0.00117575
8,788.282,1.50776,29.7539,1.89843,0.20957,0.17228,0.16807,0.12433,2.26322,4.25381,2.08855,0.00116337,0.00116337,0.00116337
9,874.3,1.61271,27.0082,1.94032,0.18815,0.18815,0.16848,0.12619,2.22381,4.36267,2.07782,0.001151,0.001151,0.001151
10,959.949,1.52574,24.291,1.86045,0.19794,0.19776,0.16056,0.12621,2.32948,4.5398,2.06548,0.00113863,0.00113863,0.00113863
11,1046.01,1.47145,20.3212,1.82912,0.22659,0.16804,0.1702,0.13566,2.21481,4.38364,2.06067,0.00112625,0.00112625,0.00112625
12,1132.31,1.45281,17.7314,1.90216,0.2285,0.14327,0.17784,0.14274,2.21885,4.17223,2.0549,0.00111388,0.00111388,0.00111388
13,1218.28,1.48456,17.2285,1.84536,0.20359,0.21608,0.18529,0.14074,2.28689,4.64607,2.06474,0.0011015,0.0011015,0.0011015
14,1304.17,1.4554,15.1043,1.82032,0.20996,0.23593,0.19194,0.14911,2.27277,4.73045,2.07347,0.00108913,0.00108913,0.00108913
15,1390.14,1.43457,13.215,1.85012,0.21964,0.18127,0.1862,0.14055,2.29902,4.0431,2.08018,0.00107675,0.00107675,0.00107675
16,1475.74,1.48425,11.7719,1.82238,0.26428,0.19036,0.19336,0.14564,2.2677,3.92005,2.07676,0.00106437,0.00106437,0.00106437
