                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80537,                 8.0763,                0.85376,                0.22364,                0.27086,                0.17873,                0.12821,                 1.1884,                 4.3205,                0.98326,             0.00041529,             0.00041529,             0.00041529
                      2,                0.88385,                 3.5787,                0.88944,                0.21368,                0.23476,                0.20343,                0.15952,                 1.1306,                 3.1475,                0.94357,             0.00082372,             0.00082372,             0.00082372
                      3,                 1.0563,                 2.9197,                0.97855,                0.11395,                0.16109,                0.11592,                0.08245,                 1.2575,                 3.8794,                 1.0432,              0.0012239,              0.0012239,              0.0012239
                      4,                0.98009,                 2.3414,                0.95722,                 0.1573,                0.22103,                0.16351,                0.12104,                 1.2439,                 2.6695,                 1.0061,              0.0012129,              0.0012129,              0.0012129
                      5,                0.99346,                 2.2148,                0.96338,                0.16967,                0.20045,                0.15236,                0.11819,                  1.187,                 2.2623,                0.98048,              0.0012129,              0.0012129,              0.0012129
                      6,                0.95825,                 1.6435,                0.93247,                0.30965,                0.16302,                0.23885,                0.16882,                 1.2481,                 2.0567,                 1.0061,              0.0012005,              0.0012005,              0.0012005
                      7,                0.94303,                 1.5266,                0.96932,                0.45347,                 0.2578,                0.19082,                0.14048,                 1.2496,                 2.8467,                 1.0509,              0.0011881,              0.0011881,              0.0011881
                      8,                0.90644,                 1.1923,                0.94201,                0.30917,                0.42151,                   0.29,                0.20963,                 1.2257,                  1.976,                 1.0174,              0.0011757,              0.0011757,              0.0011757
                      9,                0.97066,                 1.2357,                 0.9692,                0.47829,                0.31266,                0.34792,                0.26341,                 1.2636,                 1.9118,                 1.0406,              0.0011634,              0.0011634,              0.0011634
                     10,                0.85325,                 1.0288,                0.90358,                0.47591,                0.37151,                0.36462,                  0.286,                 1.1803,                 2.0214,                 1.0196,               0.001151,               0.001151,               0.001151
                     11,                 0.8306,                 1.0568,                0.90904,                0.30752,                0.38883,                0.28779,                0.21787,                 1.1856,                 2.1045,                 1.0163,              0.0011386,              0.0011386,              0.0011386
                     12,                0.78779,                0.97934,                0.92591,                0.29561,                0.31511,                0.25719,                0.20817,                 1.1104,                 1.8723,                0.98554,              0.0011263,              0.0011263,              0.0011263
                     13,                 0.7887,                0.90225,                0.88118,                0.32717,                0.43247,                0.31159,                0.23659,                 1.1387,                 2.0815,                0.99834,              0.0011139,              0.0011139,              0.0011139
                     14,                0.75707,                0.85363,                0.87296,                0.33252,                0.41574,                0.30591,                0.24069,                 1.0838,                 1.7829,                0.98276,              0.0011015,              0.0011015,              0.0011015
                     15,                0.73399,                0.81732,                0.86542,                0.33867,                0.41917,                0.30727,                0.23551,                 1.0925,                 1.8398,                0.97932,              0.0010891,              0.0010891,              0.0010891
                     16,                0.78898,                0.86585,                0.89852,                0.31795,                0.37415,                0.28173,                0.22237,                 1.0857,                 1.8077,                0.97105,              0.0010768,              0.0010768,              0.0010768
                     17,                0.75091,                0.89018,                0.86313,                0.34395,                0.41326,                0.29784,                0.23743,                 1.1278,                 2.2882,                0.98511,              0.0010644,              0.0010644,              0.0010644
                     18,                 0.7307,                0.79819,                0.88061,                0.38441,                0.39514,                0.30879,                0.25056,                 1.1022,                 1.9484,                0.97288,               0.001052,               0.001052,               0.001052
                     19,                0.70168,                0.78421,                0.86365,                 0.3202,                0.46834,                0.31996,                0.25396,                  1.058,                 1.9325,                0.97763,              0.0010396,              0.0010396,              0.0010396
                     20,                0.77135,                 0.7858,                0.89046,                0.31749,                0.37436,                 0.2833,                 0.2242,                 1.0749,                 2.0943,                0.97585,              0.0010273,              0.0010273,              0.0010273
                     21,                0.70043,                0.75687,                0.86003,                0.33394,                 0.4541,                 0.3281,                 0.2554,                 1.1077,                 1.7951,                0.98342,              0.0010149,              0.0010149,              0.0010149
                     22,                0.66702,                0.65726,                0.83871,                 0.2945,                0.41823,                0.30799,                0.23979,                 1.0689,                 1.9274,                0.96995,              0.0010025,              0.0010025,              0.0010025
                     23,                0.70534,                 0.7153,                0.85186,                0.41924,                0.39948,                0.34303,                 0.2662,                 1.0626,                 1.8358,                0.96249,             0.00099013,             0.00099013,             0.00099013
                     24,                0.71851,                0.70575,                0.86425,                0.40039,                0.50333,                0.39923,                0.30145,                 1.1035,                 2.1826,                0.98076,             0.00097775,             0.00097775,             0.00097775
                     25,                0.65992,                0.64457,                0.86281,                0.34658,                0.43377,                0.30869,                0.24321,                 1.0663,                 2.1929,                 0.9716,             0.00096537,             0.00096537,             0.00096537
                     26,                0.65444,                0.62493,                0.84327,                0.46952,                0.45398,                 0.4038,                0.32049,                 1.0815,                 1.9625,                0.97545,               0.000953,               0.000953,               0.000953
                     27,                0.70241,                0.62845,                0.85488,                0.43561,                0.47633,                0.40479,                0.31906,                 1.0882,                 1.9428,                0.98421,             0.00094062,             0.00094062,             0.00094062
                     28,                0.65628,                0.61295,                0.85168,                0.37663,                0.49684,                0.38488,                 0.2983,                 1.0904,                 1.7764,                 0.9805,             0.00092825,             0.00092825,             0.00092825
                     29,                0.63737,                0.60802,                0.83921,                0.41619,                 0.5254,                0.36768,                 0.2861,                 1.0845,                 2.0752,                0.95925,             0.00091588,             0.00091588,             0.00091588
                     30,                0.64797,                0.60905,                0.83258,                0.36464,                0.60815,                0.41677,                0.32379,                 1.0652,                 2.3294,                 0.9676,              0.0009035,              0.0009035,              0.0009035
                     31,                0.65153,                0.58689,                0.84977,                0.43012,                0.61639,                0.46618,                0.36181,                   1.16,                 2.0091,                0.98654,             0.00089112,             0.00089112,             0.00089112
                     32,                0.64196,                0.57911,                0.83254,                0.50455,                0.54331,                0.45414,                 0.3578,                 1.0669,                 1.9464,                0.97822,             0.00087875,             0.00087875,             0.00087875
                     33,                0.64805,                0.54057,                0.83889,                0.44329,                0.59226,                0.44445,                0.34828,                 1.0747,                  1.814,                0.98861,             0.00086637,             0.00086637,             0.00086637
                     34,                0.63806,                0.55745,                0.84611,                 0.4673,                0.55489,                0.45675,                0.36223,                 1.0603,                 1.9211,                 0.9765,               0.000854,               0.000854,               0.000854
                     35,                 0.6793,                0.54469,                0.84809,                 0.4022,                0.54348,                0.40742,                0.33278,                 1.0487,                 1.8915,                0.96824,             0.00084162,             0.00084162,             0.00084162
                     36,                0.60331,                0.50574,                0.83078,                0.52662,                0.45755,                0.44555,                0.35505,                 1.0702,                 2.0055,                0.97363,             0.00082925,             0.00082925,             0.00082925
                     37,                0.64564,                0.54303,                0.83797,                0.51391,                0.51444,                0.48793,                0.38628,                 1.0342,                 1.9015,                0.96527,             0.00081688,             0.00081688,             0.00081688
                     38,                0.61768,                0.50058,                0.83773,                0.52974,                 0.5428,                0.49606,                0.38673,                 1.0458,                 1.7958,                0.96456,              0.0008045,              0.0008045,              0.0008045
                     39,                0.59916,                0.48461,                 0.8339,                0.58965,                0.54938,                0.53321,                0.43045,                 1.0288,                 1.9308,                0.95873,             0.00079213,             0.00079213,             0.00079213
                     40,                0.59381,                0.52118,                0.83451,                0.55494,                0.51873,                0.48767,                0.38355,                 1.0229,                 1.9347,                0.96428,             0.00077975,             0.00077975,             0.00077975
                     41,                0.62157,                0.53817,                0.83612,                0.46048,                0.64842,                0.51268,                0.38141,                 1.0792,                 1.8266,                0.98383,             0.00076738,             0.00076738,             0.00076738
                     42,                0.59993,                0.53674,                 0.8382,                0.43441,                 0.5567,                0.44575,                0.34752,                 1.0692,                 1.8843,                0.98987,               0.000755,               0.000755,               0.000755
                     43,                0.55795,                0.50268,                0.82639,                 0.6269,                0.53919,                0.54061,                0.42298,                 1.0127,                 2.1893,                0.95924,             0.00074263,             0.00074263,             0.00074263
                     44,                0.55089,                0.48555,                0.79881,                0.52853,                0.54606,                0.49322,                0.39877,                 1.0173,                 2.0842,                 0.9551,             0.00073025,             0.00073025,             0.00073025
                     45,                0.57632,                0.51101,                0.81501,                0.56069,                 0.4902,                0.47323,                0.37913,                 1.0358,                  2.104,                0.95203,             0.00071788,             0.00071788,             0.00071788
                     46,                 0.5566,                 0.5146,                0.83422,                0.51667,                0.48115,                0.47012,                0.37198,                 1.0425,                 2.0741,                0.95318,              0.0007055,              0.0007055,              0.0007055
                     47,                0.52574,                0.44357,                0.80509,                0.59211,                0.48933,                0.48877,                 0.3833,                 1.0195,                 2.1553,                0.95685,             0.00069313,             0.00069313,             0.00069313
                     48,                0.54042,                0.45951,                0.82088,                0.45602,                0.56834,                0.41704,                0.32569,                  1.028,                 2.0009,                0.96559,             0.00068075,             0.00068075,             0.00068075
                     49,                0.55052,                0.46241,                0.81461,                0.49512,                0.55946,                0.49221,                0.39687,                 1.0317,                 2.1897,                0.96456,             0.00066838,             0.00066838,             0.00066838
                     50,                0.54131,                 0.4474,                0.81122,                0.57282,                0.58794,                0.52732,                0.43253,                 1.0044,                 2.1767,                0.94797,               0.000656,               0.000656,               0.000656
                     51,                0.52721,                0.44038,                0.79178,                0.53954,                0.57431,                0.50892,                0.41875,                0.98021,                 1.9058,                0.95065,             0.00064362,             0.00064362,             0.00064362
                     52,                0.52171,                0.42097,                0.80411,                0.55737,                0.53568,                0.49622,                0.41396,                 1.0358,                 2.1442,                 0.9545,             0.00063125,             0.00063125,             0.00063125
                     53,                0.50632,                0.42442,                0.81559,                 0.5869,                0.51598,                0.47603,                0.38473,                0.99122,                 1.7472,                0.94658,             0.00061887,             0.00061887,             0.00061887
                     54,                0.47103,                0.39725,                0.78697,                 0.5002,                0.58535,                0.48444,                0.38146,                 1.0028,                 1.7328,                0.96114,              0.0006065,              0.0006065,              0.0006065
                     55,                0.52929,                0.43522,                 0.8164,                0.47517,                0.56644,                0.48089,                0.37798,                 1.0338,                 2.0204,                0.96508,             0.00059413,             0.00059413,             0.00059413
                     56,                0.53471,                0.43351,                 0.8124,                0.50771,                 0.5522,                0.50081,                0.38783,                  1.005,                 1.9919,                0.95627,             0.00058175,             0.00058175,             0.00058175
                     57,                0.51974,                0.42769,                0.80144,                0.58372,                  0.531,                0.48687,                0.38455,                 1.0149,                 2.0286,                0.95445,             0.00056938,             0.00056938,             0.00056938
                     58,                0.51759,                 0.4102,                0.82163,                0.55965,                 0.5527,                0.49417,                0.40004,                0.99192,                  1.872,                0.94612,               0.000557,               0.000557,               0.000557
                     59,                0.49226,                0.39151,                0.79919,                0.51203,                0.48812,                 0.4528,                 0.3674,                 1.0229,                 1.9431,                0.95733,             0.00054463,             0.00054463,             0.00054463
                     60,                0.47453,                0.37965,                0.79317,                0.52551,                0.53786,                0.46541,                0.36378,                  0.987,                  2.523,                0.94943,             0.00053225,             0.00053225,             0.00053225
                     61,                0.45322,                0.36547,                0.79051,                0.43185,                0.60451,                0.47358,                0.38098,                 0.9817,                 1.9135,                0.93865,             0.00051988,             0.00051988,             0.00051988
                     62,                0.51218,                0.39574,                0.79239,                0.42023,                0.56852,                0.43537,                0.35231,                0.97909,                 1.8099,                0.94163,              0.0005075,              0.0005075,              0.0005075
                     63,                0.47352,                0.36554,                0.80479,                0.47873,                 0.5666,                0.46956,                0.37682,                0.95765,                  1.797,                0.94298,             0.00049513,             0.00049513,             0.00049513
