epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.522,1.69137,61.3949,1.85385,0.16186,0.09943,0.10595,0.08104,2.57949,5.87987,2.09339,0.000415287,0.000415287,0.000415287
2,340.475,2.12667,14.0333,2.23397,0.06185,0.0931,0.04889,0.03679,2.59643,15.4361,2.41009,0.000823717,0.000823717,0.000823717
3,452.222,2.61146,10.2852,2.58158,0.07272,0.03169,0.02605,0.01521,3.51303,381.552,2.83509,0.0012239,0.0012239,0.0012239
4,563.72,2.67587,10.6103,2.54703,0.31134,0.11737,0.0539,0.0291,3.41308,173.191,3.1682,0.00121287,0.00121287,0.00121287
5,675.629,2.98777,7.02535,2.71048,0.11007,0.07375,0.07787,0.05522,3.57025,7.46383,3.1804,0.0012005,0.0012005,0.0012005
6,786.84,2.36362,4.76363,2.32082,0.00268,0.04682,0.00156,0.00107,3.51039,51.9634,3.00957,0.00118812,0.00118812,0.00118812
7,899.187,2.24289,4.23033,2.33429,0.14378,0.10245,0.10378,0.07153,2.77892,4.98733,2.32234,0.00117575,0.00117575,0.00117575
8,1011.09,2.04426,3.3595,2.12813,0.15017,0.08168,0.10703,0.08031,2.94493,5.13884,2.35397,0.00116337,0.00116337,0.00116337
9,1122.48,2.04086,3.31197,2.16149,0.13267,0.05106,0.08347,0.06443,2.82975,4.82906,2.37176,0.001151,0.001151,0.001151
10,1233.11,1.9256,3.02083,2.08542,0.20227,0.0734,0.13043,0.10253,2.72584,4.7066,2.29408,0.00113863,0.00113863,0.00113863
11,1345.45,1.86993,2.95846,2.06065,0.35076,0.08675,0.20738,0.15077,2.58263,4.45367,2.23703,0.00112625,0.00112625,0.00112625
12,1458.53,1.86899,2.54143,2.11474,0.26674,0.15715,0.18987,0.1442,2.57964,4.08041,2.22573,0.00111388,0.00111388,0.00111388
13,1569.43,1.80539,2.25545,2.00545,0.23507,0.13495,0.15755,0.11085,2.65254,4.49894,2.24043,0.0011015,0.0011015,0.0011015
14,1680.58,1.74945,1.96377,1.95632,0.32916,0.24064,0.23306,0.16438,2.69704,4.52644,2.2163,0.00108913,0.00108913,0.00108913
15,1792.69,1.68937,1.90435,1.95977,0.28431,0.14042,0.19784,0.14586,nan,nan,nan,0.00107675,0.00107675,0.00107675
16,1904.39,1.6327,1.93135,1.93217,0.31171,0.20192,0.21448,0.16244,2.70337,4.46406,2.22937,0.00106437,0.00106437,0.00106437
17,2016.16,1.58623,1.97902,1.87848,0.22794,0.17135,0.16497,0.12248,2.5092,4.54485,2.15118,0.001052,0.001052,0.001052
18,2127.65,1.64969,1.94263,1.95189,0.23819,0.16467,0.17636,0.12024,2.62483,4.42041,2.21,0.00103962,0.00103962,0.00103962
19,2239.99,1.57915,1.95184,1.92093,0.43866,0.28556,0.32299,0.23882,2.55787,4.08185,2.19871,0.00102725,0.00102725,0.00102725
20,2352.95,1.65784,1.66588,1.91519,0.21846,0.25127,0.1986,0.14906,2.42834,3.92591,2.13129,0.00101488,0.00101488,0.00101488
