                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9265,                 45.477,                0.78281,                0.00049,                0.01889,                0.00026,                0.00015,                  1.635,                 4.9062,                0.65098,             0.00027638,             0.00027638,             0.00027638
                      2,                  1.353,                 3.6967,                0.55836,                0.00022,                0.07318,                0.00065,                0.00045,                0.85861,                 1.7371,                0.30657,              0.0005449,              0.0005449,              0.0005449
                      3,                 1.4002,                  1.083,                0.51824,                0.00043,                0.08523,                0.01239,                0.00643,                0.82133,                 1.4751,                0.15658,             0.00080426,             0.00080426,             0.00080426
                      4,                  1.062,                 1.2597,                0.25801,                0.50427,                0.11364,                0.02351,                0.01844,                 0.3129,                 1.9777,                0.05113,             0.00079177,             0.00079177,             0.00079177
                      5,                0.57955,                 2.6137,                0.15233,                0.50688,                0.16318,                0.08132,                0.05725,                0.45611,                 1.6172,                0.10934,             0.00079177,             0.00079177,             0.00079177
                      6,                0.67019,                  1.591,                0.21664,                0.00223,                   0.06,                0.00365,                0.00224,                 1.2961,                 1.4347,                0.63439,             0.00077802,             0.00077802,             0.00077802
                      7,                0.46154,                  1.828,                0.11981,                0.50731,                0.13994,                0.01389,                0.01103,                0.22432,                 2.0363,                0.03149,             0.00076428,             0.00076428,             0.00076428
                      8,                0.46238,                 1.7981,                0.12001,                 0.5017,                0.11932,                 0.0049,                0.00395,                0.22124,                 2.1604,                0.02689,             0.00075053,             0.00075053,             0.00075053
                      9,                0.39467,                 1.9004,                0.11906,                0.25226,                0.13281,                0.02539,                0.01565,                0.29928,                 1.8296,                0.04439,             0.00073679,             0.00073679,             0.00073679
                     10,                0.39309,                 1.6792,                0.08182,                0.13481,                0.09875,                0.00607,                0.00435,                0.25882,                 2.0862,                0.03959,             0.00072304,             0.00072304,             0.00072304
                     11,                0.32762,                 1.9213,                0.05969,                 0.2537,                 0.1675,                0.01085,                0.00794,                0.25939,                 2.0655,                0.04244,              0.0007093,              0.0007093,              0.0007093
                     12,                0.28326,                 1.7175,                0.03619,                0.38701,                0.15444,                0.04318,                0.03705,                0.26934,                 1.7868,                0.04254,             0.00069556,             0.00069556,             0.00069556
                     13,                0.31348,                 1.4015,                0.05008,                 0.6498,                0.10227,                0.04748,                0.03624,                0.28398,                 1.3686,                0.03891,             0.00068181,             0.00068181,             0.00068181
                     14,                 0.3506,                 1.1315,                0.07313,                0.65175,                0.10366,                0.03526,                0.02875,                0.24998,                  1.264,                0.03897,             0.00066807,             0.00066807,             0.00066807
                     15,                0.31177,                 1.1219,                0.04944,                  0.529,                0.11364,                0.03507,                0.02773,                0.26707,                 1.2617,                0.04245,             0.00065432,             0.00065432,             0.00065432
                     16,                0.34571,                  1.133,                 0.0772,                0.42792,                0.14702,                0.04026,                0.03124,                0.24926,                 1.2301,                0.04161,             0.00064058,             0.00064058,             0.00064058
                     17,                0.28011,                 1.1279,                0.04428,                0.20637,                0.13565,                0.05662,                0.04591,                0.25412,                 1.2265,                0.04051,             0.00062683,             0.00062683,             0.00062683
                     18,                0.29386,                 1.1742,                0.05186,                0.23227,                0.18029,                0.08995,                0.07196,                0.30095,                 1.2126,                0.04348,             0.00061309,             0.00061309,             0.00061309
                     19,                0.25622,                 1.1933,                0.04444,                0.11114,                0.24716,                0.11998,                0.09547,                0.27819,                 1.1784,                0.04512,             0.00059934,             0.00059934,             0.00059934
                     20,                0.24423,                 1.1405,                0.04713,                0.08838,                0.17045,                0.08045,                0.06382,                0.26994,                 1.2058,                0.04557,              0.0005856,              0.0005856,              0.0005856
                     21,                0.27966,                 1.1402,                0.03961,                0.07667,                0.19176,                0.08462,                0.06641,                0.28526,                 1.1345,                0.04883,             0.00057185,             0.00057185,             0.00057185
                     22,                0.27642,                 1.0727,                0.04291,                0.09116,                0.19034,                0.09757,                0.07607,                0.27982,                 1.2018,                 0.0453,             0.00055811,             0.00055811,             0.00055811
                     23,                0.24415,                 1.1124,                0.03647,                0.21768,                0.18753,                0.16504,                0.14189,                0.27659,                 1.1393,                0.04752,             0.00054437,             0.00054437,             0.00054437
                     24,                0.21724,                 1.1394,                0.03275,                0.19597,                0.19375,                0.14811,                0.12685,                0.28548,                 1.1204,                0.05111,             0.00053062,             0.00053062,             0.00053062
                     25,                0.23028,                  1.065,                0.03109,                0.30238,                0.16015,                0.16929,                0.14604,                0.27535,                 1.1138,                 0.0501,             0.00051688,             0.00051688,             0.00051688
                     26,                0.24062,                 1.0095,                0.03175,                0.38017,                0.17827,                 0.1423,                0.10726,                0.30542,                 1.1158,                0.05166,             0.00050313,             0.00050313,             0.00050313
                     27,                0.24612,                 1.0485,                0.03218,                0.35791,                0.23872,                0.13207,                 0.1099,                0.27541,                  1.142,                 0.0465,             0.00048939,             0.00048939,             0.00048939
