epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,207.91,1.57232,50.0228,0.53643,1e-05,0.00568,1e-05,0,2.15364,9.38679,0.83065,0.000276375,0.000276375,0.000276375
2,418.167,1.20612,5.78211,0.42101,0.00094,0.20227,0.001,0.00061,0.29698,3.84596,0.05398,0.0005449,0.0005449,0.0005449
3,615.482,0.4194,2.10778,0.09637,0.00045,0.15625,0.01503,0.01123,0.37817,2.14465,0.06422,0.000804262,0.000804262,0.000804262
4,815.58,0.39257,2.03769,0.07403,0.25031,0.125,0.00328,0.00155,0.60426,1.83682,0.08821,0.000791767,0.000791767,0.000791767
5,1013.72,0.38873,1.97596,0.09723,0.12762,0.20384,0.00673,0.00337,0.2267,2.117,0.0277,0.000778022,0.000778022,0.000778022
6,1213.48,0.30469,2.05045,0.06645,0.25127,0.17188,0.00744,0.00563,0.18939,2.79197,0.02536,0.000764278,0.000764278,0.000764278
7,1407.01,0.34093,1.87325,0.05276,nan,0.2223,0.03128,0.02246,nan,nan,nan,0.000750533,0.000750533,0.000750533
8,1597.12,0.34835,1.48072,0.05129,nan,0.1946,0.10602,0.08657,nan,nan,nan,0.000736788,0.000736788,0.000736788
9,1796.49,0.34117,1.33373,0.07053,0.36666,0.17358,0.09014,0.06425,0.31611,1.2775,0.05764,0.000723044,0.000723044,0.000723044
10,1997.96,0.34503,1.29405,0.0663,0.05945,0.1311,0.11709,0.09363,0.30519,1.3103,0.05607,0.000709299,0.000709299,0.000709299
11,2195.62,0.3575,1.24088,0.06897,0.02576,0.13565,0.03098,0.02232,0.3275,1.40492,0.05953,0.000695555,0.000695555,0.000695555
12,2394.35,0.30397,1.28593,0.04787,0.16597,0.12997,0.07307,0.05255,0.30721,1.34707,0.04913,0.00068181,0.00068181,0.00068181
13,2592.64,0.27692,1.18555,0.04185,0.33747,0.1746,0.13384,0.09782,0.2911,1.23019,0.04682,0.000668066,0.000668066,0.000668066
14,2786.84,0.32052,1.14336,0.06896,0.25977,0.17991,0.14486,0.10819,0.27974,1.22378,0.0466,0.000654321,0.000654321,0.000654321
15,2983.11,0.23892,0.98319,0.03463,0.35785,0.14205,0.13581,0.10144,0.27221,1.14442,0.04096,0.000640577,0.000640577,0.000640577
16,3176.39,0.23999,1.07471,0.02983,0.38427,0.14986,0.14036,0.11227,0.25313,1.23457,0.04574,0.000626832,0.000626832,0.000626832
17,3375.12,0.26398,1.03186,0.03902,0.51353,0.18261,0.12435,0.09318,0.3113,1.33462,0.05638,0.000613088,0.000613088,0.000613088
18,3564.74,0.27775,0.96316,0.04403,nan,0.38483,0.26578,0.1876,nan,nan,nan,0.000599343,0.000599343,0.000599343
19,3753.7,0.25569,0.95232,0.04341,0.18389,0.13588,0.08182,0.05239,1.17466,0.67056,0.36171,0.000585599,0.000585599,0.000585599
20,3941.54,0.26077,0.88793,0.05019,0.44045,0.34095,0.3312,0.2648,0.39262,0.95624,0.07719,0.000571854,0.000571854,0.000571854
21,4136.06,0.28093,0.88819,0.04443,0.55768,0.44035,0.46689,0.3558,0.41974,0.88213,0.08934,0.00055811,0.00055811,0.00055811
22,4332.15,0.27228,0.82177,0.04865,nan,0.52949,0.44988,0.35031,nan,nan,nan,0.000544365,0.000544365,0.000544365
23,4520.47,0.26539,0.81652,0.04017,nan,0.54152,0.39036,0.30611,nan,nan,nan,0.000530621,0.000530621,0.000530621
24,4708.43,0.27195,0.77922,0.04989,nan,0.52592,0.38523,0.28679,nan,nan,nan,0.000516877,0.000516877,0.000516877
25,4896.92,0.2818,0.79598,0.04265,nan,0.50964,0.28686,0.21934,nan,nan,nan,0.000503132,0.000503132,0.000503132
26,5085.32,0.26919,0.7991,0.03745,nan,0.55137,0.39005,0.30364,nan,nan,nan,0.000489387,0.000489387,0.000489387
27,5273.22,0.26372,0.80298,0.04018,nan,0.42856,0.32128,0.25742,nan,nan,nan,0.000475643,0.000475643,0.000475643
28,5460.79,0.25734,0.74395,0.03949,nan,0.47893,0.37205,0.30251,nan,nan,nan,0.000461898,0.000461898,0.000461898
29,5649.06,0.23351,0.73766,0.03564,0.54565,0.52205,0.5132,0.41738,0.27876,0.88404,0.04997,0.000448154,0.000448154,0.000448154
30,5841.97,0.24488,0.75272,0.03373,nan,0.57168,0.48856,0.37142,nan,nan,nan,0.000434409,0.000434409,0.000434409
31,6030.46,0.24447,0.68621,0.03623,nan,0.51603,0.44075,0.36407,nan,nan,nan,0.000420665,0.000420665,0.000420665
32,6223.42,0.23987,0.65851,0.04356,nan,0.57796,0.46985,0.36606,nan,nan,nan,0.00040692,0.00040692,0.00040692
33,6410.76,0.20674,0.69523,0.03113,0.47791,0.52285,0.49327,0.388,0.29093,0.87343,0.04766,0.000393176,0.000393176,0.000393176
34,6599.51,0.22652,0.68718,0.0339,nan,0.49908,0.36392,0.2845,nan,nan,nan,0.000379431,0.000379431,0.000379431
35,6788.41,0.22824,0.6728,0.03277,nan,0.47863,0.37167,0.2829,nan,nan,nan,0.000365687,0.000365687,0.000365687
36,6976.72,0.25003,0.67239,0.03319,nan,0.32801,0.23626,0.18194,nan,nan,nan,0.000351942,0.000351942,0.000351942
37,7165.29,0.23212,0.6528,0.03137,nan,0.52199,0.40348,0.33316,nan,nan,nan,0.000338198,0.000338198,0.000338198
38,7352.99,0.2149,0.5818,0.03191,nan,0.5747,0.49327,0.41075,nan,nan,nan,0.000324453,0.000324453,0.000324453
39,7541.9,0.20907,0.6284,0.0316,nan,0.63878,0.53527,0.43195,nan,nan,nan,0.000310709,0.000310709,0.000310709
40,7730.41,0.20869,0.69467,0.02898,nan,0.61708,0.52322,0.42717,nan,nan,nan,0.000296964,0.000296964,0.000296964
41,7919.34,0.20607,0.588,0.0265,nan,0.62597,0.52858,0.43157,nan,nan,nan,0.00028322,0.00028322,0.00028322
42,8110.08,0.22303,0.5589,0.02921,nan,0.5814,0.49032,0.38966,nan,nan,nan,0.000269475,0.000269475,0.000269475
43,8297.3,0.2114,0.59276,0.03106,nan,0.4409,0.39965,0.3187,nan,nan,nan,0.000255731,0.000255731,0.000255731
44,8485.03,0.22149,0.57758,0.03501,nan,0.48024,0.42541,0.34575,nan,nan,nan,0.000241986,0.000241986,0.000241986
45,8674.53,0.1894,0.48108,0.02721,nan,0.59083,0.51924,0.42155,nan,nan,nan,0.000228242,0.000228242,0.000228242
46,8862.09,0.19459,0.5275,0.0287,nan,0.56524,0.48195,0.39318,nan,nan,nan,0.000214497,0.000214497,0.000214497
47,9050.06,0.19094,0.53681,0.02689,nan,0.60117,0.52903,0.43458,nan,nan,nan,0.000200753,0.000200753,0.000200753
48,9237.77,0.18678,0.55395,0.02435,0.61156,0.5549,0.55157,0.45128,0.2473,0.7116,0.04807,0.000187008,0.000187008,0.000187008
49,9430.36,0.1949,0.51333,0.0266,0.7178,0.54562,0.56804,0.46111,0.25116,0.77955,0.04327,0.000173264,0.000173264,0.000173264
50,9622.77,0.18407,0.48172,0.02743,0.71106,0.5423,0.55051,0.44111,0.26017,0.76902,0.04339,0.00015952,0.00015952,0.00015952
51,9806.97,0.17816,0.41392,0.02445,nan,0.61467,0.52432,0.4186,nan,nan,nan,0.000145775,0.000145775,0.000145775
52,9992.67,0.16966,0.38437,0.02292,nan,0.62035,0.54011,0.43896,nan,nan,nan,0.000132031,0.000132031,0.000132031
53,10173.8,0.16591,0.37927,0.0235,nan,0.64205,0.5587,0.44973,nan,nan,nan,0.000118286,0.000118286,0.000118286
54,10354.4,0.16475,0.35322,0.02263,0.74987,0.49678,0.53938,0.43245,0.27645,0.71969,0.05502,0.000104542,0.000104542,0.000104542
55,10535,0.16127,0.3652,0.02166,0.73816,0.53323,0.56997,0.4653,0.24777,0.7564,0.04201,9.0797e-05,9.0797e-05,9.0797e-05
56,10719.9,0.15299,0.33645,0.02104,0.73575,0.53491,0.53663,0.43642,0.29791,0.77781,0.06265,7.70525e-05,7.70525e-05,7.70525e-05
57,10900.8,0.14877,0.32661,0.02023,0.73611,0.53603,0.55029,0.45013,0.30077,0.7502,0.06236,6.3308e-05,6.3308e-05,6.3308e-05
58,11082,0.14796,0.32234,0.02008,nan,0.63029,0.54694,0.4479,nan,nan,nan,4.95635e-05,4.95635e-05,4.95635e-05
59,11262.9,0.14313,0.31393,0.01913,nan,0.63597,0.53944,0.43684,nan,nan,nan,3.5819e-05,3.5819e-05,3.5819e-05
60,11444,0.14561,0.3135,0.0194,nan,0.63597,0.55755,0.4467,nan,nan,nan,2.20745e-05,2.20745e-05,2.20745e-05
