                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0765,                  14.51,                 1.0014,                0.12302,                0.11727,                0.09515,                0.07526,                0.98237,                 10.238,                0.98893,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0365,                 13.138,                 1.0147,                0.18641,                0.12866,                0.15002,                0.11772,                0.95477,                 9.5405,                0.99587,              0.0005449,              0.0005449,              0.0005449
                      3,                0.95985,                 12.887,                0.97487,                0.14376,                0.07173,                0.07465,                0.06131,                0.93145,                 9.2722,                 1.0068,             0.00080426,             0.00080426,             0.00080426
                      4,                0.95111,                 12.336,                0.95211,                0.12875,                0.19493,                0.13927,                0.10974,                 0.9541,                 8.7079,                 1.0068,             0.00079177,             0.00079177,             0.00079177
                      5,                 1.0407,                 11.952,                 0.9916,                0.13682,                0.13957,                0.11399,                0.08805,                0.99163,                 8.0753,                 1.0271,             0.00079177,             0.00079177,             0.00079177
                      6,                0.89938,                 11.358,                0.93897,                0.17333,                0.14943,                0.13778,                0.11667,                0.90679,                 7.7351,                 1.0222,             0.00077802,             0.00077802,             0.00077802
                      7,                0.98128,                 10.884,                0.94781,                0.17333,                0.14943,                0.13778,                0.11667,                0.86341,                 7.5721,                0.95192,             0.00076428,             0.00076428,             0.00076428
                      8,                0.94183,                  10.07,                0.95867,                0.18116,                 0.2828,                0.15971,                0.12572,                0.93093,                  7.306,                0.97375,             0.00075053,             0.00075053,             0.00075053
                      9,                0.89297,                 8.3233,                0.95543,                0.10602,                0.13602,                0.11179,                 0.0924,                0.89651,                 6.8223,                0.98676,             0.00073679,             0.00073679,             0.00073679
                     10,                0.93893,                 8.9932,                0.98654,                0.37218,                  0.136,                0.12425,                0.10371,                0.91581,                 6.6116,                 1.0046,             0.00072304,             0.00072304,             0.00072304
                     11,                0.91288,                 8.6095,                0.94077,                0.12726,                0.11009,                 0.1108,                  0.092,                0.92208,                  6.672,                0.96921,              0.0007093,              0.0007093,              0.0007093
                     12,                0.90651,                 7.6269,                0.92109,                0.15768,                0.19912,                0.15568,                0.13002,                0.86672,                 6.2424,                0.97011,             0.00069556,             0.00069556,             0.00069556
                     13,                0.85711,                 8.9159,                0.89115,                  0.075,                0.01705,                 0.0434,                0.03603,                0.85213,                 6.1827,                0.94836,             0.00068181,             0.00068181,             0.00068181
                     14,                0.87528,                 8.1734,                0.91111,                0.41473,                0.17851,                 0.1318,                0.10308,                0.85593,                 5.8978,                0.93652,             0.00066807,             0.00066807,             0.00066807
                     15,                0.86519,                 7.0039,                 0.9223,                0.23556,                0.23207,                0.20364,                 0.1619,                0.95609,                 5.7408,                0.99368,             0.00065432,             0.00065432,             0.00065432
                     16,                0.81977,                  7.199,                0.89856,                0.24304,                0.20253,                0.19698,                0.15964,                0.85634,                 5.5592,                0.97988,             0.00064058,             0.00064058,             0.00064058
