                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0709,                 14.504,                0.93393,                0.10997,                0.12298,                0.10322,                0.08177,                0.99457,                  11.62,                0.89268,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0405,                  12.71,                0.93204,                0.12547,                 0.0875,                0.08423,                0.06386,                0.94792,                 9.7069,                0.91222,              0.0005449,              0.0005449,              0.0005449
                      3,                 1.0434,                 13.167,                0.90089,                0.11926,                 0.1208,                0.09862,                0.07986,                0.99287,                 10.036,                0.90666,             0.00080426,             0.00080426,             0.00080426
                      4,                 1.0181,                 12.217,                0.92289,                0.12114,                0.19683,                0.09513,                0.07226,                0.98127,                 9.3449,                0.93124,             0.00079177,             0.00079177,             0.00079177
                      5,                 1.1058,                 11.807,                0.95525,                0.11397,                0.09821,                0.08825,                0.06752,                 1.0422,                 8.8111,                0.94684,             0.00079177,             0.00079177,             0.00079177
                      6,                 0.9824,                  11.62,                 0.8914,                0.10223,                0.09744,                0.08611,                0.06912,                0.94309,                 8.4263,                0.90568,             0.00077802,             0.00077802,             0.00077802
                      7,                0.98175,                 10.767,                0.90996,                0.08034,                0.09594,                0.06858,                0.05838,                0.87335,                 7.9966,                0.89768,             0.00076428,             0.00076428,             0.00076428
                      8,                0.94005,                  10.51,                0.89998,                0.10096,                0.06398,                0.07324,                0.05697,                0.87337,                 7.5228,                0.91061,             0.00075053,             0.00075053,             0.00075053
                      9,                0.91629,                 8.2252,                0.91213,                0.13963,                0.17429,                0.12093,                 0.0952,                0.96629,                 7.4073,                0.92245,             0.00073679,             0.00073679,             0.00073679
                     10,                0.93744,                 9.0939,                0.92816,                0.18869,                0.14784,                0.12373,                0.10364,                0.87735,                 7.0135,                0.89565,             0.00072304,             0.00072304,             0.00072304
                     11,                0.88105,                  8.381,                0.89365,                0.16427,                0.20502,                0.15044,                0.12482,                0.88539,                 6.9863,                0.89328,              0.0007093,              0.0007093,              0.0007093
                     12,                 0.8812,                 7.7194,                0.88693,                0.18946,                0.18233,                0.16185,                0.13468,                0.86612,                 6.6626,                0.89687,             0.00069556,             0.00069556,             0.00069556
                     13,                0.86994,                 8.8747,                0.87081,                0.15374,                 0.1046,                0.12109,                0.10551,                0.87806,                 6.4858,                  0.892,             0.00068181,             0.00068181,             0.00068181
                     14,                0.87689,                 8.2131,                0.88344,                0.23907,                0.21085,                0.20347,                0.17412,                 0.8533,                 6.0537,                0.90616,             0.00066807,             0.00066807,             0.00066807
                     15,                0.81759,                  6.775,                0.88452,                0.34671,                0.21005,                0.25701,                0.18192,                0.85752,                 5.8132,                0.91005,             0.00065432,             0.00065432,             0.00065432
                     16,                0.85931,                 7.0189,                0.87428,                0.30067,                0.24789,                0.26557,                0.21667,                0.82154,                 5.5541,                0.90076,             0.00064058,             0.00064058,             0.00064058
                     17,                0.83529,                 7.1232,                0.87583,                 0.1916,                0.21219,                0.17507,                0.12704,                0.86984,                 5.6216,                0.92201,             0.00062683,             0.00062683,             0.00062683
                     18,                0.81636,                 6.9115,                 0.8823,                0.23629,                0.34234,                0.23279,                0.19014,                0.82357,                    5.3,                0.89911,             0.00061309,             0.00061309,             0.00061309
                     19,                0.83396,                 6.4069,                0.89284,                0.27519,                0.19912,                0.23592,                0.18883,                0.83593,                 5.3488,                 0.9142,             0.00059934,             0.00059934,             0.00059934
                     20,                 0.7902,                 6.2134,                0.86907,                0.33027,                0.27417,                  0.315,                0.24421,                0.85603,                  5.246,                0.93288,              0.0005856,              0.0005856,              0.0005856
                     21,                0.78922,                 5.9731,                0.89757,                0.34643,                 0.4022,                0.33519,                0.28283,                0.82267,                 4.8991,                0.93143,             0.00057185,             0.00057185,             0.00057185
                     22,                0.78994,                 6.0603,                0.87192,                0.38782,                0.28074,                 0.3533,                0.28764,                0.89778,                 4.8714,                 0.9591,             0.00055811,             0.00055811,             0.00055811
                     23,                0.77272,                 5.8707,                0.86438,                0.42103,                0.34359,                0.40632,                0.33178,                0.88779,                 4.5817,                0.92498,             0.00054437,             0.00054437,             0.00054437
                     24,                0.76721,                 5.2436,                0.86549,                0.50297,                0.41079,                0.45004,                0.37364,                0.87906,                  4.525,                0.93728,             0.00053062,             0.00053062,             0.00053062
                     25,                0.77003,                 4.8565,                0.89677,                0.40149,                0.39104,                0.40877,                0.32561,                0.90257,                  4.455,                0.93603,             0.00051688,             0.00051688,             0.00051688
                     26,                 0.7532,                 4.9237,                 0.8608,                 0.3666,                0.39509,                0.38621,                0.30522,                0.84253,                 4.4951,                0.92283,             0.00050313,             0.00050313,             0.00050313
                     27,                0.77672,                 4.8947,                0.86413,                 0.4748,                0.41953,                0.46052,                0.35106,                0.88619,                  4.173,                0.93089,             0.00048939,             0.00048939,             0.00048939
                     28,                0.73999,                  4.868,                0.84681,                0.44591,                0.45668,                0.46683,                0.37038,                0.84484,                 4.0296,                0.92515,             0.00047564,             0.00047564,             0.00047564
                     29,                0.70813,                  4.554,                0.85858,                 0.4315,                0.41643,                0.44024,                0.35191,                0.86351,                 4.0071,                0.93898,              0.0004619,              0.0004619,              0.0004619
                     30,                 0.7661,                 4.2147,                0.86175,                0.46387,                0.44963,                0.47233,                0.38037,                 0.9095,                 3.9579,                0.95802,             0.00044815,             0.00044815,             0.00044815
                     31,                0.72974,                 4.0452,                0.86635,                0.58115,                0.35312,                0.48924,                0.37021,                0.86085,                 3.7785,                0.94759,             0.00043441,             0.00043441,             0.00043441
                     32,                0.70074,                 4.0932,                0.83136,                0.55224,                0.42062,                0.50319,                0.42722,                0.83523,                 3.6407,                0.94617,             0.00042066,             0.00042066,             0.00042066
                     33,                 0.6631,                 3.9254,                0.83192,                0.45542,                0.51773,                0.50393,                0.41608,                0.83697,                 3.6928,                0.94729,             0.00040692,             0.00040692,             0.00040692
                     34,                0.68758,                 4.1726,                0.84032,                0.46529,                0.49117,                0.47783,                0.39833,                0.84574,                 3.5186,                 0.9446,             0.00039318,             0.00039318,             0.00039318
                     35,                 0.6875,                 3.8905,                0.83071,                0.46795,                0.45519,                0.47725,                0.39101,                0.86412,                 3.5288,                0.95048,             0.00037943,             0.00037943,             0.00037943
                     36,                0.73233,                 3.6584,                0.86111,                0.50109,                0.43094,                0.43498,                0.34885,                0.89075,                 3.5433,                0.94273,             0.00036569,             0.00036569,             0.00036569
                     37,                0.67805,                 3.7972,                0.82911,                0.46624,                0.52176,                 0.5061,                0.39934,                 0.8164,                 3.3769,                0.91971,             0.00035194,             0.00035194,             0.00035194
                     38,                0.66378,                 3.5592,                0.83784,                0.55148,                0.42517,                0.50664,                0.43307,                0.80274,                 3.2685,                0.90888,              0.0003382,              0.0003382,              0.0003382
                     39,                0.62896,                 3.4348,                0.82701,                0.48016,                0.48833,                0.50227,                0.41713,                0.83906,                 3.5437,                0.90764,             0.00032445,             0.00032445,             0.00032445
                     40,                0.65348,                 3.2565,                0.84603,                0.50234,                0.46485,                0.49365,                0.40683,                0.86128,                 3.2866,                 0.9068,             0.00031071,             0.00031071,             0.00031071
                     41,                0.64285,                 3.3184,                0.82873,                0.49894,                0.48015,                0.51935,                0.42542,                0.85973,                 3.1778,                0.92426,             0.00029696,             0.00029696,             0.00029696
                     42,                  0.687,                 3.3068,                0.83988,                 0.5815,                0.47527,                0.55212,                0.47019,                0.85114,                 3.1108,                0.94676,             0.00028322,             0.00028322,             0.00028322
                     43,                0.64551,                 3.3417,                0.82905,                0.57671,                0.49059,                0.54967,                0.45401,                0.87289,                  3.006,                0.93691,             0.00026948,             0.00026948,             0.00026948
                     44,                0.67328,                 3.3202,                0.83584,                0.54459,                0.53778,                0.54938,                0.45822,                0.83981,                   2.99,                0.92071,             0.00025573,             0.00025573,             0.00025573
                     45,                0.67115,                  2.682,                0.84463,                0.56901,                0.52733,                0.56457,                0.46432,                0.84974,                 2.9261,                0.92125,             0.00024199,             0.00024199,             0.00024199
                     46,                0.64342,                 3.1987,                0.80605,                0.58347,                 0.4999,                0.54482,                0.45495,                0.88508,                 3.0505,                0.94581,             0.00022824,             0.00022824,             0.00022824
                     47,                 0.6125,                 2.7331,                0.84149,                0.55353,                0.46862,                0.54183,                0.46942,                0.82731,                 2.9057,                0.95369,              0.0002145,              0.0002145,              0.0002145
                     48,                0.60067,                 2.9481,                0.80171,                0.52543,                0.49415,                0.52456,                0.44456,                0.82844,                 2.9023,                0.94661,             0.00020075,             0.00020075,             0.00020075
                     49,                0.63936,                 3.0853,                 0.8178,                0.49072,                0.48697,                0.51154,                0.42747,                0.83046,                 3.0514,                0.94307,             0.00018701,             0.00018701,             0.00018701
                     50,                0.59819,                 2.6343,                0.81695,                0.53753,                0.46381,                0.51614,                0.42844,                 0.8197,                  2.859,                0.93627,             0.00017326,             0.00017326,             0.00017326
                     51,                0.59563,                 2.9019,                0.83713,                0.51111,                0.51924,                0.52474,                0.43517,                0.84549,                 2.8816,                 0.9509,             0.00015952,             0.00015952,             0.00015952
                     52,                0.57188,                 2.9397,                0.83586,                0.52087,                0.51108,                0.51724,                0.42956,                0.83438,                 2.8837,                0.94976,             0.00014577,             0.00014577,             0.00014577
                     53,                0.52988,                  2.742,                0.82427,                0.56375,                0.48836,                0.52414,                0.43581,                0.82656,                 2.8186,                0.94598,             0.00013203,             0.00013203,             0.00013203
                     54,                0.52779,                 2.6951,                0.82131,                0.52781,                0.49911,                0.53966,                0.45348,                0.82515,                 2.8283,                 0.9391,             0.00011829,             0.00011829,             0.00011829
                     55,                0.50616,                 2.7117,                0.81994,                0.50633,                0.48697,                0.51788,                0.42931,                0.83085,                 2.8466,                 0.9316,             0.00010454,             0.00010454,             0.00010454
                     56,                0.48649,                 2.6057,                0.81638,                0.55083,                0.47849,                0.51781,                0.43033,                0.82401,                 2.8401,                0.93344,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     57,                0.46721,                  2.531,                0.81574,                0.53939,                0.47787,                0.51219,                0.43258,                0.81618,                 2.8267,                0.93935,             7.7053e-05,             7.7053e-05,             7.7053e-05
                     58,                0.45279,                 2.4944,                0.81159,                0.53597,                0.47756,                0.52783,                0.44317,                0.81007,                 2.8247,                0.94269,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     59,                0.41701,                 2.4475,                0.80827,                0.54125,                0.47492,                0.51971,                0.44359,                 0.8041,                 2.7819,                0.93901,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     60,                0.42442,                 2.4313,                0.81027,                0.54774,                0.48028,                0.52249,                0.44273,                0.82259,                 2.7799,                0.94564,             3.5819e-05,             3.5819e-05,             3.5819e-05
