epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,218.713,1.36794,31.5617,0.62089,0.77385,0.23504,0.04458,0.02914,0.42985,1.71063,0.0554,0.000415287,0.000415287,0.000415287
2,435.172,0.51433,1.23997,0.14399,0.85195,0.16813,0.10704,0.074,0.37829,1.2301,0.04425,0.000818226,0.000818226,0.000818226
3,648.494,0.57205,0.87294,0.12007,0.86377,0.1963,0.12712,0.09177,0.36465,1.19612,0.03807,0.00120742,0.00120742,0.00120742
4,861.731,0.44293,1.87825,0.07042,0.27201,0.22572,0.02794,0.01192,0.58839,1.43523,0.05945,0.00118812,0.00118812,0.00118812
5,1074.29,0.46847,1.54946,0.09731,0.25812,0.19718,0.02556,0.01806,0.34648,1.68984,0.05124,0.0011675,0.0011675,0.0011675
6,1286.15,0.26377,1.71405,0.0409,0.31442,0.18536,0.04295,0.03315,0.27417,1.90796,0.02985,0.00114688,0.00114688,0.00114688
7,1497.51,0.31291,1.20215,0.05512,0.87383,0.18662,0.15772,0.1013,0.40691,1.21808,0.03936,0.00112625,0.00112625,0.00112625
8,1711.21,0.33915,0.98673,0.04601,0.73811,0.27229,0.15837,0.0915,0.43105,1.22408,0.04293,0.00110563,0.00110563,0.00110563
9,1920.96,0.36634,0.76788,0.05681,0.7282,0.29178,0.18028,0.11411,0.43162,1.27058,0.03412,0.001085,0.001085,0.001085
10,2132.41,0.31706,0.67266,0.05092,0.47432,0.31186,0.23878,0.17074,0.33693,1.18914,0.03075,0.00106437,0.00106437,0.00106437
11,2343.33,0.34098,0.67847,0.05295,0.46423,0.28695,0.18582,0.13532,0.3685,1.2728,0.03374,0.00104375,0.00104375,0.00104375
12,2554.15,0.33888,0.74993,0.04793,0.72971,0.34535,0.21321,0.14741,0.39552,1.05876,0.03905,0.00102312,0.00102312,0.00102312
13,2764.28,0.28729,0.67338,0.04413,0.71507,0.25777,0.16481,0.1085,0.339,1.16355,0.03126,0.0010025,0.0010025,0.0010025
14,2975.46,0.31652,0.6494,0.04585,0.74237,0.28958,0.18605,0.14163,0.29287,1.26767,0.02988,0.000981875,0.000981875,0.000981875
