                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1688,                 31.037,                0.53826,                0.27473,                0.23856,                0.04999,                0.03447,                0.31228,                 1.9729,                0.03515,             0.00041529,             0.00041529,             0.00041529
                      2,                0.46705,                  1.435,                0.11064,                0.85786,                0.14877,                 0.0992,                0.06368,                 1.0186,                 1.1681,                0.38803,             0.00081823,             0.00081823,             0.00081823
                      3,                0.44975,                0.96575,                0.10121,                 0.8561,                0.19894,                0.13106,                0.09162,                0.37173,                 1.2255,                  0.032,              0.0012074,              0.0012074,              0.0012074
                      4,                0.34075,                0.95962,                0.04453,                0.61538,                0.17882,                0.13749,                0.09822,                0.33308,                 1.5267,                0.02872,              0.0011881,              0.0011881,              0.0011881
                      5,                0.39721,                0.93747,                0.06782,                0.59415,                0.15669,                 0.1051,                0.07126,                0.67152,                 1.1326,                0.16167,              0.0011881,              0.0011881,              0.0011881
                      6,                 0.3608,                0.87252,                0.04785,                0.18055,                0.21442,                 0.0911,                0.05622,                0.47299,                 1.2025,                 0.0441,              0.0011675,              0.0011675,              0.0011675
                      7,                0.36305,                 0.7826,                0.05518,                0.88079,                0.18157,                0.15409,                0.10834,                0.36789,                 1.2131,                 0.0371,              0.0011469,              0.0011469,              0.0011469
                      8,                0.29707,                 0.7897,                0.03948,                0.71332,                0.28075,                0.16409,                0.11151,                0.46247,                 1.1054,                0.06538,              0.0011263,              0.0011263,              0.0011263
                      9,                0.30725,                0.68053,                0.04854,                0.73056,                0.28384,                0.22035,                 0.1602,                0.40621,                 1.0353,                 0.0432,              0.0011056,              0.0011056,              0.0011056
                     10,                0.29304,                0.63034,                0.03703,                0.74335,                0.32182,                0.22083,                0.15069,                0.38485,                 1.0108,                0.03735,               0.001085,               0.001085,               0.001085
                     11,                0.31021,                0.64591,                 0.0452,                 0.7307,                0.30475,                0.21155,                0.14495,                0.41208,                 1.0714,                0.03912,              0.0010644,              0.0010644,              0.0010644
                     12,                0.30698,                0.64365,                 0.0439,                0.73419,                0.31351,                 0.2224,                0.16653,                0.34559,                 1.1604,                0.03364,              0.0010438,              0.0010438,              0.0010438
                     13,                0.41631,                0.62999,                0.05581,                0.70294,                0.24808,                0.15952,                0.08363,                0.58334,                 1.0546,                0.06653,              0.0010231,              0.0010231,              0.0010231
                     14,                0.47337,                 0.6747,                0.05944,                0.71199,                0.29819,                0.18252,                0.09556,                0.62209,                0.91587,                0.04801,              0.0010025,              0.0010025,              0.0010025
                     15,                0.32987,                 0.5803,                0.03913,                0.74973,                0.32424,                0.22194,                0.15597,                0.40659,                 1.0413,                0.04017,             0.00098187,             0.00098187,             0.00098187
                     16,                0.31246,                0.61295,                0.03908,                0.49026,                0.29779,                0.23709,                0.14798,                 0.4494,                 1.0524,                0.04274,             0.00096125,             0.00096125,             0.00096125
                     17,                0.31561,                0.59716,                0.04791,                0.50046,                0.31351,                0.22299,                0.15654,                0.36543,                 1.2395,                0.03281,             0.00094062,             0.00094062,             0.00094062
                     18,                0.34182,                0.48971,                0.06697,                0.78191,                0.27268,                 0.2356,                0.17181,                0.34871,                 1.1387,                0.03233,                0.00092,                0.00092,                0.00092
                     19,                0.27145,                0.51544,                 0.0399,                0.58791,                0.34022,                0.25255,                0.17482,                0.34974,                 1.0446,                0.03235,             0.00089938,             0.00089938,             0.00089938
                     20,                0.32554,                0.47067,                0.04927,                  0.545,                 0.3353,                0.23879,                 0.1675,                0.33761,                 1.1771,                0.03606,             0.00087875,             0.00087875,             0.00087875
                     21,                0.24915,                0.53571,                0.03776,                0.27315,                0.33265,                0.23301,                0.17363,                0.31423,                 1.1804,                0.02861,             0.00085813,             0.00085813,             0.00085813
                     22,                0.21351,                0.46488,                0.02734,                0.27546,                0.34726,                0.25273,                0.18234,                 0.3539,                 1.1547,                0.02987,              0.0008375,              0.0008375,              0.0008375
                     23,                0.22838,                0.46592,                0.02648,                0.30941,                0.37073,                0.24251,                0.18694,                0.32063,                 1.1662,                0.03007,             0.00081688,             0.00081688,             0.00081688
                     24,                0.23524,                0.41106,                0.03628,                0.37408,                0.36828,                0.28997,                0.21809,                0.35915,                 1.1086,                0.03299,             0.00079625,             0.00079625,             0.00079625
                     25,                0.19106,                0.46409,                0.03209,                 0.6895,                0.40267,                0.35146,                0.26965,                0.35322,                  1.223,                0.02998,             0.00077563,             0.00077563,             0.00077563
                     26,                0.21542,                0.37093,                0.03544,                0.34115,                0.41368,                0.31171,                0.24674,                0.39043,                 1.1391,                0.03788,               0.000755,               0.000755,               0.000755
                     27,                0.21883,                0.41733,                0.03053,                0.45586,                0.44309,                0.32807,                0.24688,                 0.3216,                 1.1892,                0.02971,             0.00073437,             0.00073437,             0.00073437
                     28,                0.18638,                0.45324,                0.01859,                0.50312,                0.43763,                0.36225,                0.27224,                0.31911,                 1.2131,                0.03192,             0.00071375,             0.00071375,             0.00071375
